Facility Identifier,AVGDISCHARGE,Jurisdiction,Qcalcs,QInscfs,AVGQadj,Q4calcs
M02-028-2 (M02P08),0.040333,SAN CLEMENTE,NA,NA,0.027829769999999997,0.027829769999999997
M02-032-1,0.249153,SAN CLEMENTE,NA,0.09429578999999999,0.17191557,0.09429578999999999
M02-052-3,0.100222,SAN CLEMENTE,NA,0.001,0.06915318,0.001
M02-052-4,0.041791,SAN CLEMENTE,NA,NA,0.02883579,0.02883579
M02-061-4 (SCBS@M02),0.025637,SAN CLEMENTE,NA,0.03498715,0.01768953,0.03498715
M02-061-5,0,SAN CLEMENTE,NA,0,0,0
M02-061-6,0.021885,SAN CLEMENTE,NA,0.001,0.01510065,0.001
M02-085-1 (M02P06),0.064764,SAN CLEMENTE,NA,0.014,0.04468716,0.014
M02-085-2,0.260895,SAN CLEMENTE,NA,0.09770976333333332,0.18001754999999997,0.09770976333333332
M02-086-1,3.71e-4,SAN CLEMENTE,NA,NA,2.5599e-4,2.5599e-4
M02-102-1,0.044,SAN CLEMENTE,NA,NA,0.030359999999999995,0.030359999999999995
SC01-077-1,0.06819,SAN CLEMENTE,NA,NA,0.0470511,0.0470511
SC01-077-2,0.019583,SAN CLEMENTE,NA,0.014,0.013512269999999998,0.014
SC02-072-4,NA,SAN CLEMENTE,NA,NA,NA,NA
SC03-067-1,0,SAN CLEMENTE,NA,0,0,0
SC05-073-1,0.006985,SAN CLEMENTE,NA,0,0.00481965,0
SC05-073-3,0.003033,SAN CLEMENTE,NA,NA,0.00209277,0.00209277
SC06-146-1 (M00P02),0.012171,SAN CLEMENTE,NA,0.02734746,0.00839799,0.02734746
SC06-146-2 (M00P02),0.055893,SAN CLEMENTE,NA,0.043403069999999995,0.03856617,0.043403069999999995
SC07-079-4,0.027984,SAN CLEMENTE,NA,0.00935571,0.019308959999999997,0.00935571
SC07-079-5,0.201763,SAN CLEMENTE,NA,0,0.13921646999999998,0
SC09-081-2d,0.072646,SAN CLEMENTE,NA,0.04207344,0.050125739999999995,0.04207344
SC10-075-1d (M00P05),0.009482,DANA POINT,NA,0.0068899949999999995,0.00654258,0.0068899949999999995
SC10-075-3 (M00S01),0.36,DANA POINT,NA,NA,0.24839999999999998,0.24839999999999998
SC11-026-1 (M00P01),0.092087,DANA POINT,NA,0.052000000000000005,0.06354003,0.052000000000000005
SC11-035-1d,0,DANA POINT,NA,0,0,0
SC11-035-2d,0,DANA POINT,NA,0,0,0
SC11-035-3d,0,DANA POINT,NA,0,0,0
SC11-130-2,0.013885,DANA POINT,NA,0,0.00958065,0
SC12-068-2,0.009971,SAN CLEMENTE,NA,0.020958749999999998,0.00687999,0.020958749999999998
SC12-068-4,0.0089,SAN CLEMENTE,NA,0,0.006141,0
SM01-086-1 (M03P01),NA,SAN CLEMENTE,NA,NA,NA,NA
SM01-086-2,0.02,SAN CLEMENTE,NA,NA,0.0138,0.0138
