Facility Identifier,AVGDISCHARGE,Jurisdiction,Qcalcs,QInscfs,AVGQadj,Q4calcs
J01-9259-3,0.00601,LAKE FOREST,NA,NA,0.004146899999999999,0.004146899999999999
J01-9264-1 (J01P06),0,LAKE FOREST,NA,NA,0,0
J01-9273-1,0.002304,LAGUNA WOODS,NA,0.002,0.00158976,0.002
J01-9275-1,0.002727,LAKE FOREST,NA,0,0.0018816299999999998,0
J01-9275-2,0.001661,LAKE FOREST,NA,0,0.0011460899999999998,0
J01-9313-1,0.05,ALISO VIEJO,NA,NA,0.034499999999999996,0.034499999999999996
J01-9349-1,NA,LAKE FOREST,NA,NA,NA,NA
J01-9364-3 (J01P21),1.836666,ORANGE CO,NA,NA,1.2672995399999998,1.2672995399999998
J01-9364-4,0,ORANGE CO,NA,NA,0,0
J01-9377-1,0.001816,LAKE FOREST,NA,0,0.0012530399999999998,0
J01-9377-2 (J01TBN8),4.2e-5,LAKE FOREST,NA,0,2.8979999999999997e-5,0
J01-9782-1 (J01TBN3),0.001588,LAKE FOREST,NA,0.0036797699999999997,0.00109572,0.0036797699999999997
J01-9785-1,0.027279,LAKE FOREST,NA,0.16655150999999999,0.01882251,0.16655150999999999
J01-9992-1 (J01P27),0.159686,ALISO VIEJO,NA,0.035489325,0.11018333999999999,0.035489325
J03-9215-1,NA,LAGUNA NIGUEL,NA,NA,NA,NA
J03-9215-3,0.051159,LAGUNA NIGUEL,NA,0.010499999999999999,0.03529971,0.010499999999999999
J03-9216-1 (J03P01),0.012897,LAGUNA NIGUEL,NA,NA,0.00889893,0.00889893
J03-9216-2,1.520455,LAGUNA NIGUEL,NA,0.5875161566666667,1.0491139499999997,0.5875161566666667
J03-9216-5,NA,LAGUNA NIGUEL,NA,NA,NA,NA
J03-9221-1 (J03P02),0.239694,LAGUNA NIGUEL,NA,0.0928475,0.16538885999999997,0.0928475
J03-9234-5,0.012591,LAGUNA NIGUEL,NA,NA,0.008687789999999999,0.008687789999999999
J03-9234-6,0.981972,LAGUNA NIGUEL,NA,0.050986615,0.6775606799999999,0.050986615
J03-9234-8,0.302939,LAGUNA NIGUEL,NA,0.081363865,0.20902790999999998,0.081363865
J03-9368-1 (J03TBN1),0.006481,LAGUNA NIGUEL,NA,NA,0.004471889999999999,0.004471889999999999
J03-9368-2 (J03TBN2),0.04806,LAGUNA NIGUEL,NA,0.039,0.033161399999999994,0.039
J04-9249-1,1.180767,LAGUNA NIGUEL,NA,NA,0.8147292299999999,0.8147292299999999
J05-9255-1 (J05P01),0,LAGUNA HILLS,NA,NA,0,0
J05-9271-6,0,LAGUNA HILLS,NA,0,0,0
J05-9800-2,0,LAGUNA HILLS,NA,NA,0,0
J06-10011-1 (J06P01),0.603221,ALISO VIEJO,NA,0.5413049999999999,0.41622249,0.5413049999999999
J06-9079-1 (J06P03),0.130309,ALISO VIEJO,NA,0.027,0.08991321,0.027
J07-9022-1,0.004128,MISSION VIEJO,NA,0.00119,0.0028483199999999997,0.00119
J07-9022-6,0.001924,MISSION VIEJO,NA,0.00184023,0.0013275599999999998,0.00184023
J07-9109-1,0.008731,MISSION VIEJO,NA,NA,0.006024389999999999,0.006024389999999999
J07-9109-2,0.05716,MISSION VIEJO,NA,NA,0.0394404,0.0394404
J07-9109-4 (J07P02),0.170884,MISSION VIEJO,NA,0.031066666666666666,0.11790996,0.031066666666666666
J07-9110-1,0.004715,MISSION VIEJO,NA,NA,0.0032533499999999995,0.0032533499999999995
J07-9110-2,0.013448,MISSION VIEJO,NA,0.001,0.009279119999999998,0.001
J07-9110-3,0.010077,MISSION VIEJO,NA,NA,0.006953129999999999,0.006953129999999999
K01-12032-2 (K01P11),0.097353,LAGUNA NIGUEL,NA,0.04943897,0.06717356999999999,0.04943897
K01-12036-1,0.026632,LAGUNA NIGUEL,NA,0.002,0.01837608,0.002
K01-12036-10,0.016851,LAGUNA NIGUEL,NA,0.004883225,0.01162719,0.004883225
K01-12036-5,0.052474,LAGUNA NIGUEL,NA,0.022444255,0.03620706,0.022444255
K01-12058-1 (K01P08),0.166967,LAGUNA NIGUEL,NA,NA,0.11520723,0.11520723
K01-12058-2 (K01P09),0.12576,LAGUNA NIGUEL,NA,NA,0.0867744,0.0867744
K01-12062-1,0.122807,LAGUNA NIGUEL,NA,NA,0.08473683,0.08473683
K01-12126-1 (K01S01),0.457496,DANA POINT,NA,0.232585665,0.31567224,0.232585665
K01-12138-1 (K01TBN1),0.063607,LAGUNA NIGUEL,NA,NA,0.04388883,0.04388883
K01-12155-1,4.4e-4,LAGUNA NIGUEL,NA,0,3.036e-4,0
K01-12155-5,0.061386,LAGUNA NIGUEL,NA,NA,0.04235634,0.04235634
K01-12156-1,NA,LAGUNA NIGUEL,NA,NA,NA,NA
K01-12156-3,0,LAGUNA NIGUEL,NA,NA,0,0
K01-12156-6,0.522546,LAGUNA NIGUEL,NA,0.121,0.36055673999999993,0.121
K01-12159-2,0.146367,DANA POINT,NA,0.0785,0.10099322999999999,0.0785
K01-12159-3,0.023731,DANA POINT,NA,0.0325,0.01637439,0.0325
K01-12177-1 (K01P07),0.235946,LAGUNA NIGUEL,NA,0.086,0.16280273999999997,0.086
L01-125-1,2.5,RANCHO SANTA MARGARITA,NA,NA,1.7249999999999999,1.7249999999999999
L01-125-2,0.021,RANCHO SANTA MARGARITA,NA,NA,0.01449,0.01449
L01-125-3,0.034201,RANCHO SANTA MARGARITA,NA,NA,0.02359869,0.02359869
L01-218-1,NA,RANCHO SANTA MARGARITA,NA,NA,NA,NA
L01-218-2,0.020075,RANCHO SANTA MARGARITA,NA,NA,0.013851749999999998,0.013851749999999998
L01-218-3,NA,RANCHO SANTA MARGARITA,NA,NA,NA,NA
L01-218-4,0.033304,RANCHO SANTA MARGARITA,NA,0.06848802,0.02297976,0.06848802
L01-223-1 (L08TBN1),0.056556,RANCHO SANTA MARGARITA,NA,0.018,0.03902364,0.018
L01-242-1 (L07P16),NA,ORANGE CO,NA,NA,NA,NA
L01-261-1,0.008361,ORANGE CO,NA,0.001,0.00576909,0.001
L01-303-1,NA,ORANGE CO,NA,NA,NA,NA
L01-303-2,0.07,ORANGE CO,NA,NA,0.0483,0.0483
L01-303-3,NA,ORANGE CO,NA,NA,NA,NA
L01-303-4,0.018628,ORANGE CO,NA,0,0.012853319999999998,0
L01-303-5,0.017713,ORANGE CO,NA,0.00764558,0.012221969999999999,0.00764558
L01-335-1,0.015593,ORANGE CO,NA,0.016026224999999998,0.010759169999999998,0.016026224999999998
L01-335-2,0.0052,ORANGE CO,NA,0.007,0.0035879999999999996,0.007
L01-340-1,0.056759,ORANGE CO,NA,0.0786,0.03916371,0.0786
L01-372-1,0.007224,ORANGE CO,NA,NA,0.00498456,0.00498456
L01-391-1,0,ORANGE CO,NA,NA,0,0
L01-391-3,0.013986,ORANGE CO,NA,0.0032500000000000003,0.009650339999999999,0.0032500000000000003
L01-399-1,0,ORANGE CO,NA,NA,0,0
L01-399-2,0.001,ORANGE CO,NA,NA,6.9e-4,6.9e-4
L01-404-1,0.139529,ORANGE CO,NA,0.447882495,0.09627500999999998,0.447882495
L01-404-2,0.073474,ORANGE CO,NA,0.11249999999999999,0.050697059999999995,0.11249999999999999
L01-414-1,NA,ORANGE CO,NA,NA,NA,NA
L01-414-2,0,ORANGE CO,NA,0,0,0
L01-414-3,0.232035,ORANGE CO,NA,NA,0.16010414999999997,0.16010414999999997
L01-458-1,5.4e-4,ORANGE CO,NA,NA,3.7259999999999995e-4,3.7259999999999995e-4
L01-471-1,0.008117,ORANGE CO,NA,0.00530535,0.005600729999999999,0.00530535
L01-494-1,0.095729,ORANGE CO,NA,0.047,0.06605301,0.047
L01-514-1,0.018581,ORANGE CO,NA,0.002,0.01282089,0.002
L01-517-1,0,SAN JUAN CAPISTRANO,NA,0,0,0
L01-517-2,0,SAN JUAN CAPISTRANO,NA,0,0,0
L01-517-3,0.001664,ORANGE CO,NA,NA,0.0011481599999999998,0.0011481599999999998
L01-517-6,0.0279,ORANGE CO,NA,0.011108,0.019251,0.011108
L01-517-7,0.001777,ORANGE CO,NA,0,0.0012261299999999998,0
L01-517-8,0,SAN JUAN CAPISTRANO,NA,0,0,0
L01-556-1,0.013841,SAN JUAN CAPISTRANO,NA,0,0.00955029,0
L01-601-1,0,SAN JUAN CAPISTRANO,NA,NA,0,0
L01-602-2,NA,SAN JUAN CAPISTRANO,NA,NA,NA,NA
L01-618-1,0.0585,SAN JUAN CAPISTRANO,NA,0.004,0.040365,0.004
L01-618-2,NA,SAN JUAN CAPISTRANO,NA,NA,NA,NA
L01-618-3,0,SAN JUAN CAPISTRANO,NA,NA,0,0
L01-618-4,0,SAN JUAN CAPISTRANO,NA,NA,0,0
L01-618-5 (L01S09),0.170796,SAN JUAN CAPISTRANO,NA,0.059800000000000006,0.11784924,0.059800000000000006
L01-724-1 (L01S01),0.093815,SAN JUAN CAPISTRANO,NA,0.023,0.06473235,0.023
L01-724-2,0,SAN JUAN CAPISTRANO,NA,NA,0,0
L01-724-4 (L01P03),0.16548,SAN JUAN CAPISTRANO,NA,0.0655,0.11418119999999998,0.0655
L01-726-2,0,DANA POINT,NA,NA,0,0
L01-726-3,0,DANA POINT,NA,0,0,0
L01-726-5,0.035118,DANA POINT,NA,0.013,0.02423142,0.013
L01-726-6,0,DANA POINT,NA,0,0,0
L01-726-7,0,DANA POINT,NA,NA,0,0
L01-726-8,4.43e-4,SAN JUAN CAPISTRANO,NA,0,3.0566999999999997e-4,0
L01-726-9,0,SAN JUAN CAPISTRANO,NA,0,0,0
L01-727-1 (L01S04),0.129248,DANA POINT,NA,0,0.08918111999999999,0
L01-727-2,0,DANA POINT,NA,0,0,0
L01-727-3,0.006964,DANA POINT,NA,0,0.004805159999999999,0
L01-728-2,0.001976,DANA POINT,NA,3.1532999999999995e-4,0.0013634399999999998,3.1532999999999995e-4
L01-728-3 (L01S02),0.415035,DANA POINT,NA,0.200065155,0.28637415,0.200065155
L01-728-4,0.007,DANA POINT,NA,NA,0.00483,0.00483
L01-728-5 (L01-DP),0.016801,DANA POINT,NA,0.0040964999999999994,0.01159269,0.0040964999999999994
L01-728-6,0,DANA POINT,NA,0,0,0
L01-728-8d,0,DANA POINT,NA,0,0,0
L01-728-9,0,DANA POINT,NA,0,0,0
L01-730-1,0.023405,RANCHO SANTA MARGARITA,NA,NA,0.01614945,0.01614945
L01-731-1 (L08TBN2),0.314453,RANCHO SANTA MARGARITA,NA,0.007,0.21697256999999998,0.007
L01-733-2,0.113928,ORANGE CO,NA,NA,0.07861032,0.07861032
L01-733-4,0,ORANGE CO,NA,0,0,0
L01-733-5,0,ORANGE CO,NA,0,0,0
L01-733-7,0.05989,ORANGE CO,NA,0.027391275,0.041324099999999996,0.027391275
L01-747-1,0.045,SAN JUAN CAPISTRANO,NA,NA,0.031049999999999998,0.031049999999999998
L01-747-2,0.025477,SAN JUAN CAPISTRANO,NA,0.0035286599999999994,0.01757913,0.0035286599999999994
L01-748-1,0,SAN JUAN CAPISTRANO,NA,0,0,0
L01-748-2,0,SAN JUAN CAPISTRANO,NA,NA,0,0
L01-749-2d,0.081752,SAN JUAN CAPISTRANO,NA,NA,0.05640888,0.05640888
L01-749-3,0,SAN JUAN CAPISTRANO,NA,NA,0,0
L01-749-5,0.008383,SAN JUAN CAPISTRANO,NA,NA,0.005784269999999999,0.005784269999999999
L01-760-1,0.019838,ORANGE CO,NA,0.007,0.01368822,0.007
L01-760-2,0.075477,ORANGE CO,NA,0.023,0.052079129999999994,0.023
L01-766-2 (L01S06),0.186044,SAN JUAN CAPISTRANO,NA,0.21340182,0.12837036,0.21340182
L01-766-3,0.04353,SAN JUAN CAPISTRANO,NA,0.14042121,0.0300357,0.14042121
L01-766-4,0.012121,SAN JUAN CAPISTRANO,NA,0.06435215999999999,0.00836349,0.06435215999999999
L01-766-5,0,SAN JUAN CAPISTRANO,NA,NA,0,0
L01-766-7,8.05e-4,SAN JUAN CAPISTRANO,NA,1.8146999999999998e-4,5.5545e-4,1.8146999999999998e-4
L01-766-8,0,SAN JUAN CAPISTRANO,NA,0,0,0
L01-766-9,0.173904,SAN JUAN CAPISTRANO,NA,NA,0.11999375999999999,0.11999375999999999
L02-166-1 (L02PXX),0.041916,RANCHO SANTA MARGARITA,NA,NA,0.02892204,0.02892204
L02-166-2 (L02P25),0.235352,RANCHO SANTA MARGARITA,NA,0.116865,0.16239288,0.116865
L02-166-3 (L02P26),0.16714,RANCHO SANTA MARGARITA,NA,0.0335,0.1153266,0.0335
L02-198-1 (L02P29),0.008785,RANCHO SANTA MARGARITA,NA,0.001911145,0.006061649999999999,0.001911145
