FacilityID,QInscfs
L02-541-6,0.004484999999999999
I00-11453-1,0.00956754
K01-12177-1 (K01P07),0.086
L01-471-1,0.00530535
L03-141-1,0.036973305
DP01-12020-1,0
J01-9377-2 (J01TBN8),0
SC11-035-2d,0
M01-038-3,0.004
L05-503-1,0.10142999999999999
I00-11437-1,0.087425
M01-050-4,0.028999999999999998
L03-455-7,0.005
J03-9215-3,0.010499999999999999
L01-747-2,0.0035286599999999994
L03-316-1,0.002
L03-418-2,0.008425589999999998
LC06-11019-2,0.001
I01-11487-2,0.00414
I01-11023-2,4.484999999999999e-6
J07-9022-1,0.00119
L01-517-8,0
L01-261-1,0.001
L03-316-4,8.104049999999999e-4
J01-9224-1 (J01P24),0.0035
L01-517-2,0
J01-9082-3,0
L01-218-4,0.06848802
M01-008-1,0
J05-9271-6,0
L01-517-7,0
SC12-068-4,0
LC03-11515-1,0
L01-414-2,0
L02-204-1 (L02P45),0.005
L02-502-5,0
J01-10012-3,0
SC07-079-5,0
