Facility Identifier,AVGDISCHARGE,Jurisdiction,Qcalcs,QInscfs,AVGQadj,Q4calcs,QInscf,Qcont4calc2024,Qcont4calcPrior,Qcf2024,Qcfp,Qboth,Q4calcsall
J01-10019-1 (J01P33),0.007265,ALISO VIEJO,NA,NA,0.005012849999999999,0.005012849999999999,433.1102399999999,NA,0.017,NA,1468.8000000000002,NA,1468.8000000000002
J01-10041-2 (J03P13),2.4525,LAGUNA NIGUEL,NA,NA,1.6922249999999999,1.6922249999999999,146208.24,NA,NA,NA,NA,NA,146208.24
J01-9005-1 (J03P05),0.033399,LAGUNA NIGUEL,NA,0.017205489999999997,0.023045309999999996,0.017205489999999997,1486.5543359999997,0.063,NA,5443.200000000001,NA,NA,5443.200000000001
J01-9005-3,0.303774,LAGUNA NIGUEL,NA,NA,0.20960405999999998,0.20960405999999998,18109.790783999997,NA,0.834,NA,72057.6,NA,72057.6
J01-9007-1 (J02P05),0.092367,ALISO VIEJO,NA,0.0075,0.06373323,0.0075,647.9999999999999,0.026,NA,2246.3999999999996,NA,NA,2246.3999999999996
J01-9008-1 (J01P30),0.07146,ALISO VIEJO,NA,0.0430875,0.049307399999999994,0.0430875,3722.76,NA,0.051,NA,4406.4,NA,4406.4
J01-9031-1,0.037166,LAKE FOREST,NA,NA,0.025644539999999997,0.025644539999999997,2215.688256,NA,NA,NA,NA,NA,2215.688256
J01-9033-1,0.006837,LAKE FOREST,NA,0,0.00471753,0,0,NA,NA,NA,NA,NA,0
J01-9040-1,0.290204,LAKE FOREST,NA,0.0276,0.20024076,0.0276,2384.64,NA,NA,NA,NA,NA,2384.64
J01-9046-1,0.00431,LAKE FOREST,NA,6.9e-4,0.0029738999999999994,6.9e-4,59.616,0.003,NA,259.2,NA,NA,259.2
J01-9046-2,0.094019,LAKE FOREST,NA,0.006209999999999999,0.06487311,0.006209999999999999,536.544,0,NA,0,NA,NA,0
J01-9046-3,0.004993,LAKE FOREST,NA,NA,0.0034451699999999996,0.0034451699999999996,297.662688,NA,NA,NA,NA,NA,297.662688
J01-9066-1 (J01P04),0.015364,MISSION VIEJO,NA,0.002,0.010601159999999998,0.002,172.79999999999998,NA,0.005,NA,432,NA,432
J01-9066-2 (J01P03),0.085018,MISSION VIEJO,NA,0.066,0.05866241999999999,0.066,5702.4,NA,0.1985,NA,17150.4,NA,17150.4
J01-9082-2,0.162521,ALISO VIEJO,NA,0.062,0.11213949,0.062,5356.799999999999,0.048,NA,4147.2,NA,NA,4147.2
J01-9082-3,0.005053,ALISO VIEJO,NA,0,0.00348657,0,0,0,NA,0,NA,NA,0
J01-9082-4,0.02202,ALISO VIEJO,NA,0.006,0.0151938,0.006,518.4,0.015,NA,1295.9999999999998,NA,NA,1295.9999999999998
