JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
SAN CLEMENTE,Dissolved,Copper,2.425682211,5.868006692,8.293688904
MISSION VIEJO,Total,Enterococcus,2.48232E+14,1.0988E+14,3.58112E+14
LAKE FOREST,Total,Enterococcus,1.20761E+12,4.08851E+12,5.29612E+12
RANCHO SANTA MARGARITA,Total,Enterococcus,2.67709E+13,8.18312E+13,1.08602E+14
ORANGE CO,Total,Enterococcus,1.04482E+13,9.06694E+13,1.01118E+14
LAGUNA NIGUEL,Total,Enterococcus,3.09424E+13,6.09967E+13,9.19391E+13
ALISO VIEJO,Total,Enterococcus,9.1258E+12,1.28037E+13,2.19295E+13
LAGUNA HILLS,Total,Enterococcus,40792547301,3.77719E+12,3.81799E+12
LAGUNA WOODS,Total,Enterococcus,74663897171,5.78741E+11,6.53405E+11
DANA POINT,Total,Enterococcus,6.55918E+12,3.31051E+12,9.86969E+12
SAN JUAN CAPISTRANO,Total,Enterococcus,4.12001E+12,9.95542E+12,1.40754E+13
LAGUNA BEACH,Total,Enterococcus,2.54418E+11,1.19234E+11,3.73652E+11
SAN CLEMENTE,Total,Enterococcus,9.56132E+13,9.70335E+13,1.92647E+14
MISSION VIEJO,Total,Fecal coliforms,2.04765E+14,9.20391E+13,2.96805E+14
LAKE FOREST,Total,Fecal coliforms,5.61873E+11,1.03822E+13,1.09441E+13
RANCHO SANTA MARGARITA,Total,Fecal coliforms,4.38243E+13,5.94964E+13,1.03321E+14
ORANGE CO,Total,Fecal coliforms,8.96457E+12,8.33768E+13,9.23414E+13
LAGUNA NIGUEL,Total,Fecal coliforms,2.46953E+12,2.08641E+13,2.33336E+13
ALISO VIEJO,Total,Fecal coliforms,7.60068E+12,1.52349E+13,2.28356E+13
LAGUNA HILLS,Total,Fecal coliforms,2.43481E+11,4.50903E+13,4.53337E+13
LAGUNA WOODS,Total,Fecal coliforms,4.4565E+11,6.90872E+12,7.35437E+12
DANA POINT,Total,Fecal coliforms,7.37957E+12,3.37573E+12,1.07553E+13
SAN JUAN CAPISTRANO,Total,Fecal coliforms,3.71497E+12,6.53121E+12,1.02462E+13
LAGUNA BEACH,Total,Fecal coliforms,2.16579E+11,1.43887E+11,3.60467E+11
SAN CLEMENTE,Total,Fecal coliforms,3.27813E+13,5.69175E+13,8.96988E+13
MISSION VIEJO,Total,Iron,348.8848985,182.3147888,531.1996873
MISSION VIEJO,Dissolved,Iron,66.98550356,182.3147888,249.3002923
LAKE FOREST,Total,Iron,25.15513989,52.69774675,77.85288664
LAKE FOREST,Dissolved,Iron,0.601540297,52.69774675,53.29928705
RANCHO SANTA MARGARITA,Total,Iron,99.97805275,569.9185384,669.8965912
RANCHO SANTA MARGARITA,Dissolved,Iron,26.57060087,569.9185384,596.4891393
ORANGE CO,Total,Iron,238.3592399,616.3167435,854.6759834
ORANGE CO,Dissolved,Iron,56.36626384,616.3167435,672.6830074
LAGUNA NIGUEL,Total,Iron,121.1053715,577.0489987,698.1543702
ALISO VIEJO,Total,Iron,38.43055493,67.64621267,106.0767676
LAGUNA NIGUEL,Dissolved,Iron,25.34975764,577.0489987,602.3987563
ALISO VIEJO,Dissolved,Iron,3.404404312,67.64621267,71.05061699
LAGUNA HILLS,Total,Iron,0.056207654,10.40912017,10.46532782
LAGUNA WOODS,Total,Iron,0.102878657,1.594882647,1.697761304
LAGUNA HILLS,Dissolved,Iron,0.056207654,10.40912017,10.46532782
LAGUNA WOODS,Dissolved,Iron,0.102878657,1.594882647,1.697761304
DANA POINT,Total,Iron,106.1848828,22.35371037,128.5385932
SAN JUAN CAPISTRANO,Total,Iron,79.31286277,92.74171165,172.0545744
DANA POINT,Dissolved,Iron,8.409418255,22.35371037,30.76312862
SAN JUAN CAPISTRANO,Dissolved,Iron,8.112632953,92.74171165,100.8543446
LAGUNA BEACH,Total,Iron,14.02184296,4.550741524,18.57258448
LAGUNA BEACH,Dissolved,Iron,3.606145057,4.550741524,8.15688658
SAN CLEMENTE,Total,Iron,239.0405952,218.7493404,457.7899356
SAN CLEMENTE,Dissolved,Iron,29.46494753,218.7493404,248.2142879
MISSION VIEJO,Total,Lead,0.304094357,0.22053679,0.524631147
MISSION VIEJO,Dissolved,Lead,0.186670823,0.22053679,0.407207613
LAKE FOREST,Total,Lead,0.023553688,0.077183568,0.100737257
LAKE FOREST,Dissolved,Lead,0.006015403,0.077183568,0.083198971
RANCHO SANTA MARGARITA,Total,Lead,0.043182372,0.227634292,0.270816664
RANCHO SANTA MARGARITA,Dissolved,Lead,0.041349884,0.227634292,0.268984176
ORANGE CO,Total,Lead,0.182706501,0.533231323,0.715937824
ORANGE CO,Dissolved,Lead,0.327486809,0.533231323,0.860718132
LAGUNA NIGUEL,Total,Lead,0.438477091,1.288857943,1.727335034
ALISO VIEJO,Total,Lead,0.04836576,0.101932649,0.150298409
LAGUNA NIGUEL,Dissolved,Lead,0.104190713,1.288857943,1.393048657
ALISO VIEJO,Dissolved,Lead,0.018012121,0.101932649,0.11994477
LAGUNA HILLS,Total,Lead,5.62E-04,0.104091202,0.104653278
LAGUNA WOODS,Total,Lead,0.001028787,0.015948826,0.016977613
LAGUNA HILLS,Dissolved,Lead,5.62E-04,0.104091202,0.104653278
LAGUNA WOODS,Dissolved,Lead,0.001028787,0.015948826,0.016977613
DANA POINT,Total,Lead,0.15510007,0.046851791,0.201951862
SAN JUAN CAPISTRANO,Total,Lead,0.024609174,0.108787932,0.133397105
DANA POINT,Dissolved,Lead,0.031564466,0.046851791,0.078416257
SAN JUAN CAPISTRANO,Dissolved,Lead,0.024609174,0.108787932,0.133397105
LAGUNA BEACH,Total,Lead,0.013788889,0.01185861,0.025647499
LAGUNA BEACH,Dissolved,Lead,0.013788889,0.01185861,0.025647499
SAN CLEMENTE,Total,Lead,0.198245181,0.273600312,0.471845493
SAN CLEMENTE,Dissolved,Lead,0.067787353,0.273600312,0.341387665
MISSION VIEJO,Total,Manganese,783.5102278,570.989914,1354.500142
MISSION VIEJO,Dissolved,Manganese,749.4742131,570.989914,1320.464127
LAKE FOREST,Total,Manganese,8.558083184,99.27403807,107.8321213
LAKE FOREST,Dissolved,Manganese,5.694025166,99.27403807,104.9680632
RANCHO SANTA MARGARITA,Total,Manganese,20.88403845,336.514074,357.3981125
RANCHO SANTA MARGARITA,Dissolved,Manganese,16.60509597,336.514074,353.11917
ORANGE CO,Total,Manganese,215.4879142,1050.599776,1266.08769
ORANGE CO,Dissolved,Manganese,173.5026821,1050.599776,1224.102458
LAGUNA NIGUEL,Total,Manganese,345.1836636,1646.021471,1991.205134
ALISO VIEJO,Total,Manganese,6.358034673,61.01479885,67.37283352
LAGUNA NIGUEL,Dissolved,Manganese,319.8253065,1646.021471,1965.846777
ALISO VIEJO,Dissolved,Manganese,5.021879656,61.01479885,66.0366785
LAGUNA HILLS,Total,Manganese,2.135890841,392.9442864,395.0801772
LAGUNA WOODS,Total,Manganese,3.909388961,60.20681993,64.11620889
LAGUNA HILLS,Dissolved,Manganese,2.107787014,392.9442864,395.0520734
LAGUNA WOODS,Dissolved,Manganese,3.857949633,60.20681993,64.06476957
DANA POINT,Total,Manganese,214.7473988,73.26809243,288.0154913
SAN JUAN CAPISTRANO,Total,Manganese,19.61625044,37.0422907,56.65854114
DANA POINT,Dissolved,Manganese,207.449553,73.26809243,280.7176454
SAN JUAN CAPISTRANO,Dissolved,Manganese,17.11279872,37.0422907,54.15508941
LAGUNA BEACH,Total,Manganese,13.58872328,11.32497239,24.91369567
LAGUNA BEACH,Dissolved,Manganese,12.375631,11.32497239,23.70060339
SAN CLEMENTE,Total,Manganese,492.3517414,1648.981881,2141.333622
SAN CLEMENTE,Dissolved,Manganese,486.4448082,1648.981881,2135.426689
MISSION VIEJO,Total,MBAS,225.7253161,197.2469673,422.9722834
LAKE FOREST,Total,MBAS,7.527987297,41.16456985,48.69255715
RANCHO SANTA MARGARITA,Total,MBAS,33.51203678,170.2795717,203.7916084
ORANGE CO,Total,MBAS,179.2716266,257.9189126,437.1905391
LAGUNA NIGUEL,Total,MBAS,82.67833946,396.332456,479.0107955
ALISO VIEJO,Total,MBAS,11.73897823,29.34424751,41.08322574
LAGUNA HILLS,Total,MBAS,0.955530113,176.9550429,177.910573
LAGUNA WOODS,Total,MBAS,1.748937167,27.113005,28.86194217
DANA POINT,Total,MBAS,44.31799365,27.94889543,72.26688907
SAN JUAN CAPISTRANO,Total,MBAS,19.91626944,64.09422301,84.01049245
LAGUNA BEACH,Total,MBAS,14.28586644,10.79133495,25.07720139
SAN CLEMENTE,Total,MBAS,57.1118779,140.0401597,197.1520376
MISSION VIEJO,Total,Nickel,86.9914515,55.09973862,142.0911901
MISSION VIEJO,Dissolved,Nickel,86.74018087,55.09973862,141.8399195
LAKE FOREST,Total,Nickel,0.270605798,1.751268554,2.021874352
LAKE FOREST,Dissolved,Nickel,0.230132832,1.751268554,1.981401385
RANCHO SANTA MARGARITA,Total,Nickel,2.927525156,27.34883251,30.27635767
RANCHO SANTA MARGARITA,Dissolved,Nickel,2.912548832,27.34883251,30.26138135
ORANGE CO,Total,Nickel,35.0958119,140.0258683,175.1216802
ORANGE CO,Dissolved,Nickel,33.83860979,140.0258683,173.8644781
LAGUNA NIGUEL,Total,Nickel,30.17949242,134.3064268,164.4859192
ALISO VIEJO,Total,Nickel,1.46605878,4.144080031,5.610138811
LAGUNA NIGUEL,Dissolved,Nickel,29.76821207,134.3064268,164.0746388
ALISO VIEJO,Dissolved,Nickel,1.384173241,4.144080031,5.528253272
LAGUNA HILLS,Total,Nickel,0.0227641,4.215693669,4.238457768
LAGUNA WOODS,Total,Nickel,0.041665856,0.645927472,0.687593328
LAGUNA HILLS,Dissolved,Nickel,0.0227641,4.215693669,4.238457768
