JURISDICTI3,Sample Type,Parameter,ResultJuris,Units
LAGUNA BEACH,Total,Demeton,1,ng/L
SAN CLEMENTE,Total,Demeton,1,ng/L
MISSION VIEJO,Total,Diazinon,0.5,ng/L
LAKE FOREST,Total,Diazinon,0.5,ng/L
RANCHO SANTA MARGARITA,Total,Diazinon,1.2375,ng/L
ORANGE CO,Total,Diazinon,1.0688235294117647,ng/L
LAGUNA NIGUEL,Total,Diazinon,0.5,ng/L
ALISO VIEJO,Total,Diazinon,0.9188888888888889,ng/L
LAGUNA HILLS,Total,Diazinon,0.5,ng/L
LAGUNA WOODS,Total,Diazinon,0.5,ng/L
DANA POINT,Total,Diazinon,0.5,ng/L
SAN JUAN CAPISTRANO,Total,Diazinon,0.5,ng/L
LAGUNA BEACH,Total,Diazinon,0.5,ng/L
SAN CLEMENTE,Total,Diazinon,0.5,ng/L
MISSION VIEJO,Total,"Dibenz(a,h)anthracene",2.5,ng/L
LAKE FOREST,Total,"Dibenz(a,h)anthracene",2.5,ng/L
RANCHO SANTA MARGARITA,Total,"Dibenz(a,h)anthracene",2.5,ng/L
ORANGE CO,Total,"Dibenz(a,h)anthracene",2.5,ng/L
LAGUNA NIGUEL,Total,"Dibenz(a,h)anthracene",2.5,ng/L
ALISO VIEJO,Total,"Dibenz(a,h)anthracene",2.5,ng/L
LAGUNA HILLS,Total,"Dibenz(a,h)anthracene",2.5,ng/L
LAGUNA WOODS,Total,"Dibenz(a,h)anthracene",2.5,ng/L
DANA POINT,Total,"Dibenz(a,h)anthracene",2.5,ng/L
SAN JUAN CAPISTRANO,Total,"Dibenz(a,h)anthracene",2.5,ng/L
LAGUNA BEACH,Total,"Dibenz(a,h)anthracene",2.5,ng/L
SAN CLEMENTE,Total,"Dibenz(a,h)anthracene",2.5,ng/L
MISSION VIEJO,Total,Dibenzothiophene,2.5,ng/L
LAKE FOREST,Total,Dibenzothiophene,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Dibenzothiophene,2.5,ng/L
ORANGE CO,Total,Dibenzothiophene,2.5,ng/L
LAGUNA NIGUEL,Total,Dibenzothiophene,2.5,ng/L
ALISO VIEJO,Total,Dibenzothiophene,2.5,ng/L
LAGUNA HILLS,Total,Dibenzothiophene,2.5,ng/L
LAGUNA WOODS,Total,Dibenzothiophene,2.5,ng/L
DANA POINT,Total,Dibenzothiophene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Dibenzothiophene,2.5,ng/L
LAGUNA BEACH,Total,Dibenzothiophene,2.5,ng/L
SAN CLEMENTE,Total,Dibenzothiophene,2.5,ng/L
MISSION VIEJO,Total,Dichlorvos,3,ng/L
LAKE FOREST,Total,Dichlorvos,3,ng/L
RANCHO SANTA MARGARITA,Total,Dichlorvos,3,ng/L
ORANGE CO,Total,Dichlorvos,3,ng/L
LAGUNA NIGUEL,Total,Dichlorvos,3,ng/L
ALISO VIEJO,Total,Dichlorvos,3,ng/L
LAGUNA HILLS,Total,Dichlorvos,3,ng/L
LAGUNA WOODS,Total,Dichlorvos,3,ng/L
DANA POINT,Total,Dichlorvos,3,ng/L
SAN JUAN CAPISTRANO,Total,Dichlorvos,3,ng/L
LAGUNA BEACH,Total,Dichlorvos,3,ng/L
SAN CLEMENTE,Total,Dichlorvos,3,ng/L
MISSION VIEJO,Total,Dieldrin,1,ng/L
LAKE FOREST,Total,Dieldrin,1,ng/L
RANCHO SANTA MARGARITA,Total,Dieldrin,1,ng/L
ORANGE CO,Total,Dieldrin,1,ng/L
LAGUNA NIGUEL,Total,Dieldrin,1,ng/L
ALISO VIEJO,Total,Dieldrin,1,ng/L
LAGUNA HILLS,Total,Dieldrin,1,ng/L
LAGUNA WOODS,Total,Dieldrin,1,ng/L
DANA POINT,Total,Dieldrin,1,ng/L
SAN JUAN CAPISTRANO,Total,Dieldrin,1,ng/L
LAGUNA BEACH,Total,Dieldrin,1,ng/L
SAN CLEMENTE,Total,Dieldrin,1.492,ng/L
MISSION VIEJO,Total,Dimethoate,11.428571428571429,ng/L
LAKE FOREST,Total,Dimethoate,17.966666666666665,ng/L
RANCHO SANTA MARGARITA,Total,Dimethoate,5,ng/L
ORANGE CO,Total,Dimethoate,5,ng/L
LAGUNA NIGUEL,Total,Dimethoate,5,ng/L
ALISO VIEJO,Total,Dimethoate,5,ng/L
LAGUNA HILLS,Total,Dimethoate,5,ng/L
LAGUNA WOODS,Total,Dimethoate,5,ng/L
DANA POINT,Total,Dimethoate,5,ng/L
SAN JUAN CAPISTRANO,Total,Dimethoate,5,ng/L
LAGUNA BEACH,Total,Dimethoate,5,ng/L
SAN CLEMENTE,Total,Dimethoate,5,ng/L
MISSION VIEJO,Total,Disulfoton,1,ng/L
LAKE FOREST,Total,Disulfoton,1,ng/L
RANCHO SANTA MARGARITA,Total,Disulfoton,1,ng/L
ORANGE CO,Total,Disulfoton,1,ng/L
LAGUNA NIGUEL,Total,Disulfoton,1,ng/L
ALISO VIEJO,Total,Disulfoton,1,ng/L
LAGUNA HILLS,Total,Disulfoton,1,ng/L
LAGUNA WOODS,Total,Disulfoton,1,ng/L
DANA POINT,Total,Disulfoton,1,ng/L
SAN JUAN CAPISTRANO,Total,Disulfoton,1,ng/L
LAGUNA BEACH,Total,Disulfoton,1,ng/L
SAN CLEMENTE,Total,Disulfoton,1,ng/L
MISSION VIEJO,Total,DOC,7.875,ng/L
LAKE FOREST,Total,DOC,5.6,ng/L
RANCHO SANTA MARGARITA,Total,DOC,7.521428571428571,ng/L
ORANGE CO,Total,DOC,7.8933333333333335,ng/L
LAGUNA NIGUEL,Total,DOC,5.625,ng/L
ALISO VIEJO,Total,DOC,4.80625,ng/L
LAGUNA HILLS,Total,DOC,3.05,ng/L
LAGUNA WOODS,Total,DOC,3.05,ng/L
DANA POINT,Total,DOC,7.975,ng/L
SAN JUAN CAPISTRANO,Total,DOC,5.6875,ng/L
LAGUNA BEACH,Total,DOC,4.925,ng/L
SAN CLEMENTE,Total,DOC,12.3375,ng/L
MISSION VIEJO,Total,E. coli,13172.222222222223,CFU/100 mL
LAKE FOREST,Total,E. coli,2817.5,CFU/100 mL
RANCHO SANTA MARGARITA,Total,E. coli,2514.5,CFU/100 mL
ORANGE CO,Total,E. coli,2274.3478260869565,CFU/100 mL
LAGUNA NIGUEL,Total,E. coli,425.4166666666667,CFU/100 mL
ALISO VIEJO,Total,E. coli,3872.6923076923076,CFU/100 mL
LAGUNA HILLS,Total,E. coli,5280,CFU/100 mL
LAGUNA WOODS,Total,E. coli,5280,CFU/100 mL
DANA POINT,Total,E. coli,1554,CFU/100 mL
SAN JUAN CAPISTRANO,Total,E. coli,836.6666666666666,CFU/100 mL
LAGUNA BEACH,Total,E. coli,165,CFU/100 mL
SAN CLEMENTE,Total,E. coli,9868.75,CFU/100 mL
MISSION VIEJO,Total,Endosulfan I,2.5,ng/L
LAKE FOREST,Total,Endosulfan I,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Endosulfan I,2.5,ng/L
ORANGE CO,Total,Endosulfan I,2.5,ng/L
LAGUNA NIGUEL,Total,Endosulfan I,2.5,ng/L
ALISO VIEJO,Total,Endosulfan I,2.5,ng/L
LAGUNA HILLS,Total,Endosulfan I,2.5,ng/L
LAGUNA WOODS,Total,Endosulfan I,2.5,ng/L
DANA POINT,Total,Endosulfan I,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Endosulfan I,2.5,ng/L
LAGUNA BEACH,Total,Endosulfan I,2.5,ng/L
SAN CLEMENTE,Total,Endosulfan I,2.5,ng/L
MISSION VIEJO,Total,Endosulfan II,2.5,ng/L
LAKE FOREST,Total,Endosulfan II,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Endosulfan II,2.5,ng/L
ORANGE CO,Total,Endosulfan II,2.5,ng/L
LAGUNA NIGUEL,Total,Endosulfan II,2.5,ng/L
ALISO VIEJO,Total,Endosulfan II,2.5,ng/L
LAGUNA HILLS,Total,Endosulfan II,2.5,ng/L
LAGUNA WOODS,Total,Endosulfan II,2.5,ng/L
DANA POINT,Total,Endosulfan II,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Endosulfan II,2.5,ng/L
LAGUNA BEACH,Total,Endosulfan II,2.5,ng/L
SAN CLEMENTE,Total,Endosulfan II,2.5,ng/L
MISSION VIEJO,Total,Endosulfan sulfate,2.5,ng/L
LAKE FOREST,Total,Endosulfan sulfate,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Endosulfan sulfate,2.5,ng/L
ORANGE CO,Total,Endosulfan sulfate,2.5,ng/L
LAGUNA NIGUEL,Total,Endosulfan sulfate,2.5,ng/L
ALISO VIEJO,Total,Endosulfan sulfate,2.5,ng/L
LAGUNA HILLS,Total,Endosulfan sulfate,2.5,ng/L
LAGUNA WOODS,Total,Endosulfan sulfate,2.5,ng/L
DANA POINT,Total,Endosulfan sulfate,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Endosulfan sulfate,2.5,ng/L
LAGUNA BEACH,Total,Endosulfan sulfate,2.5,ng/L
SAN CLEMENTE,Total,Endosulfan sulfate,2.5,ng/L
MISSION VIEJO,Total,Endrin,2.5,ng/L
LAKE FOREST,Total,Endrin,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Endrin,2.5,ng/L
ORANGE CO,Total,Endrin,2.5,ng/L
LAGUNA NIGUEL,Total,Endrin,2.5,ng/L
ALISO VIEJO,Total,Endrin,2.5,ng/L
LAGUNA HILLS,Total,Endrin,2.5,ng/L
LAGUNA WOODS,Total,Endrin,2.5,ng/L
DANA POINT,Total,Endrin,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Endrin,2.5,ng/L
LAGUNA BEACH,Total,Endrin,2.5,ng/L
SAN CLEMENTE,Total,Endrin,2.5,ng/L
MISSION VIEJO,Total,Endrin aldehyde,2.5,ng/L
LAKE FOREST,Total,Endrin aldehyde,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Endrin aldehyde,2.5,ng/L
ORANGE CO,Total,Endrin aldehyde,2.5,ng/L
LAGUNA NIGUEL,Total,Endrin aldehyde,2.5,ng/L
ALISO VIEJO,Total,Endrin aldehyde,2.5,ng/L
LAGUNA HILLS,Total,Endrin aldehyde,2.5,ng/L
LAGUNA WOODS,Total,Endrin aldehyde,2.5,ng/L
DANA POINT,Total,Endrin aldehyde,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Endrin aldehyde,2.5,ng/L
LAGUNA BEACH,Total,Endrin aldehyde,2.5,ng/L
SAN CLEMENTE,Total,Endrin aldehyde,2.5,ng/L
MISSION VIEJO,Total,Enterococcus,12167.272727272728,CFU/100 mL
LAKE FOREST,Total,Enterococcus,2116.6666666666665,CFU/100 mL
RANCHO SANTA MARGARITA,Total,Enterococcus,8665,CFU/100 mL
ORANGE CO,Total,Enterococcus,5788.421052631579,CFU/100 mL
LAGUNA NIGUEL,Total,Enterococcus,2162.0833333333335,CFU/100 mL
ALISO VIEJO,Total,Enterococcus,6092.272727272727,CFU/100 mL
LAGUNA HILLS,Total,Enterococcus,800,CFU/100 mL
LAGUNA WOODS,Total,Enterococcus,800,CFU/100 mL
DANA POINT,Total,Enterococcus,2893,CFU/100 mL
SAN JUAN CAPISTRANO,Total,Enterococcus,2017.5,CFU/100 mL
LAGUNA BEACH,Total,Enterococcus,221.66666666666666,CFU/100 mL
SAN CLEMENTE,Total,Enterococcus,14855.714285714286,CFU/100 mL
MISSION VIEJO,Total,Ethoprop,1,ng/L
LAKE FOREST,Total,Ethoprop,1,ng/L
RANCHO SANTA MARGARITA,Total,Ethoprop,1,ng/L
ORANGE CO,Total,Ethoprop,1,ng/L
LAGUNA NIGUEL,Total,Ethoprop,1,ng/L
ALISO VIEJO,Total,Ethoprop,1,ng/L
LAGUNA HILLS,Total,Ethoprop,1,ng/L
LAGUNA WOODS,Total,Ethoprop,1,ng/L
DANA POINT,Total,Ethoprop,1,ng/L
SAN JUAN CAPISTRANO,Total,Ethoprop,1,ng/L
LAGUNA BEACH,Total,Ethoprop,1,ng/L
SAN CLEMENTE,Total,Ethoprop,1,ng/L
MISSION VIEJO,Total,Ethyl parathion,10,ng/L
LAKE FOREST,Total,Ethyl parathion,10,ng/L
RANCHO SANTA MARGARITA,Total,Ethyl parathion,10,ng/L
ORANGE CO,Total,Ethyl parathion,10,ng/L
LAGUNA NIGUEL,Total,Ethyl parathion,10,ng/L
ALISO VIEJO,Total,Ethyl parathion,10,ng/L
LAGUNA HILLS,Total,Ethyl parathion,10,ng/L
LAGUNA WOODS,Total,Ethyl parathion,10,ng/L
DANA POINT,Total,Ethyl parathion,10,ng/L
SAN JUAN CAPISTRANO,Total,Ethyl parathion,10,ng/L
LAGUNA BEACH,Total,Ethyl parathion,10,ng/L
SAN CLEMENTE,Total,Ethyl parathion,10,ng/L
MISSION VIEJO,Total,Fecal coliforms,10191.666666666666,CFU/100 mL
LAKE FOREST,Total,Fecal coliforms,5375,CFU/100 mL
RANCHO SANTA MARGARITA,Total,Fecal coliforms,6300,CFU/100 mL
ORANGE CO,Total,Fecal coliforms,5322.857142857143,CFU/100 mL
LAGUNA NIGUEL,Total,Fecal coliforms,739.5454545454545,CFU/100 mL
ALISO VIEJO,Total,Fecal coliforms,7249.090909090909,CFU/100 mL
LAGUNA HILLS,Total,Fecal coliforms,9550,CFU/100 mL
LAGUNA WOODS,Total,Fecal coliforms,9550,CFU/100 mL
DANA POINT,Total,Fecal coliforms,2950,CFU/100 mL
SAN JUAN CAPISTRANO,Total,Fecal coliforms,1323.5714285714287,CFU/100 mL
LAGUNA BEACH,Total,Fecal coliforms,267.5,CFU/100 mL
SAN CLEMENTE,Total,Fecal coliforms,8714,CFU/100 mL
MISSION VIEJO,Total,Fenchlorophos,2,ng/L
LAKE FOREST,Total,Fenchlorophos,2,ng/L
RANCHO SANTA MARGARITA,Total,Fenchlorophos,2,ng/L
ORANGE CO,Total,Fenchlorophos,2,ng/L
LAGUNA NIGUEL,Total,Fenchlorophos,2,ng/L
ALISO VIEJO,Total,Fenchlorophos,2,ng/L
LAGUNA HILLS,Total,Fenchlorophos,2,ng/L
LAGUNA WOODS,Total,Fenchlorophos,2,ng/L
DANA POINT,Total,Fenchlorophos,2,ng/L
SAN JUAN CAPISTRANO,Total,Fenchlorophos,2,ng/L
LAGUNA BEACH,Total,Fenchlorophos,2,ng/L
SAN CLEMENTE,Total,Fenchlorophos,2,ng/L
MISSION VIEJO,Total,Fensulfothion,1,ng/L
LAKE FOREST,Total,Fensulfothion,1,ng/L
RANCHO SANTA MARGARITA,Total,Fensulfothion,1,ng/L
ORANGE CO,Total,Fensulfothion,1,ng/L
LAGUNA NIGUEL,Total,Fensulfothion,1,ng/L
ALISO VIEJO,Total,Fensulfothion,1,ng/L
LAGUNA HILLS,Total,Fensulfothion,1,ng/L
LAGUNA WOODS,Total,Fensulfothion,1,ng/L
DANA POINT,Total,Fensulfothion,1,ng/L
SAN JUAN CAPISTRANO,Total,Fensulfothion,1,ng/L
LAGUNA BEACH,Total,Fensulfothion,1,ng/L
SAN CLEMENTE,Total,Fensulfothion,1,ng/L
MISSION VIEJO,Total,Fenthion,2,ng/L
LAKE FOREST,Total,Fenthion,2,ng/L
RANCHO SANTA MARGARITA,Total,Fenthion,2,ng/L
ORANGE CO,Total,Fenthion,2,ng/L
LAGUNA NIGUEL,Total,Fenthion,2,ng/L
ALISO VIEJO,Total,Fenthion,2,ng/L
LAGUNA HILLS,Total,Fenthion,2,ng/L
LAGUNA WOODS,Total,Fenthion,2,ng/L
DANA POINT,Total,Fenthion,2,ng/L
SAN JUAN CAPISTRANO,Total,Fenthion,2,ng/L
LAGUNA BEACH,Total,Fenthion,2,ng/L
SAN CLEMENTE,Total,Fenthion,2,ng/L
MISSION VIEJO,Total,Fluoranthene,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Fluoranthene,8.628571428571428,ng/L
ORANGE CO,Total,Fluoranthene,5.946666666666666,ng/L
LAGUNA NIGUEL,Total,Fluoranthene,7.944444444444445,ng/L
ALISO VIEJO,Total,Fluoranthene,8.28,ng/L
LAGUNA HILLS,Total,Fluoranthene,2.5,ng/L
LAGUNA WOODS,Total,Fluoranthene,2.5,ng/L
LAKE FOREST,Total,Fluoranthene,2.5,ng/L
DANA POINT,Total,Fluoranthene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Fluoranthene,2.5,ng/L
SAN CLEMENTE,Total,Fluoranthene,2.5,ng/L
MISSION VIEJO,Total,Fluorene,2.5,ng/L
LAKE FOREST,Total,Fluorene,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Fluorene,2.5,ng/L
ORANGE CO,Total,Fluorene,2.5,ng/L
LAGUNA NIGUEL,Total,Fluorene,2.5,ng/L
ALISO VIEJO,Total,Fluorene,2.5,ng/L
LAGUNA HILLS,Total,Fluorene,2.5,ng/L
LAGUNA WOODS,Total,Fluorene,2.5,ng/L
DANA POINT,Total,Fluorene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Fluorene,2.5,ng/L
LAGUNA BEACH,Total,Fluorene,2.5,ng/L
SAN CLEMENTE,Total,Fluorene,2.5,ng/L
MISSION VIEJO,Total,gamma BHC,2.5,ng/L
LAKE FOREST,Total,gamma BHC,2.5,ng/L
RANCHO SANTA MARGARITA,Total,gamma BHC,2.5,ng/L
ORANGE CO,Total,gamma BHC,2.5,ng/L
LAGUNA NIGUEL,Total,gamma BHC,2.5,ng/L
ALISO VIEJO,Total,gamma BHC,2.5,ng/L
LAGUNA HILLS,Total,gamma BHC,2.5,ng/L
LAGUNA WOODS,Total,gamma BHC,2.5,ng/L
DANA POINT,Total,gamma BHC,2.5,ng/L
SAN JUAN CAPISTRANO,Total,gamma BHC,2.5,ng/L
LAGUNA BEACH,Total,gamma BHC,2.5,ng/L
SAN CLEMENTE,Total,gamma BHC,2.5,ng/L
MISSION VIEJO,Total,gamma Chlordane,1,ng/L
LAKE FOREST,Total,gamma Chlordane,1,ng/L
RANCHO SANTA MARGARITA,Total,gamma Chlordane,1,ng/L
ORANGE CO,Total,gamma Chlordane,1,ng/L
LAGUNA NIGUEL,Total,gamma Chlordane,1,ng/L
ALISO VIEJO,Total,gamma Chlordane,1,ng/L
LAGUNA HILLS,Total,gamma Chlordane,1,ng/L
LAGUNA WOODS,Total,gamma Chlordane,1,ng/L
DANA POINT,Total,gamma Chlordane,1,ng/L
SAN JUAN CAPISTRANO,Total,gamma Chlordane,1,ng/L
LAGUNA BEACH,Total,gamma Chlordane,1,ng/L
SAN CLEMENTE,Total,gamma Chlordane,1,ng/L
MISSION VIEJO,Total,Hardness,1256.0833333333333,NA
LAKE FOREST,Total,Hardness,890,NA
RANCHO SANTA MARGARITA,Total,Hardness,598.9285714285714,NA
ORANGE CO,Total,Hardness,1007.8333333333334,NA
LAGUNA NIGUEL,Total,Hardness,1206.75,NA
ALISO VIEJO,Total,Hardness,876.6875,NA
LAGUNA HILLS,Total,Hardness,1055,NA
LAGUNA WOODS,Total,Hardness,1055,NA
DANA POINT,Total,Hardness,1148,NA
SAN JUAN CAPISTRANO,Total,Hardness,1039.75,NA
LAGUNA BEACH,Total,Hardness,2715,NA
SAN CLEMENTE,Total,Hardness,1503,NA
MISSION VIEJO,Total,Heptachlor,2.5,ng/L
LAKE FOREST,Total,Heptachlor,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Heptachlor,2.5,ng/L
ORANGE CO,Total,Heptachlor,2.5,ng/L
LAGUNA NIGUEL,Total,Heptachlor,2.5,ng/L
ALISO VIEJO,Total,Heptachlor,2.5,ng/L
LAGUNA HILLS,Total,Heptachlor,2.5,ng/L
LAGUNA WOODS,Total,Heptachlor,2.5,ng/L
DANA POINT,Total,Heptachlor,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Heptachlor,2.5,ng/L
LAGUNA BEACH,Total,Heptachlor,2.5,ng/L
SAN CLEMENTE,Total,Heptachlor,2.5,ng/L
MISSION VIEJO,Total,Heptachlor epoxide,2.5,ng/L
LAKE FOREST,Total,Heptachlor epoxide,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Heptachlor epoxide,2.5,ng/L
ORANGE CO,Total,Heptachlor epoxide,2.5,ng/L
LAGUNA NIGUEL,Total,Heptachlor epoxide,2.5,ng/L
ALISO VIEJO,Total,Heptachlor epoxide,2.5,ng/L
LAGUNA HILLS,Total,Heptachlor epoxide,2.5,ng/L
LAGUNA WOODS,Total,Heptachlor epoxide,2.5,ng/L
DANA POINT,Total,Heptachlor epoxide,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Heptachlor epoxide,2.5,ng/L
LAGUNA BEACH,Total,Heptachlor epoxide,2.5,ng/L
SAN CLEMENTE,Total,Heptachlor epoxide,2.5,ng/L
MISSION VIEJO,Total,Hexavalent chromium,0.7761111111111111,ug/L
MISSION VIEJO,Dissolved,Hexavalent chromium,0.7761111111111111,ug/L
LAKE FOREST,Total,Hexavalent chromium,0.485,ug/L
LAKE FOREST,Dissolved,Hexavalent chromium,0.485,ug/L
RANCHO SANTA MARGARITA,Total,Hexavalent chromium,0.42625,ug/L
RANCHO SANTA MARGARITA,Dissolved,Hexavalent chromium,0.42625,ug/L
ORANGE CO,Total,Hexavalent chromium,0.3114264705882353,ug/L
ORANGE CO,Dissolved,Hexavalent chromium,0.3114264705882353,ug/L
LAGUNA NIGUEL,Total,Hexavalent chromium,0.16776190476190475,ug/L
ALISO VIEJO,Total,Hexavalent chromium,0.605,ug/L
LAGUNA NIGUEL,Dissolved,Hexavalent chromium,0.16776190476190475,ug/L
ALISO VIEJO,Dissolved,Hexavalent chromium,0.605,ug/L
LAGUNA HILLS,Total,Hexavalent chromium,0.45,ug/L
LAGUNA WOODS,Total,Hexavalent chromium,0.45,ug/L
LAGUNA HILLS,Dissolved,Hexavalent chromium,0.45,ug/L
LAGUNA WOODS,Dissolved,Hexavalent chromium,0.45,ug/L
DANA POINT,Total,Hexavalent chromium,0.2978571428571429,ug/L
SAN JUAN CAPISTRANO,Total,Hexavalent chromium,0.2173,ug/L
DANA POINT,Dissolved,Hexavalent chromium,0.2978571428571429,ug/L
SAN JUAN CAPISTRANO,Dissolved,Hexavalent chromium,0.2173,ug/L
LAGUNA BEACH,Total,Hexavalent chromium,0.049,ug/L
LAGUNA BEACH,Dissolved,Hexavalent chromium,0.049,ug/L
SAN CLEMENTE,Total,Hexavalent chromium,0.34833333333333333,ug/L
SAN CLEMENTE,Dissolved,Hexavalent chromium,0.34833333333333333,ug/L
MISSION VIEJO,Total,"Indeno(1,2,3-cd)pyrene",2.5,ng/L
LAKE FOREST,Total,"Indeno(1,2,3-cd)pyrene",2.5,ng/L
RANCHO SANTA MARGARITA,Total,"Indeno(1,2,3-cd)pyrene",2.5,ng/L
ORANGE CO,Total,"Indeno(1,2,3-cd)pyrene",2.5,ng/L
LAGUNA NIGUEL,Total,"Indeno(1,2,3-cd)pyrene",5.213,ng/L
ALISO VIEJO,Total,"Indeno(1,2,3-cd)pyrene",5.213,ng/L
LAGUNA HILLS,Total,"Indeno(1,2,3-cd)pyrene",2.5,ng/L
LAGUNA WOODS,Total,"Indeno(1,2,3-cd)pyrene",2.5,ng/L
DANA POINT,Total,"Indeno(1,2,3-cd)pyrene",2.5,ng/L
SAN JUAN CAPISTRANO,Total,"Indeno(1,2,3-cd)pyrene",2.5,ng/L
LAGUNA BEACH,Total,"Indeno(1,2,3-cd)pyrene",2.5,ng/L
SAN CLEMENTE,Total,"Indeno(1,2,3-cd)pyrene",2.5,ng/L
MISSION VIEJO,Total,Iron,91.57142857142857,ug/L
MISSION VIEJO,Dissolved,Iron,91.57142857142857,ug/L
LAKE FOREST,Total,Iron,123.75,ug/L
LAKE FOREST,Dissolved,Iron,123.75,ug/L
RANCHO SANTA MARGARITA,Total,Iron,273.73333333333335,ug/L
RANCHO SANTA MARGARITA,Dissolved,Iron,273.73333333333335,ug/L
ORANGE CO,Total,Iron,178.47142857142856,ug/L
ORANGE CO,Dissolved,Iron,178.47142857142856,ug/L
LAGUNA NIGUEL,Total,Iron,92.77777777777777,ug/L
ALISO VIEJO,Total,Iron,146,ug/L
LAGUNA NIGUEL,Dissolved,Iron,92.77777777777777,ug/L
ALISO VIEJO,Dissolved,Iron,146,ug/L
LAGUNA HILLS,Total,Iron,10,ug/L
LAGUNA WOODS,Total,Iron,10,ug/L
LAGUNA HILLS,Dissolved,Iron,10,ug/L
LAGUNA WOODS,Dissolved,Iron,10,ug/L
DANA POINT,Total,Iron,88.60714285714286,ug/L
SAN JUAN CAPISTRANO,Total,Iron,85.25,ug/L
DANA POINT,Dissolved,Iron,88.60714285714286,ug/L
SAN JUAN CAPISTRANO,Dissolved,Iron,85.25,ug/L
LAGUNA BEACH,Total,Iron,38.375,ug/L
LAGUNA BEACH,Dissolved,Iron,38.375,ug/L
SAN CLEMENTE,Total,Iron,151.9090909090909,ug/L
SAN CLEMENTE,Dissolved,Iron,151.9090909090909,ug/L
MISSION VIEJO,Total,Lead,0.11076923076923077,ug/L
MISSION VIEJO,Dissolved,Lead,0.11076923076923077,ug/L
LAKE FOREST,Total,Lead,0.18125000000000002,ug/L
LAKE FOREST,Dissolved,Lead,0.18125000000000002,ug/L
RANCHO SANTA MARGARITA,Total,Lead,0.10933333333333334,ug/L
RANCHO SANTA MARGARITA,Dissolved,Lead,0.10933333333333334,ug/L
ORANGE CO,Total,Lead,0.15441176470588236,ug/L
ORANGE CO,Dissolved,Lead,0.15441176470588236,ug/L
LAGUNA NIGUEL,Total,Lead,0.20722222222222222,ug/L
ALISO VIEJO,Total,Lead,0.22,ug/L
LAGUNA NIGUEL,Dissolved,Lead,0.20722222222222222,ug/L
ALISO VIEJO,Dissolved,Lead,0.22,ug/L
LAGUNA HILLS,Total,Lead,0.1,ug/L
LAGUNA WOODS,Total,Lead,0.1,ug/L
LAGUNA HILLS,Dissolved,Lead,0.1,ug/L
LAGUNA WOODS,Dissolved,Lead,0.1,ug/L
DANA POINT,Total,Lead,0.18571428571428572,ug/L
SAN JUAN CAPISTRANO,Total,Lead,0.1,ug/L
DANA POINT,Dissolved,Lead,0.18571428571428572,ug/L
SAN JUAN CAPISTRANO,Dissolved,Lead,0.1,ug/L
LAGUNA BEACH,Total,Lead,0.1,ug/L
LAGUNA BEACH,Dissolved,Lead,0.1,ug/L
SAN CLEMENTE,Total,Lead,0.19,ug/L
SAN CLEMENTE,Dissolved,Lead,0.19,ug/L
MISSION VIEJO,Total,Magnesium,104.5,mg/L
LAKE FOREST,Total,Magnesium,66.225,mg/L
RANCHO SANTA MARGARITA,Total,Magnesium,48.24285714285714,mg/L
ORANGE CO,Total,Magnesium,109.71333333333334,mg/L
LAGUNA NIGUEL,Total,Magnesium,141.625,mg/L
ALISO VIEJO,Total,Magnesium,76.3375,mg/L
LAGUNA HILLS,Total,Magnesium,92.15,mg/L
LAGUNA WOODS,Total,Magnesium,92.15,mg/L
DANA POINT,Total,Magnesium,143.91666666666666,mg/L
SAN JUAN CAPISTRANO,Total,Magnesium,120.9875,mg/L
LAGUNA BEACH,Total,Magnesium,416.25,mg/L
SAN CLEMENTE,Total,Magnesium,190.2125,mg/L
MISSION VIEJO,Total,Malathion,9.028571428571428,ng/L
LAKE FOREST,Total,Malathion,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Malathion,8.2125,ng/L
ORANGE CO,Total,Malathion,2.5,ng/L
LAGUNA NIGUEL,Total,Malathion,2.5,ng/L
ALISO VIEJO,Total,Malathion,2.5,ng/L
LAGUNA HILLS,Total,Malathion,2.5,ng/L
LAGUNA WOODS,Total,Malathion,2.5,ng/L
DANA POINT,Total,Malathion,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Malathion,2.5,ng/L
LAGUNA BEACH,Total,Malathion,2.5,ng/L
