JURISDICTI3,Sample Type,Parameter,ResultJuris,Units
LAGUNA NIGUEL,Total,Acenaphthylene,2.5,ng/L
ALISO VIEJO,Total,Acenaphthylene,2.5,ng/L
LAGUNA HILLS,Total,Acenaphthylene,2.5,ng/L
LAGUNA WOODS,Total,Acenaphthylene,2.5,ng/L
DANA POINT,Total,Acenaphthylene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Acenaphthylene,2.5,ng/L
LAGUNA BEACH,Total,Acenaphthylene,2.5,ng/L
SAN CLEMENTE,Total,Acenaphthylene,2.5,ng/L
MISSION VIEJO,Total,Aldrin,2.5,ng/L
LAKE FOREST,Total,Aldrin,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Aldrin,2.5,ng/L
ORANGE CO,Total,Aldrin,2.5,ng/L
LAGUNA NIGUEL,Total,Aldrin,2.5,ng/L
ALISO VIEJO,Total,Aldrin,2.5,ng/L
LAGUNA HILLS,Total,Aldrin,2.5,ng/L
LAGUNA WOODS,Total,Aldrin,2.5,ng/L
DANA POINT,Total,Aldrin,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Aldrin,2.5,ng/L
LAGUNA BEACH,Total,Aldrin,2.5,ng/L
SAN CLEMENTE,Total,Aldrin,2.5,ng/L
MISSION VIEJO,Total,BHC-alpha,2.5,ng/L
LAKE FOREST,Total,BHC-alpha,2.5,ng/L
RANCHO SANTA MARGARITA,Total,BHC-alpha,2.5,ng/L
ORANGE CO,Total,BHC-alpha,2.5,ng/L
LAGUNA NIGUEL,Total,BHC-alpha,2.5,ng/L
ALISO VIEJO,Total,BHC-alpha,2.5,ng/L
LAGUNA HILLS,Total,BHC-alpha,2.5,ng/L
LAGUNA WOODS,Total,BHC-alpha,2.5,ng/L
DANA POINT,Total,BHC-alpha,2.5,ng/L
SAN JUAN CAPISTRANO,Total,BHC-alpha,2.5,ng/L
LAGUNA BEACH,Total,BHC-alpha,2.5,ng/L
SAN CLEMENTE,Total,BHC-alpha,2.5,ng/L
MISSION VIEJO,Total,alpha Chlordane,1,ng/L
LAKE FOREST,Total,alpha Chlordane,1,ng/L
RANCHO SANTA MARGARITA,Total,alpha Chlordane,1,ng/L
ORANGE CO,Total,alpha Chlordane,1,ng/L
LAGUNA NIGUEL,Total,alpha Chlordane,1,ng/L
ALISO VIEJO,Total,alpha Chlordane,1,ng/L
LAGUNA HILLS,Total,alpha Chlordane,1,ng/L
LAGUNA WOODS,Total,alpha Chlordane,1,ng/L
DANA POINT,Total,alpha Chlordane,1,ng/L
SAN JUAN CAPISTRANO,Total,alpha Chlordane,1,ng/L
LAGUNA BEACH,Total,alpha Chlordane,1,ng/L
SAN CLEMENTE,Total,alpha Chlordane,1,ng/L
MISSION VIEJO,Total,"Ammonia, as Nitrogen",0.171875,mg/L
LAKE FOREST,Total,"Ammonia, as Nitrogen",0.25833333333333336,mg/L
RANCHO SANTA MARGARITA,Total,"Ammonia, as Nitrogen",0.08375,mg/L
ORANGE CO,Total,"Ammonia, as Nitrogen",0.6461764705882354,mg/L
LAGUNA NIGUEL,Total,"Ammonia, as Nitrogen",0.13653846153846153,mg/L
ALISO VIEJO,Total,"Ammonia, as Nitrogen",0.4681818181818182,mg/L
LAGUNA HILLS,Total,"Ammonia, as Nitrogen",0.33,mg/L
LAGUNA WOODS,Total,"Ammonia, as Nitrogen",0.33,mg/L
DANA POINT,Total,"Ammonia, as Nitrogen",0.06,mg/L
SAN JUAN CAPISTRANO,Total,"Ammonia, as Nitrogen",0.73,mg/L
LAGUNA BEACH,Total,"Ammonia, as Nitrogen",0.05,mg/L
SAN CLEMENTE,Total,"Ammonia, as Nitrogen",0.228,mg/L
MISSION VIEJO,Total,Anthracene,2.5,ng/L
LAKE FOREST,Total,Anthracene,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Anthracene,2.5,ng/L
ORANGE CO,Total,Anthracene,2.5,ng/L
LAGUNA NIGUEL,Total,Anthracene,2.5,ng/L
ALISO VIEJO,Total,Anthracene,2.5,ng/L
LAGUNA HILLS,Total,Anthracene,2.5,ng/L
LAGUNA WOODS,Total,Anthracene,2.5,ng/L
DANA POINT,Total,Anthracene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Anthracene,2.5,ng/L
LAGUNA BEACH,Total,Anthracene,2.5,ng/L
SAN CLEMENTE,Total,Anthracene,2.5,ng/L
MISSION VIEJO,Total,"Arsenic, Total",4.804166666666666,ug/L
MISSION VIEJO,Dissolved,"Arsenic, Total",4.804166666666666,ug/L
LAKE FOREST,Total,"Arsenic, Total",5.7,ug/L
LAKE FOREST,Dissolved,"Arsenic, Total",5.7,ug/L
RANCHO SANTA MARGARITA,Total,"Arsenic, Total",3.4899999999999998,ug/L
RANCHO SANTA MARGARITA,Dissolved,"Arsenic, Total",3.4899999999999998,ug/L
ORANGE CO,Total,"Arsenic, Total",4.433666666666666,ug/L
ORANGE CO,Dissolved,"Arsenic, Total",4.433666666666666,ug/L
LAGUNA NIGUEL,Total,"Arsenic, Total",2.85,ug/L
ALISO VIEJO,Total,"Arsenic, Total",8.50625,ug/L
LAGUNA NIGUEL,Dissolved,"Arsenic, Total",2.85,ug/L
ALISO VIEJO,Dissolved,"Arsenic, Total",8.50625,ug/L
LAGUNA HILLS,Total,"Arsenic, Total",6.025,ug/L
LAGUNA WOODS,Total,"Arsenic, Total",6.025,ug/L
LAGUNA HILLS,Dissolved,"Arsenic, Total",6.025,ug/L
LAGUNA WOODS,Dissolved,"Arsenic, Total",6.025,ug/L
DANA POINT,Total,"Arsenic, Total",1.6875,ug/L
SAN JUAN CAPISTRANO,Total,"Arsenic, Total",1.45625,ug/L
DANA POINT,Dissolved,"Arsenic, Total",1.6875,ug/L
SAN JUAN CAPISTRANO,Dissolved,"Arsenic, Total",1.45625,ug/L
LAGUNA BEACH,Total,"Arsenic, Total",2,ug/L
LAGUNA BEACH,Dissolved,"Arsenic, Total",2,ug/L
SAN CLEMENTE,Total,"Arsenic, Total",4.525,ug/L
SAN CLEMENTE,Dissolved,"Arsenic, Total",4.525,ug/L
MISSION VIEJO,Total,Azinphos Methyl,5,ng/L
LAKE FOREST,Total,Azinphos Methyl,5,ng/L
RANCHO SANTA MARGARITA,Total,Azinphos Methyl,5,ng/L
ORANGE CO,Total,Azinphos Methyl,5,ng/L
LAGUNA NIGUEL,Total,Azinphos Methyl,5,ng/L
ALISO VIEJO,Total,Azinphos Methyl,5,ng/L
LAGUNA HILLS,Total,Azinphos Methyl,5,ng/L
LAGUNA WOODS,Total,Azinphos Methyl,5,ng/L
DANA POINT,Total,Azinphos Methyl,5,ng/L
SAN JUAN CAPISTRANO,Total,Azinphos Methyl,5,ng/L
LAGUNA BEACH,Total,Azinphos Methyl,5,ng/L
SAN CLEMENTE,Total,Azinphos Methyl,5,ng/L
MISSION VIEJO,Total,Benz[a]anthracene,2.5,ng/L
LAKE FOREST,Total,Benz[a]anthracene,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Benz[a]anthracene,5.2,ng/L
ORANGE CO,Total,Benz[a]anthracene,3.9382352941176473,ng/L
LAGUNA NIGUEL,Total,Benz[a]anthracene,4.322222222222222,ng/L
ALISO VIEJO,Total,Benz[a]anthracene,4.425,ng/L
LAGUNA HILLS,Total,Benz[a]anthracene,2.5,ng/L
LAGUNA WOODS,Total,Benz[a]anthracene,2.5,ng/L
DANA POINT,Total,Benz[a]anthracene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Benz[a]anthracene,2.5,ng/L
LAGUNA BEACH,Total,Benz[a]anthracene,2.5,ng/L
SAN CLEMENTE,Total,Benz[a]anthracene,2.5,ng/L
MISSION VIEJO,Total,Benzo[a]pyrene,2.5,ng/L
LAKE FOREST,Total,Benzo[a]pyrene,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Benzo[a]pyrene,2.5,ng/L
ORANGE CO,Total,Benzo[a]pyrene,2.5,ng/L
LAGUNA NIGUEL,Total,Benzo[a]pyrene,3.7,ng/L
ALISO VIEJO,Total,Benzo[a]pyrene,3.7,ng/L
LAGUNA HILLS,Total,Benzo[a]pyrene,2.5,ng/L
LAGUNA WOODS,Total,Benzo[a]pyrene,2.5,ng/L
DANA POINT,Total,Benzo[a]pyrene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Benzo[a]pyrene,2.5,ng/L
LAGUNA BEACH,Total,Benzo[a]pyrene,2.5,ng/L
SAN CLEMENTE,Total,Benzo[a]pyrene,2.5,ng/L
MISSION VIEJO,Total,Benzo[b]fluoranthene,2.5,ng/L
LAKE FOREST,Total,Benzo[b]fluoranthene,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Benzo[b]fluoranthene,9.625,ng/L
ORANGE CO,Total,Benzo[b]fluoranthene,6.670588235294118,ng/L
LAGUNA NIGUEL,Total,Benzo[b]fluoranthene,5.211111111111111,ng/L
ALISO VIEJO,Total,Benzo[b]fluoranthene,6.33,ng/L
LAGUNA HILLS,Total,Benzo[b]fluoranthene,2.5,ng/L
LAGUNA WOODS,Total,Benzo[b]fluoranthene,2.5,ng/L
DANA POINT,Total,Benzo[b]fluoranthene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Benzo[b]fluoranthene,2.5,ng/L
LAGUNA BEACH,Total,Benzo[b]fluoranthene,2.5,ng/L
SAN CLEMENTE,Total,Benzo[b]fluoranthene,2.5,ng/L
MISSION VIEJO,Total,"Benzo(g,h,i)perylene",2.5,ng/L
RANCHO SANTA MARGARITA,Total,"Benzo(g,h,i)perylene",2.5,ng/L
ORANGE CO,Total,"Benzo(g,h,i)perylene",2.8525,ng/L
LAGUNA NIGUEL,Total,"Benzo(g,h,i)perylene",7.89,ng/L
ALISO VIEJO,Total,"Benzo(g,h,i)perylene",7.915,ng/L
LAGUNA HILLS,Total,"Benzo(g,h,i)perylene",2.5,ng/L
LAGUNA WOODS,Total,"Benzo(g,h,i)perylene",2.5,ng/L
LAKE FOREST,Total,"Benzo(g,h,i)perylene",2.5,ng/L
DANA POINT,Total,"Benzo(g,h,i)perylene",2.5,ng/L
SAN JUAN CAPISTRANO,Total,"Benzo(g,h,i)perylene",2.5,ng/L
LAGUNA BEACH,Total,"Benzo(g,h,i)perylene",2.5,ng/L
SAN CLEMENTE,Total,"Benzo(g,h,i)perylene",2.5,ng/L
MISSION VIEJO,Total,Benzo(k)fluoranthene,2.5,ng/L
LAKE FOREST,Total,Benzo(k)fluoranthene,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Benzo(k)fluoranthene,5.2875,ng/L
ORANGE CO,Total,Benzo(k)fluoranthene,4.623529411764706,ng/L
LAGUNA NIGUEL,Total,Benzo(k)fluoranthene,4.644444444444445,ng/L
ALISO VIEJO,Total,Benzo(k)fluoranthene,5.8100000000000005,ng/L
LAGUNA HILLS,Total,Benzo(k)fluoranthene,2.5,ng/L
LAGUNA WOODS,Total,Benzo(k)fluoranthene,2.5,ng/L
DANA POINT,Total,Benzo(k)fluoranthene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Benzo(k)fluoranthene,2.5,ng/L
LAGUNA BEACH,Total,Benzo(k)fluoranthene,2.5,ng/L
SAN CLEMENTE,Total,Benzo(k)fluoranthene,2.5,ng/L
MISSION VIEJO,Total,BHC-beta,2.5,ng/L
LAKE FOREST,Total,BHC-beta,2.5,ng/L
RANCHO SANTA MARGARITA,Total,BHC-beta,2.5,ng/L
ORANGE CO,Total,BHC-beta,2.5,ng/L
LAGUNA NIGUEL,Total,BHC-beta,2.5,ng/L
ALISO VIEJO,Total,BHC-beta,2.5,ng/L
LAGUNA HILLS,Total,BHC-beta,2.5,ng/L
LAGUNA WOODS,Total,BHC-beta,2.5,ng/L
DANA POINT,Total,BHC-beta,2.5,ng/L
SAN JUAN CAPISTRANO,Total,BHC-beta,2.5,ng/L
LAGUNA BEACH,Total,BHC-beta,2.5,ng/L
SAN CLEMENTE,Total,BHC-beta,2.5,ng/L
MISSION VIEJO,Total,Biphenyl,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Biphenyl,2.5,ng/L
ORANGE CO,Total,Biphenyl,2.5,ng/L
LAGUNA NIGUEL,Total,Biphenyl,2.5,ng/L
ALISO VIEJO,Total,Biphenyl,2.5,ng/L
LAGUNA HILLS,Total,Biphenyl,2.5,ng/L
LAGUNA WOODS,Total,Biphenyl,2.5,ng/L
LAKE FOREST,Total,Biphenyl,2.5,ng/L
DANA POINT,Total,Biphenyl,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Biphenyl,2.5,ng/L
LAGUNA BEACH,Total,Biphenyl,2.5,ng/L
SAN CLEMENTE,Total,Biphenyl,2.5,ng/L
MISSION VIEJO,Total,Bolstar (Sulprofos),2,ng/L
LAKE FOREST,Total,Bolstar (Sulprofos),2,ng/L
RANCHO SANTA MARGARITA,Total,Bolstar (Sulprofos),2,ng/L
ORANGE CO,Total,Bolstar (Sulprofos),2,ng/L
LAGUNA NIGUEL,Total,Bolstar (Sulprofos),2,ng/L
ALISO VIEJO,Total,Bolstar (Sulprofos),2,ng/L
LAGUNA HILLS,Total,Bolstar (Sulprofos),2,ng/L
LAGUNA WOODS,Total,Bolstar (Sulprofos),2,ng/L
DANA POINT,Total,Bolstar (Sulprofos),2,ng/L
SAN JUAN CAPISTRANO,Total,Bolstar (Sulprofos),2,ng/L
LAGUNA BEACH,Total,Bolstar (Sulprofos),2,ng/L
SAN CLEMENTE,Total,Bolstar (Sulprofos),2,ng/L
MISSION VIEJO,Total,Cadmium,5.296923076923077,ug/L
MISSION VIEJO,Dissolved,Cadmium,5.296923076923077,ug/L
LAKE FOREST,Total,Cadmium,0.33699999999999997,ug/L
LAKE FOREST,Dissolved,Cadmium,0.33699999999999997,ug/L
RANCHO SANTA MARGARITA,Total,Cadmium,3.15,ug/L
RANCHO SANTA MARGARITA,Dissolved,Cadmium,3.15,ug/L
ORANGE CO,Total,Cadmium,4.970625,ug/L
ORANGE CO,Dissolved,Cadmium,4.970625,ug/L
LAGUNA NIGUEL,Total,Cadmium,2.4355882352941176,ug/L
ALISO VIEJO,Total,Cadmium,1.3378124999999998,ug/L
LAGUNA NIGUEL,Dissolved,Cadmium,2.4355882352941176,ug/L
ALISO VIEJO,Dissolved,Cadmium,1.3378124999999998,ug/L
LAGUNA HILLS,Total,Cadmium,0.4725,ug/L
LAGUNA WOODS,Total,Cadmium,0.4725,ug/L
LAGUNA HILLS,Dissolved,Cadmium,0.4725,ug/L
LAGUNA WOODS,Dissolved,Cadmium,0.4725,ug/L
DANA POINT,Total,Cadmium,1.768076923076923,ug/L
SAN JUAN CAPISTRANO,Total,Cadmium,0.37454545454545457,ug/L
DANA POINT,Dissolved,Cadmium,1.768076923076923,ug/L
SAN JUAN CAPISTRANO,Dissolved,Cadmium,0.37454545454545457,ug/L
LAGUNA BEACH,Total,Cadmium,0.1,ug/L
LAGUNA BEACH,Dissolved,Cadmium,0.1,ug/L
SAN CLEMENTE,Total,Cadmium,19.309375,ug/L
SAN CLEMENTE,Dissolved,Cadmium,19.309375,ug/L
MISSION VIEJO,Total,Calcium,330.6666666666667,ug/L
LAKE FOREST,Total,Calcium,247.25,ug/L
RANCHO SANTA MARGARITA,Total,Calcium,160.24285714285713,ug/L
ORANGE CO,Total,Calcium,222.66333333333333,ug/L
LAGUNA NIGUEL,Total,Calcium,249.5875,ug/L
ALISO VIEJO,Total,Calcium,225.21875,ug/L
LAGUNA HILLS,Total,Calcium,270.5,ug/L
LAGUNA WOODS,Total,Calcium,270.5,ug/L
DANA POINT,Total,Calcium,222.16666666666666,ug/L
SAN JUAN CAPISTRANO,Total,Calcium,217.05,ug/L
LAGUNA BEACH,Total,Calcium,401,ug/L
SAN CLEMENTE,Total,Calcium,288.625,ug/L
MISSION VIEJO,Total,Chloride,357.5,mg/L
LAKE FOREST,Total,Chloride,330,mg/L
RANCHO SANTA MARGARITA,Total,Chloride,209.28571428571428,mg/L
ORANGE CO,Total,Chloride,424.3333333333333,mg/L
LAGUNA NIGUEL,Total,Chloride,506.25,mg/L
