Jurisdiction,Facility Identifier,JURISDICTI3,AnnualCF,avgCnx,Qadj_Qall,QJur_S,QJur_US
SAN JUAN CAPISTRANO,L01-766-9,SAN JUAN CAPISTRANO,3016931.1114239995,0.635,1915751.2557542396,5857766.027041091,NA
RANCHO SANTA MARGARITA,L02-166-3 (L02P26),ORANGE CO,5596.93575594738,0.77,4309.640532079483,29278455.81804872,NA
RANCHO SANTA MARGARITA,L02-166-3 (L02P26),RANCHO SANTA MARGARITA,991102.6653902571,0.77,763149.052350498,6623621.46860727,NA
RANCHO SANTA MARGARITA,L02-246-1 (L11P01),RANCHO SANTA MARGARITA,650851.2,1,650851.2,6623621.46860727,NA
ORANGE CO,L02-374-1 (L02P50),ORANGE CO,10440692.64,0.635,6629839.826400001,29278455.81804872,NA
RANCHO SANTA MARGARITA,L02-641-1,ORANGE CO,1771.4250436392,1,1771.4250436392,29278455.81804872,NA
RANCHO SANTA MARGARITA,L02-641-1,RANCHO SANTA MARGARITA,299548.574853912,1,299548.574853912,6623621.46860727,NA
RANCHO SANTA MARGARITA,L02-641-2,ORANGE CO,28767.942708700608,0.885,25459.629297200037,29278455.81804872,NA
RANCHO SANTA MARGARITA,L02-641-2,RANCHO SANTA MARGARITA,4864668.855627531,0.885,4305231.937230365,6623621.46860727,NA
MISSION VIEJO,L03-214-2 (L03P18),MISSION VIEJO,10072589.117267119,1,10072589.117267119,29902678.15830028,NA
MISSION VIEJO,L03-214-2 (L03P18),RANCHO SANTA MARGARITA,479795.8095631303,1,479795.8095631303,6623621.46860727,NA
MISSION VIEJO,L03-316-3 (L03P12),MISSION VIEJO,8376960.281847767,1,8376960.281847767,29902678.15830028,NA
LAGUNA NIGUEL,L03-418-8,LAGUNA NIGUEL,109876.87025110077,1,109876.87025110077,16689765.127180735,NA
LAGUNA NIGUEL,L03-418-8,MISSION VIEJO,1002625.2111076597,1,1002625.2111076597,29902678.15830028,NA
MISSION VIEJO,L03-662-3 (L03P16),MISSION VIEJO,1055277.72,0.75,791458.29,29902678.15830028,NA
MISSION VIEJO,L04-266-5,MISSION VIEJO,7837275.600000001,1,7837275.600000001,29902678.15830028,NA
MISSION VIEJO,L04-672-1,MISSION VIEJO,2057529.5999999999,0.885,1820913.696,29902678.15830028,NA
ORANGE CO,L05-049-1,ORANGE CO,6459566.4,1,6459566.4,29278455.81804872,NA
ORANGE CO,L05-489-3,ORANGE CO,15273413.564915098,1,15273413.564915098,29278455.81804872,NA
SAN JUAN CAPISTRANO,L05-503-1,SAN JUAN CAPISTRANO,2550193.6319999998,1,2550193.6319999998,5857766.027041091,NA
SAN CLEMENTE,M01-042-1 (M01S01),SAN CLEMENTE,2487089.6999999997,0.9233333333333333,2296412.823,27991586.96287821,NA
SAN CLEMENTE,M01-047-1,SAN CLEMENTE,17133085.580831997,1,17133085.580831997,27991586.96287821,NA
SAN CLEMENTE,M02-032-1,SAN CLEMENTE,2370822.470496,1,2370822.470496,27991586.96287821,NA
SAN CLEMENTE,M02-085-1 (M02P06),ORANGE CO,1001.7491079345659,0.9233333333333333,924.9483429929159,29278455.81804872,NA
SAN CLEMENTE,M02-085-1 (M02P06),SAN CLEMENTE,1444773.5507764034,0.9233333333333333,1334007.5785502123,27991586.96287821,NA
SAN CLEMENTE,M02-085-2,SAN CLEMENTE,5736919.5,0.8466666666666667,4857258.51,27991586.96287821,NA
LAGUNA WOODS,I01-11343-1,LAGUNA WOODS,0,1,0,1554221.857610405,NA
LAGUNA BEACH,DP04-12015-1,LAGUNA BEACH,113945.75562177214,0,0,NA,1899568.6488852124
LAGUNA BEACH,DP04-12015-1,LAGUNA NIGUEL,58643.29739609311,0,0,NA,99629956.0207097
LAGUNA BEACH,DP04-12015-1,ORANGE CO,221.03715248788882,0,0,NA,55316727.45998856
DANA POINT,DP06-12106-1,DANA POINT,1064312.5265280001,0.385,409760.3227132801,NA,4041123.28077577
LAGUNA BEACH,I00-11453-1,LAGUNA BEACH,238071.01132800002,0.385,91657.33936128,NA,1899568.6488852124
LAGUNA BEACH,I00-11518-1,LAGUNA BEACH,1320357.6671881007,0,0,NA,1899568.6488852124
LAGUNA BEACH,I00-11518-1,ORANGE CO,45194.02867024357,0,0,NA,55316727.45998856
