Facility Identifier,JURISDICTI3,Qadj_Qall,QJur_US,QJur_S
I01-11216-4 (I02P14),ALISO VIEJO,0,7421844.377621106,NA
I01-11217-1,ALISO VIEJO,0,7421844.377621106,NA
I01-11487-2,LAGUNA BEACH,25754.112025754108,1899568.6488852124,NA
I01-11502-1,LAGUNA BEACH,91760.9791361386,1899568.6488852124,NA
I01-11502-1,LAGUNA WOODS,346489.2753477594,2554759.0466204807,NA
I01-11503-5,LAGUNA BEACH,72252.73947727449,1899568.6488852124,NA
J01-10004-2,LAKE FOREST,10175.886040319998,6821314.153797195,NA
J01-10017-1 (J01TBN4),ALISO VIEJO,0,7421844.377621106,NA
J01-10019-1 (J01P33),ALISO VIEJO,324590.1120000001,7421844.377621106,NA
J01-10041-2 (J03P13),LAGUNA HILLS,3131.0886418731334,16673824.852583786,NA
J01-10041-2 (J03P13),LAGUNA NIGUEL,32307427.99981589,99629956.0207097,NA
J01-9005-1 (J03P05),LAGUNA NIGUEL,1562198.4000000001,99629956.0207097,NA
J01-9005-3,LAGUNA HILLS,286384.2905483643,16673824.852583786,NA
J01-9005-3,LAGUNA NIGUEL,20394146.852373373,99629956.0207097,NA
J01-9008-1 (J01P30),ALISO VIEJO,885245.7599999998,7421844.377621106,NA
J01-9040-1,LAKE FOREST,513183.68174068735,6821314.153797195,NA
J01-9040-1,ORANGE CO,110.07890606280961,55316727.45998856,NA
J01-9046-1,LAKE FOREST,38102.4,6821314.153797195,NA
J01-9046-3,LAKE FOREST,67384.87930944,6821314.153797195,NA
J01-9066-1 (J01P04),LAKE FOREST,3613.454747199359,6821314.153797195,NA
J01-9066-1 (J01P04),MISSION VIEJO,123394.54342642559,31892100.351538483,NA
J01-9066-2 (J01P03),LAKE FOREST,41264.326186261926,6821314.153797195,NA
J01-9066-2 (J01P03),MISSION VIEJO,5000953.275578515,31892100.351538483,NA
J01-9082-4,ALISO VIEJO,363945.37594010396,7421844.377621106,NA
J01-9082-4,ORANGE CO,8006.6205970228775,55316727.45998856,NA
J01-9144-1 (J01P23),ALISO VIEJO,123984,7421844.377621106,NA
J01-9144-4 (J01P26),ALISO VIEJO,0,7421844.377621106,NA
J01-9259-3,LAKE FOREST,81103.94907549306,6821314.153797195,NA
J01-9264-1 (J01P06),LAKE FOREST,1777720.4383291316,6821314.153797195,NA
J01-9313-1,ALISO VIEJO,653577.4082979064,7421844.377621106,NA
J01-9313-1,ORANGE CO,5149.57604768583,55316727.45998856,NA
J01-9349-1,LAKE FOREST,25363.948752737277,6821314.153797195,NA
J01-9349-1,MISSION VIEJO,37.65118121856,31892100.351538483,NA
J01-9782-1 (J01TBN3),LAKE FOREST,0,6821314.153797195,NA
J01-9782-1 (J01TBN3),MISSION VIEJO,0,31892100.351538483,NA
J01-9785-1,LAKE FOREST,4230674.836416,6821314.153797195,NA
J03-9215-1,LAGUNA NIGUEL,490391.1124267824,99629956.0207097,NA
J03-9215-3,LAGUNA NIGUEL,843091.2000000001,99629956.0207097,NA
J03-9216-1 (J03P01),LAGUNA NIGUEL,309960,99629956.0207097,NA
J03-9216-2,LAGUNA NIGUEL,15614427.939400371,99629956.0207097,NA
J03-9216-2,SAN JUAN CAPISTRANO,23343.35003176515,17426169.430142604,NA
J03-9216-5,LAGUNA NIGUEL,490391.1124267824,99629956.0207097,NA
J03-9234-5,LAGUNA NIGUEL,190655.01109871996,99629956.0207097,NA
J03-9234-6,LAGUNA NIGUEL,960088.3546853288,99629956.0207097,NA
J03-9234-6,SAN JUAN CAPISTRANO,6986.843467557407,17426169.430142604,NA
J03-9234-8,LAGUNA NIGUEL,2012421.796487954,99629956.0207097,NA
J03-9234-8,SAN JUAN CAPISTRANO,5141.691083519272,17426169.430142604,NA
J03-9368-1 (J03TBN1),LAGUNA NIGUEL,64985.06442968517,99629956.0207097,NA
J03-9368-1 (J03TBN1),SAN JUAN CAPISTRANO,850.4396460256535,17426169.430142604,NA
J03-9368-2 (J03TBN2),LAGUNA NIGUEL,49593.600000000006,99629956.0207097,NA
J04-9249-1,ALISO VIEJO,1629953.9817760747,7421844.377621106,NA
J04-9249-1,LAGUNA HILLS,14513370.72291995,16673824.852583786,NA
J04-9249-1,LAGUNA NIGUEL,4059353.067586216,99629956.0207097,NA
J07-9022-1,MISSION VIEJO,30227.904000000006,31892100.351538483,NA
J07-9022-6,MISSION VIEJO,41369.13593568,31892100.351538483,NA
J07-9109-1,LAKE FOREST,8585.921510531522,6821314.153797195,NA
J07-9109-1,MISSION VIEJO,109246.52015794844,31892100.351538483,NA
J07-9109-2,LAKE FOREST,16997.86788737323,6821314.153797195,NA
J07-9109-2,MISSION VIEJO,869638.7341562638,31892100.351538483,NA
J07-9109-4 (J07P02),LAKE FOREST,7017.918931558078,6821314.153797195,NA
J07-9109-4 (J07P02),MISSION VIEJO,543350.0814041663,31892100.351538483,NA
J07-9110-1,LAKE FOREST,124.64487046201327,6821314.153797195,NA
J07-9110-1,MISSION VIEJO,63508.382486741655,31892100.351538483,NA
J07-9110-2,MISSION VIEJO,12700.800000000001,31892100.351538483,NA
K01-12032-2 (K01P11),LAGUNA NIGUEL,4633902,99629956.0207097,NA
K01-12036-1,LAGUNA NIGUEL,2567588.0999999996,99629956.0207097,NA
K01-12036-10,LAGUNA NIGUEL,278220.1957242315,99629956.0207097,NA
K01-12036-5,LAGUNA NIGUEL,1668334.2151748997,99629956.0207097,NA
K01-12058-1 (K01P08),LAGUNA NIGUEL,1661503.4544865214,99629956.0207097,NA
K01-12058-1 (K01P08),SAN JUAN CAPISTRANO,37821.24761023491,17426169.430142604,NA
K01-12058-2 (K01P09),LAGUNA NIGUEL,1607576.4536179998,99629956.0207097,NA
K01-12058-2 (K01P09),SAN JUAN CAPISTRANO,49253.67782018159,17426169.430142604,NA
K01-12062-1,LAGUNA NIGUEL,1014034.6409646709,99629956.0207097,NA
K01-12062-1,SAN JUAN CAPISTRANO,36566.47291629205,17426169.430142604,NA
K01-12138-1 (K01TBN1),LAGUNA NIGUEL,98026.87721908736,99629956.0207097,NA
K01-12155-1,LAGUNA NIGUEL,1523.4389999999999,99629956.0207097,NA
K01-12155-5,LAGUNA NIGUEL,240790.70400000003,99629956.0207097,NA
K01-12156-1,LAGUNA NIGUEL,397336.4086540905,99629956.0207097,NA
K01-12156-6,LAGUNA NIGUEL,3157228.8,99629956.0207097,NA
L01-125-1,ORANGE CO,5477311.919754536,55316727.45998856,NA
L01-125-1,RANCHO SANTA MARGARITA,26540951.318667375,33350804.219124522,NA
L01-125-2,ORANGE CO,139693.84772841763,55316727.45998856,NA
L01-125-2,RANCHO SANTA MARGARITA,129259.56126890851,33350804.219124522,NA
L01-125-3,ORANGE CO,4663.414511418481,55316727.45998856,NA
L01-125-3,RANCHO SANTA MARGARITA,433359.24046144827,33350804.219124522,NA
L01-218-1,ORANGE CO,51930.162180849205,55316727.45998856,NA
L01-218-1,RANCHO SANTA MARGARITA,67050.98584308852,33350804.219124522,NA
L01-218-2,RANCHO SANTA MARGARITA,257106.65349599998,33350804.219124522,NA
L01-218-3,RANCHO SANTA MARGARITA,77065.09411835499,33350804.219124522,NA
L01-218-4,RANCHO SANTA MARGARITA,1048349.9574691199,33350804.219124522,NA
L01-223-1 (L08TBN1),ORANGE CO,14317.25616128719,55316727.45998856,NA
L01-223-1 (L08TBN1),RANCHO SANTA MARGARITA,319786.36041002994,33350804.219124522,NA
L01-242-1 (L07P16),ORANGE CO,45696.12035342566,55316727.45998856,NA
L01-242-1 (L07P16),RANCHO SANTA MARGARITA,155.99515391068113,33350804.219124522,NA
L01-261-1,ORANGE CO,24069.752567061114,55316727.45998856,NA
L01-261-1,RANCHO SANTA MARGARITA,35.847432215712,33350804.219124522,NA
L01-303-1,ORANGE CO,42825.52335693408,55316727.45998856,NA
L01-303-2,ORANGE CO,739330.8047999999,55316727.45998856,NA
L01-303-3,ORANGE CO,51930.162180849205,55316727.45998856,NA
L01-303-5,ORANGE CO,184154.39125782406,55316727.45998856,NA
L01-303-5,RANCHO SANTA MARGARITA,146.90198464686944,33350804.219124522,NA
L01-335-1,ORANGE CO,237387.09756512265,55316727.45998856,NA
L01-335-1,RANCHO SANTA MARGARITA,60080.66484207728,33350804.219124522,NA
L01-335-2,ORANGE CO,35566.370223485275,55316727.45998856,NA
L01-335-2,RANCHO SANTA MARGARITA,94362.81377651473,33350804.219124522,NA
L01-372-1,ORANGE CO,306676.9452211954,55316727.45998856,NA
L01-391-3,ORANGE CO,46222.488,55316727.45998856,NA
L01-399-2,ORANGE CO,12807.305280000002,55316727.45998856,NA
