JURISDICTI3,QJur_US,Sample Type,Parameter,ResultJuris,Units,LoadQUns,LoadsPoundsQUns
LAGUNA BEACH,1899568.6488852124,Total,Fecal coliforms,267.5,CFU/100 mL,508134613.5767943,143887462257.3137
LAGUNA BEACH,1899568.6488852124,Total,Fenchlorophos,2,ng/L,3799137.2977704247,2.371721966734545e-4
LAGUNA BEACH,1899568.6488852124,Total,Fensulfothion,1,ng/L,1899568.6488852124,1.1858609833672725e-4
LAGUNA BEACH,1899568.6488852124,Total,Fenthion,2,ng/L,3799137.2977704247,2.371721966734545e-4
LAGUNA BEACH,1899568.6488852124,Total,Fluorene,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,gamma BHC,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,gamma Chlordane,1,ng/L,1899568.6488852124,1.1858609833672725e-4
LAGUNA BEACH,1899568.6488852124,Total,Hardness,2715,NA,5157328881.7233515,NA
LAGUNA BEACH,1899568.6488852124,Total,Heptachlor,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,Heptachlor epoxide,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,Hexavalent chromium,0.049,ug/L,93078.86379537541,0.005810718818499635
LAGUNA BEACH,1899568.6488852124,Dissolved,Hexavalent chromium,0.049,ug/L,93078.86379537541,0.005810718818499635
LAGUNA BEACH,1899568.6488852124,Total,"Indeno(1,2,3-cd)pyrene",2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,Iron,38.375,ug/L,72895946.90097003,4.550741523671907
LAGUNA BEACH,1899568.6488852124,Dissolved,Iron,38.375,ug/L,72895946.90097003,4.550741523671907
LAGUNA BEACH,1899568.6488852124,Total,Lead,0.1,ug/L,189956.86488852126,0.011858609833672725
LAGUNA BEACH,1899568.6488852124,Dissolved,Lead,0.1,ug/L,189956.86488852126,0.011858609833672725
LAGUNA BEACH,1899568.6488852124,Total,Magnesium,416.25,mg/L,790695450.0984696,49361.46343266271
LAGUNA BEACH,1899568.6488852124,Total,Malathion,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,Manganese,95.5,ug/L,181408805.96853778,11.32497239115745
LAGUNA BEACH,1899568.6488852124,Dissolved,Manganese,95.5,ug/L,181408805.96853778,11.32497239115745
LAGUNA BEACH,1899568.6488852124,Total,MBAS,0.091,mg/L,172860.74704855433,10.791334948642179
LAGUNA BEACH,1899568.6488852124,Total,Mercury,0.030000000000000002,ug/L,56987.05946655638,0.0035575829501018176
LAGUNA BEACH,1899568.6488852124,Dissolved,Mercury,0.030000000000000002,ug/L,56987.05946655638,0.0035575829501018176
LAGUNA BEACH,1899568.6488852124,Total,Merphos,1,ng/L,1899568.6488852124,1.1858609833672725e-4
LAGUNA BEACH,1899568.6488852124,Total,Methoxychlor,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,Methyl parathion,1,ng/L,1899568.6488852124,1.1858609833672725e-4
LAGUNA BEACH,1899568.6488852124,Total,Mevinphos,5,ng/L,9497843.244426062,5.929304916836362e-4
LAGUNA BEACH,1899568.6488852124,Total,Mirex,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,Naphthalene,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,Nickel,3.5625,ug/L,6767213.311653569,0.4224629753245909
LAGUNA BEACH,1899568.6488852124,Dissolved,Nickel,3.5625,ug/L,6767213.311653569,0.4224629753245909
LAGUNA BEACH,1899568.6488852124,Total,Nitrate+Nitrite Nitrogen,0.5,mg/L,949784.3244426062,59.293049168363616
LAGUNA BEACH,1899568.6488852124,Total,Orthophosphate as P,0.079,mg/L,150065.92326193178,9.368301768601452
LAGUNA BEACH,1899568.6488852124,Total,Phenanthrene,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,Phorate,5,ng/L,9497843.244426062,5.929304916836362e-4
LAGUNA BEACH,1899568.6488852124,Total,Phosphorus as PO4,0.3675,mg/L,698091.4784653155,43.58039113874726
LAGUNA BEACH,1899568.6488852124,Total,Selenium,12.0125,ug/L,22818568.39473361,1.424515506269936
LAGUNA BEACH,1899568.6488852124,Dissolved,Selenium,12.0125,ug/L,22818568.39473361,1.424515506269936
LAGUNA BEACH,1899568.6488852124,Total,Silver,0.1,ug/L,189956.86488852126,0.011858609833672725
LAGUNA BEACH,1899568.6488852124,Dissolved,Silver,0.1,ug/L,189956.86488852126,0.011858609833672725
LAGUNA BEACH,1899568.6488852124,Total,Specific Conductivity,9015,NA,17124611369.70019,NA
LAGUNA BEACH,1899568.6488852124,Total,Sulfate as SO4,2225,mg/L,4226540243.7695975,263854.0687992181
LAGUNA BEACH,1899568.6488852124,Total,Tetrachlorvinphos (Stirofos),2,ng/L,3799137.2977704247,2.371721966734545e-4
LAGUNA BEACH,1899568.6488852124,Total,Thallium,0.1,ug/L,189956.86488852126,0.011858609833672725
LAGUNA BEACH,1899568.6488852124,Dissolved,Thallium,0.1,ug/L,189956.86488852126,0.011858609833672725
LAGUNA BEACH,1899568.6488852124,Total,TOC,4.6,mg/L,8738015.784871977,545.4960523489453
LAGUNA BEACH,1899568.6488852124,Total,Tokuthion,3,ng/L,5698705.946655637,3.5575829501018167e-4
LAGUNA BEACH,1899568.6488852124,Total,Total Coliform,18250,CFU/100 mL,34667127842.15513,NA
LAGUNA BEACH,1899568.6488852124,Total,Total Dissolved Solids (TDS),6450,mg/L,12252217785.30962,764880.3342718907
LAGUNA BEACH,1899568.6488852124,Total,Total Kjeldahl Nitrogen,0.54,mg/L,1025767.0703980147,64.0364931018327
LAGUNA BEACH,1899568.6488852124,Total,Total Suspended Solids,4.1,mg/L,7788231.46042937,486.2030031805817
LAGUNA BEACH,1899568.6488852124,Total,Toxaphene,12.5,ng/L,23744608.111065153,0.0014823262292090902
LAGUNA BEACH,1899568.6488852124,Total,trans-Nonachlor,1,ng/L,1899568.6488852124,1.1858609833672725e-4
LAGUNA BEACH,1899568.6488852124,Total,Trichloronate,1,ng/L,1899568.6488852124,1.1858609833672725e-4
LAGUNA BEACH,1899568.6488852124,Total,Volatile Suspended Solids,3.8000000000000003,mg/L,7218360.865763808,450.62717367956355
LAGUNA BEACH,1899568.6488852124,Total,Zinc,5,ug/L,9497843.244426062,0.5929304916836362
LAGUNA BEACH,1899568.6488852124,Dissolved,Zinc,5,ug/L,9497843.244426062,0.5929304916836362
LAGUNA BEACH,1899568.6488852124,NA,NA,NA,NA,NA,NA
LAGUNA NIGUEL,99629956.0207097,Total,"2,4'-DDD",1,ng/L,99629956.0207097,0.006219689806361735
LAGUNA NIGUEL,99629956.0207097,Total,"2,4'-DDE",1,ng/L,99629956.0207097,0.006219689806361735
LAGUNA NIGUEL,99629956.0207097,Total,"2,4'-DDT",1,ng/L,99629956.0207097,0.006219689806361735
