StationCode,Jurisdiction,VolumeDischargeCFS,HandMeterDischarge,AVGvDISCHARGE,AVGfmDISCHARGE,Qcalcs
J01-9785-1,LAKE FOREST,NA,NA,0.002,NA,0.002
J01-9785-1,LAKE FOREST,NA,NA,0.002,NA,0.002
L01-218-4,RANCHO SANTA MARGARITA,0.006,NA,0.00675,NA,0.00675
L01-218-4,RANCHO SANTA MARGARITA,0.01,NA,0.00675,NA,0.00675
L01-218-4,RANCHO SANTA MARGARITA,0.006,NA,0.00675,NA,0.00675
L01-218-4,RANCHO SANTA MARGARITA,0.005,NA,0.00675,NA,0.00675
L02-366-1,MISSION VIEJO,0.016,NA,0.00975,NA,0.00975
L02-366-1,MISSION VIEJO,0.009,NA,0.00975,NA,0.00975
L02-366-1,MISSION VIEJO,0.01,NA,0.00975,NA,0.00975
L02-366-1,MISSION VIEJO,0.004,NA,0.00975,NA,0.00975
L02-641-1,RANCHO SANTA MARGARITA,NA,NA,0.01,NA,0.01
L02-641-1,RANCHO SANTA MARGARITA,0.004,NA,0.01,NA,0.01
L02-641-1,RANCHO SANTA MARGARITA,0.011,NA,0.01,NA,0.01
L02-641-1,RANCHO SANTA MARGARITA,0.012,NA,0.01,NA,0.01
L02-641-1,RANCHO SANTA MARGARITA,0.013,NA,0.01,NA,0.01
DAIRYFORK_MOULTON,ALISO VIEJO,NA,NA,0.2755,NA,0.2755
DAIRYFORK_MOULTON,ALISO VIEJO,0.18,NA,0.2755,NA,0.2755
DAIRYFORK_MOULTON,ALISO VIEJO,0.354,NA,0.2755,NA,0.2755
DAIRYFORK_MOULTON,ALISO VIEJO,0.404,NA,0.2755,NA,0.2755
DAIRYFORK_MOULTON,ALISO VIEJO,0.46,NA,0.2755,NA,0.2755
DAIRYFORK_MOULTON,ALISO VIEJO,0.251,NA,0.2755,NA,0.2755
DAIRYFORK_MOULTON,ALISO VIEJO,0.004,NA,0.2755,NA,0.2755
DAIRYFORK_MOULTON,ALISO VIEJO,NA,NA,0.2755,NA,0.2755
J06-9079-1 (J06P03),ALISO VIEJO,0.019,NA,0.028615384615384615,NA,0.028615384615384615
J06-9079-1 (J06P03),ALISO VIEJO,0.011,NA,0.028615384615384615,NA,0.028615384615384615
J06-9079-1 (J06P03),ALISO VIEJO,0.02,NA,0.028615384615384615,NA,0.028615384615384615
J06-9079-1 (J06P03),ALISO VIEJO,0.04,NA,0.028615384615384615,NA,0.028615384615384615
J06-9079-1 (J06P03),ALISO VIEJO,0.022,NA,0.028615384615384615,NA,0.028615384615384615
J06-9079-1 (J06P03),ALISO VIEJO,0.022,NA,0.028615384615384615,NA,0.028615384615384615
J06-9079-1 (J06P03),ALISO VIEJO,0.035,NA,0.028615384615384615,NA,0.028615384615384615
J06-9079-1 (J06P03),ALISO VIEJO,0.033,NA,0.028615384615384615,NA,0.028615384615384615
J06-9079-1 (J06P03),ALISO VIEJO,0.032,NA,0.028615384615384615,NA,0.028615384615384615
J06-9079-1 (J06P03),ALISO VIEJO,0.049,NA,0.028615384615384615,NA,0.028615384615384615
J06-9079-1 (J06P03),ALISO VIEJO,0.035,NA,0.028615384615384615,NA,0.028615384615384615
J06-9079-1 (J06P03),ALISO VIEJO,0.031,NA,0.028615384615384615,NA,0.028615384615384615
J06-9079-1 (J06P03),ALISO VIEJO,0.023,NA,0.028615384615384615,NA,0.028615384615384615
L04-266-5,MISSION VIEJO,0.143,NA,0.143,0.15666666666666668,0.143
L04-266-5,MISSION VIEJO,NA,NA,0.143,0.15666666666666668,0.143
L04-266-5,MISSION VIEJO,NA,NA,0.143,0.15666666666666668,0.143
L04-266-5,MISSION VIEJO,NA,0.14,0.143,0.15666666666666668,0.143
L04-266-5,MISSION VIEJO,NA,0.17,0.143,0.15666666666666668,0.143
L04-266-5,MISSION VIEJO,NA,0.16,0.143,0.15666666666666668,0.143
L04-266-5,MISSION VIEJO,NA,NA,0.143,0.15666666666666668,0.143
L04-266-5,MISSION VIEJO,NA,NA,0.143,0.15666666666666668,0.143
ALISOHILLS_MOULTON,LAGUNA HILLS,NA,0.459,0.5986666666666667,0.35633333333333334,0.5986666666666667
ALISOHILLS_MOULTON,LAGUNA HILLS,NA,0.213,0.5986666666666667,0.35633333333333334,0.5986666666666667
ALISOHILLS_MOULTON,LAGUNA HILLS,NA,0.397,0.5986666666666667,0.35633333333333334,0.5986666666666667
ALISOHILLS_MOULTON,LAGUNA HILLS,0.57,NA,0.5986666666666667,0.35633333333333334,0.5986666666666667
ALISOHILLS_MOULTON,LAGUNA HILLS,0.943,NA,0.5986666666666667,0.35633333333333334,0.5986666666666667
ALISOHILLS_MOULTON,LAGUNA HILLS,0.283,NA,0.5986666666666667,0.35633333333333334,0.5986666666666667
J07-9022-1,MISSION VIEJO,0.006,NA,0.0026666666666666666,NA,0.0026666666666666666
J07-9022-1,MISSION VIEJO,0.001,NA,0.0026666666666666666,NA,0.0026666666666666666
J07-9022-1,MISSION VIEJO,0.001,NA,0.0026666666666666666,NA,0.0026666666666666666
L01-414-3,ORANGE CO,NA,NA,NA,NA,NA
L01-414-3,ORANGE CO,NA,NA,NA,NA,NA
J01-9224-1,LAGUNA NIGUEL,NA,NA,0.0038666666666666667,NA,0.0038666666666666667
J01-9224-1,LAGUNA NIGUEL,NA,NA,0.0038666666666666667,NA,0.0038666666666666667
J01-9224-1,LAGUNA NIGUEL,NA,NA,0.0038666666666666667,NA,0.0038666666666666667
J01-9224-1,LAGUNA NIGUEL,0.002,NA,0.0038666666666666667,NA,0.0038666666666666667
J01-9224-1,LAGUNA NIGUEL,0.007,NA,0.0038666666666666667,NA,0.0038666666666666667
J01-9224-1,LAGUNA NIGUEL,0.006,NA,0.0038666666666666667,NA,0.0038666666666666667
J01-9224-1,LAGUNA NIGUEL,0.005,NA,0.0038666666666666667,NA,0.0038666666666666667
J01-9224-1,LAGUNA NIGUEL,0.003,NA,0.0038666666666666667,NA,0.0038666666666666667
J01-9224-1,LAGUNA NIGUEL,0.001,NA,0.0038666666666666667,NA,0.0038666666666666667
J01-9224-1,LAGUNA NIGUEL,0.001,NA,0.0038666666666666667,NA,0.0038666666666666667
J01-9224-1,LAGUNA NIGUEL,0.005,NA,0.0038666666666666667,NA,0.0038666666666666667
J01-9224-1,LAGUNA NIGUEL,0.002,NA,0.0038666666666666667,NA,0.0038666666666666667
J01-9224-1,LAGUNA NIGUEL,0.004,NA,0.0038666666666666667,NA,0.0038666666666666667
