Time,J01_9066_2,J01_9066_2,J01_9066_2,J01_9066_1,J01_9066_1,J01_9066_1,J01_9273_1,J01_9273_1,J01_9273_1
and,236.34,231,262,236.34,231,262,232.37,231,262
Date,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
10/1/2023 0:00,,,,32.7,0.02,0,,,
10/2/2023 0:00,,,,32.6,0.12,0.001,,,
10/3/2023 0:00,,,,32.6,0.14,0.002,,,
10/4/2023 0:00,,,,32.6,0.09,0.001,,,
10/5/2023 0:00,,,,32.6,0.09,0.001,,,
10/6/2023 0:00,,,,32.6,0.09,0.001,,,
10/7/2023 0:00,,,,32.6,0.09,0.001,,,
10/8/2023 0:00,,,,32.6,0.09,0.002,,,
10/9/2023 0:00,,,,32.6,0.12,0.001,,,
10/10/2023 0:00,,,,32.6,0.12,0.002,,,
10/11/2023 0:00,,,,32.5,0.18,0.003,,,
10/12/2023 0:00,,,,32.6,0.13,0.002,,,
10/13/2023 0:00,,,,32.6,0.11,0.001,,,
10/14/2023 0:00,,,,32.6,0.13,0.002,,,
10/15/2023 0:00,,,,32.6,0.06,0.001,,,
10/16/2023 0:00,,,,32.6,0.1,0.002,,,
10/17/2023 0:00,,,,32.6,0.13,0.002,,,
10/18/2023 0:00,,,,32.5,0.15,0.003,,,
10/19/2023 0:00,,,,32.6,0.08,0.001,,,
10/20/2023 0:00,,,,32.6,0.06,0.001,,,
10/21/2023 0:00,,,,32.5,0.19,0.004,,,
10/22/2023 0:00,,,,32.5,0.19,0.006,,,
10/23/2023 0:00,,,,32.4,0.25,0.006,,,
10/24/2023 0:00,,,,32.5,0.18,0.002,,,
10/25/2023 0:00,,,,32.3,0.36,0.013,,,
10/26/2023 0:00,,,,32.6,0.08,0.004,,,
10/27/2023 0:00,,,,32.6,0.04,0,,,
10/28/2023 0:00,,,,32.7,0.04,0,,,
10/29/2023 0:00,,,,32.7,0,0.001,,,
10/30/2023 0:00,,,,32.7,0.01,0.001,,,
10/31/2023 0:00,,,,32.7,0.01,0.001,,,
11/1/2023 0:00,,,,32.7,0.02,0.001,,,
11/2/2023 0:00,,,,32.8,-0.09,0,,,
11/3/2023 0:00,,,,32.8,-0.06,0,,,
11/4/2023 0:00,,,,,,,,,
11/5/2023 0:00,,,,32.7,-0.02,0.001,,,
11/6/2023 0:00,,,,32.6,0.05,0.001,,,
11/7/2023 0:00,,,,32.6,0.06,0.001,,,
11/8/2023 0:00,,,,32.6,0.05,0.001,,,
11/9/2023 0:00,,,,32.7,0.03,0.001,,,
11/10/2023 0:00,,,,32.7,-0.01,0,,,
11/11/2023 0:00,,,,32.7,-0.05,0,,,
11/12/2023 0:00,,,,32.6,0.05,0.002,,,
11/13/2023 0:00,,,,32.7,0.03,0.001,,,
11/14/2023 0:00,,,,32.6,0.07,0.002,,,
11/15/2023 0:00,,,,,,,,,
11/16/2023 0:00,,,,,,,,,
11/17/2023 0:00,,,,,,,,,
11/18/2023 0:00,,,,,,,,,
11/19/2023 0:00,,,,,,,,,
11/20/2023 0:00,,,,,,,,,
11/21/2023 0:00,,,,,,,,,
11/22/2023 0:00,,,,,,,,,
11/23/2023 0:00,,,,,,,,,
11/24/2023 0:00,,,,,,,,,
11/25/2023 0:00,,,,,,,,,
11/26/2023 0:00,,,,,,,,,
11/27/2023 0:00,,,,,,,,,
11/28/2023 0:00,,,,,,,,,
11/29/2023 0:00,,,,,,,,,
11/30/2023 0:00,,,,,,,,,
12/1/2023 0:00,,,,,,,,,
12/2/2023 0:00,,,,,,,,,
12/3/2023 0:00,,,,,,,,,
12/4/2023 0:00,,,,,,,,,
12/5/2023 0:00,,,,,,,,,
12/6/2023 0:00,,,,,,,,,
12/7/2023 0:00,,,,,,,,,
12/8/2023 0:00,,,,,,,,,
12/9/2023 0:00,,,,,,,,,
12/10/2023 0:00,,,,,,,,,
