Time,J01_9144_4,J01_9144_4,J01_9144_4,J01_9224_2,J01_9224_2,J01_9224_2,J01_9224_1,J01_9224_1,J01_9224_1
and,236.34,231,262,236.34,231,262,236.34,231,262
Date,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
10/1/2023 0:00,,,,,,,44.3,0.13,0
10/2/2023 0:00,,,,,,,44.3,0.12,0
10/3/2023 0:00,,,,,,,44.3,0.1,0
10/4/2023 0:00,,,,,,,44.3,0.13,0
10/5/2023 0:00,,,,,,,44.3,0.07,0
10/6/2023 0:00,,,,,,,44.2,0.16,0
10/7/2023 0:00,,,,,,,44.2,0.24,0
10/8/2023 0:00,,,,,,,44.2,0.24,0
10/9/2023 0:00,,,,,,,44.1,0.33,0
10/10/2023 0:00,,,,,,,44,0.38,0
10/11/2023 0:00,,,,,,,44,0.41,0.001
10/12/2023 0:00,,,,,,,44,0.39,0
10/13/2023 0:00,,,,,,,44,0.42,0.001
10/14/2023 0:00,,,,,,,43.9,0.49,0.001
10/15/2023 0:00,,,,,,,44,0.43,0.001
10/16/2023 0:00,,,,,,,44,0.41,0.001
10/17/2023 0:00,,,,,,,43.9,0.53,0.002
10/18/2023 0:00,,,,,,,43.8,0.58,0.002
10/19/2023 0:00,,,,,,,43.8,0.57,0.002
10/20/2023 0:00,,,,,,,44,0.41,0.001
10/21/2023 0:00,,,,,,,44,0.39,0.001
10/22/2023 0:00,63,6.37,28.1,,,,44.1,0.35,0
10/23/2023 0:00,58.2,11.1,19.6,,,,44,0.42,0.001
10/24/2023 0:00,63,6.29,7.81,,,,44,0.45,0.001
10/25/2023 0:00,58.6,10.7,7.26,,,,43.9,0.51,0.001
10/26/2023 0:00,,,,,,,43.9,0.48,0.001
10/27/2023 0:00,,,,,,,43.9,0.47,0.001
10/28/2023 0:00,,,,,,,43.9,0.49,0.001
10/29/2023 0:00,,,,,,,43.9,0.49,0.001
10/30/2023 0:00,,,,,,,43.8,0.59,0.003
10/31/2023 0:00,,,,,,,43.8,0.63,0.003
11/1/2023 0:00,,,,,,,43.8,0.62,0.003
11/2/2023 0:00,,,,,,,43.7,0.65,0.003
11/3/2023 0:00,,,,,,,44,0.44,0.001
11/4/2023 0:00,,,,,,,,,
11/5/2023 0:00,,,,,,,43.9,0.49,0.001
11/6/2023 0:00,,,,,,,43.9,0.48,0.001
11/7/2023 0:00,,,,,,,43.9,0.53,0.001
11/8/2023 0:00,,,,,,,43.9,0.45,0.001
11/9/2023 0:00,,,,,,,44,0.43,0.001
11/10/2023 0:00,,,,,,,43.9,0.5,0.002
11/11/2023 0:00,,,,,,,43.9,0.5,0.001
11/12/2023 0:00,,,,,,,44,0.41,0.001
11/13/2023 0:00,,,,,,,44,0.4,0.001
11/14/2023 0:00,,,,,,,43.9,0.48,0.002
11/15/2023 0:00,,,,,,,43.3,1.06,0.06
11/16/2023 0:00,,,,,,,44.1,0.28,0
11/17/2023 0:00,,,,,,,44.2,0.18,0
11/18/2023 0:00,,,,,,,44.1,0.29,0.001
11/19/2023 0:00,,,,,,,44.3,0.12,0
11/20/2023 0:00,,,,,,,44.4,0.03,0
11/21/2023 0:00,,,,,,,44.4,0.04,0
11/22/2023 0:00,,,,,,,44.3,0.08,0
11/23/2023 0:00,,,,,,,44.2,0.15,0
11/24/2023 0:00,,,,,,,44.3,0.1,0
11/25/2023 0:00,,,,,,,44.3,0.13,0
11/26/2023 0:00,,,,,,,44.2,0.16,0
11/27/2023 0:00,,,,,,,44.3,0.09,0
11/28/2023 0:00,,,,,,,44.2,0.21,0
11/29/2023 0:00,,,,,,,44.2,0.19,0
11/30/2023 0:00,,,,,,,44.1,0.31,0.006
12/1/2023 0:00,,,,,,,44.2,0.16,0
12/2/2023 0:00,,,,,,,44.2,0.21,0
12/3/2023 0:00,,,,,,,44.2,0.21,0
12/4/2023 0:00,,,,,,,44.2,0.16,0
12/5/2023 0:00,,,,,,,44.3,0.13,0
12/6/2023 0:00,,,,,,,44.2,0.17,0
12/7/2023 0:00,,,,,,,44.2,0.2,0
12/8/2023 0:00,,,,,,,44.2,0.2,0
12/9/2023 0:00,,,,,,,44.2,0.18,0
12/10/2023 0:00,,,,,,,44.2,0.16,0
12/11/2023 0:00,,,,,,,44.3,0.1,0
12/12/2023 0:00,,,,,,,44.2,0.19,0
12/13/2023 0:00,,,,,,,44.3,0.13,0
12/14/2023 0:00,,,,,,,44.2,0.16,0
12/15/2023 0:00,,,,,,,44.4,-0.01,0
12/16/2023 0:00,,,,,,,44.3,0.03,0
12/17/2023 0:00,,,,,,,44.3,0.04,0
12/18/2023 0:00,,,,,,,44.2,0.14,0.003
12/19/2023 0:00,66.2,3.08,0.358,,,,44.3,0.11,0
12/20/2023 0:00,66.3,3.07,0.354,,,,43.4,0.99,0.109
12/21/2023 0:00,66.2,3.08,0.356,,,,43.7,0.65,0.042
12/22/2023 0:00,66.2,3.09,0.358,,,,43.5,0.87,0.097
12/23/2023 0:00,66.2,3.09,0.36,,,,44.2,0.18,0
12/24/2023 0:00,,,,,,,44.2,0.15,0
12/25/2023 0:00,,,,,,,44.2,0.18,0
12/26/2023 0:00,,,,,,,44.1,0.23,0
12/27/2023 0:00,,,,,,,44.1,0.27,0
12/28/2023 0:00,,,,,,,44.2,0.22,0
12/29/2023 0:00,,,,,,,44.1,0.25,0
12/30/2023 0:00,,,,,,,43.6,0.82,0.066
12/31/2023 0:00,,,,,,,43.9,0.52,0.009
1/1/2024 0:00,,,,,,,44.1,0.23,0
1/2/2024 0:00,66.2,3.11,0.367,,,,44.1,0.27,0
1/3/2024 0:00,,,,,,,43.5,0.82,0.073
1/4/2024 0:00,,,,,,,44.1,0.29,0
1/5/2024 0:00,,,,,,,44.1,0.32,0
1/6/2024 0:00,,,,,,,44,0.36,0
1/7/2024 0:00,,,,,,,44,0.4,0.001
1/8/2024 0:00,,,,,,,44.1,0.31,0
1/9/2024 0:00,,,,,,,44,0.38,0
1/10/2024 0:00,,,,,,,44,0.41,0
1/11/2024 0:00,,,,,,,44,0.42,0.001
1/12/2024 0:00,,,,,,,43.9,0.44,0
1/13/2024 0:00,,,,,,,43.9,0.46,0.001
1/14/2024 0:00,,,,,,,43.9,0.47,0.001
1/15/2024 0:00,,,,,,,43.8,0.52,0.001
1/16/2024 0:00,66.5,2.83,0.339,,,,43.8,0.53,0.001
1/17/2024 0:00,66.2,3.11,0.366,,,,43.8,0.59,0.002
1/18/2024 0:00,,,,,,,43.8,0.55,0.002
1/19/2024 0:00,,,,,,,43.9,0.49,0.001
1/20/2024 0:00,,,,,,,42.9,1.45,0.163
1/21/2024 0:00,,,,,,,43.4,0.92,0.048
1/22/2024 0:00,,,,,,,42.4,1.95,0.238
1/23/2024 0:00,,,,,,,43.9,0.45,0.001
1/24/2024 0:00,70.1,-0.77,0.264,,,,43.9,0.42,0
1/25/2024 0:00,,,,,,,43.9,0.44,0.001
1/26/2024 0:00,,,,,,,44,0.37,0
1/27/2024 0:00,,,,,,,44,0.35,0
1/28/2024 0:00,,,,,,,44,0.33,0
1/29/2024 0:00,,,,,,,44,0.34,0
1/30/2024 0:00,,,,,,,44,0.37,0
1/31/2024 0:00,,,,,,,44,0.4,0
2/1/2024 0:00,,,,,,,42.4,2.01,0.343
2/2/2024 0:00,,,,,,,43.6,0.8,0.038
2/3/2024 0:00,,,,,,,44,0.33,0
2/4/2024 0:00,,,,,,,42.5,1.88,0.424
2/5/2024 0:00,,,,,,,39.2,5.18,0.976
2/6/2024 0:00,,,,,,,41.1,3.29,0.501
2/7/2024 0:00,,,,,,,43.3,1.09,0.075
2/8/2024 0:00,,,,,,,43.2,1.17,0.085
2/9/2024 0:00,,,,,,,43.3,1.05,0.046
2/10/2024 0:00,,,,,,,43.9,0.42,0
2/11/2024 0:00,,,,,,,44,0.39,0
2/12/2024 0:00,,,,,,,44,0.38,0
2/13/2024 0:00,,,,,,,44,0.39,0
2/14/2024 0:00,,,,,,,44,0.39,0
2/15/2024 0:00,,,,,,,43.9,0.44,0.001
2/16/2024 0:00,,,,,,,43.9,0.46,0.001
2/17/2024 0:00,,,,,,,43.9,0.48,0.001
2/18/2024 0:00,,,,,,,43.8,0.52,0.001
2/19/2024 0:00,,,,,,,43.5,0.83,0.022
2/20/2024 0:00,,,,,,,41.7,2.61,0.295
2/21/2024 0:00,,,,,,,43.3,1.05,0.06
2/22/2024 0:00,,,,,,,43.9,0.49,0.001
2/23/2024 0:00,,,,,,,43.9,0.46,0.001
2/24/2024 0:00,,,,,,,43.8,0.51,0.001
2/25/2024 0:00,,,,,,,43.7,0.61,0.002
