Time,J01_9046_2,J01_9046_2,J01_9046_2,J01_9349_1,J01_9349_1,J01_9349_1,J01_10004_1,J01_10004_1,J01_10004_1
and,236.34,231,262,236.34,231,262,236.34,231,262
Date,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
10/1/2023 0:00,33.7,0.02,0,27.1,0.06,0.001,82.8,3.7,0.029
10/2/2023 0:00,33.7,0.09,0.001,27.1,0.06,0.001,82.8,3.74,0.033
10/3/2023 0:00,33.6,0.11,0.001,27.1,0.06,0.001,82.7,3.79,0.037
10/4/2023 0:00,33.6,0.15,0.002,27.1,0.03,0.001,82.7,3.78,0.036
10/5/2023 0:00,33.6,0.13,0.001,27.1,0.04,0.001,82.6,3.86,0.044
10/6/2023 0:00,33.6,0.11,0.001,27.1,0,0,82.8,3.75,0.033
10/7/2023 0:00,33.6,0.13,0.001,27,0.07,0.001,82.7,3.79,0.037
10/8/2023 0:00,33.6,0.11,0.001,27.1,0.06,0.001,82.7,3.81,0.038
10/9/2023 0:00,33.7,0.1,0.001,27,0.08,0.001,82.7,3.76,0.034
10/10/2023 0:00,33.6,0.14,0.001,27.1,0.06,0.001,82.7,3.77,0.035
10/11/2023 0:00,33.6,0.15,0.002,27,0.07,0.001,82.7,3.8,0.043
10/12/2023 0:00,33.6,0.11,0.001,27.1,0.04,0,82.8,3.67,0.029
10/13/2023 0:00,33.6,0.12,0.001,27.1,0.04,0.001,82.9,3.63,0.024
10/14/2023 0:00,33.6,0.13,0.001,27.1,0.05,0.001,82.9,3.58,0.021
10/15/2023 0:00,33.6,0.15,0.002,27.1,-0.01,0,83,3.49,0.016
10/16/2023 0:00,33.6,0.15,0.001,27.1,0.04,0.001,82.9,3.62,0.026
10/17/2023 0:00,33.6,0.15,0.001,27,0.07,0.001,82.9,3.59,0.021
10/18/2023 0:00,33.6,0.15,0.001,27,0.08,0.001,82.9,3.62,0.023
10/19/2023 0:00,33.6,0.17,0.002,27,0.07,0.001,82.9,3.6,0.022
10/20/2023 0:00,33.6,0.16,0.002,27.1,0.05,0.001,82.9,3.59,0.024
10/21/2023 0:00,33.6,0.17,0.002,27.1,0.03,0,83.1,3.44,0.013
10/22/2023 0:00,33.6,0.17,0.001,27,0.07,0.001,83,3.5,0.016
10/23/2023 0:00,33.6,0.12,0.002,27,0.07,0.001,83,3.55,0.02
10/24/2023 0:00,33.6,0.15,0.001,27.1,0.06,0.001,83,3.49,0.016
10/25/2023 0:00,33.6,0.16,0.001,27.1,0.06,0.001,83,3.5,0.016
10/26/2023 0:00,33.6,0.11,0.001,27,0.09,0.001,83,3.51,0.017
10/27/2023 0:00,33.6,0.13,0.001,27,0.08,0.001,83,3.51,0.017
10/28/2023 0:00,33.7,0.1,0.001,27.1,0.05,0.001,83.1,3.44,0.013
10/29/2023 0:00,33.6,0.16,0.013,26.6,0.48,0.199,83.1,3.4,0.012
10/30/2023 0:00,33.6,0.11,0.002,26.7,0.38,0.147,83.2,3.3,0.01
10/31/2023 0:00,33.6,0.11,0.002,27.1,0.02,0.001,83.2,3.26,0.018
11/1/2023 0:00,33.7,0.09,0.001,27.1,-0.03,0,83.3,3.2,0.009
11/2/2023 0:00,33.7,0.09,0.001,27.1,-0.03,0,83.4,3.13,0.005
11/3/2023 0:00,33.7,0.09,0.001,27.1,-0.02,0,83.3,3.2,0.008
11/4/2023 0:00,,,,,,,,,
11/5/2023 0:00,33.2,0.52,1.54,27.1,0.03,0,83.1,3.36,0.01
11/6/2023 0:00,33.8,-0.03,0,27,0.08,0.001,83,3.53,0.018
11/7/2023 0:00,33.8,-0.04,0,27,0.11,0.001,82.9,3.61,0.024
11/8/2023 0:00,33.8,-0.01,0,27,0.09,0.001,82.9,3.58,0.02
11/9/2023 0:00,33.8,-0.09,0,27.1,0.04,0.001,83.1,3.45,0.015
11/10/2023 0:00,33.9,-0.12,0,27.2,-0.04,0,83.2,3.32,0.008
11/11/2023 0:00,33.8,-0.08,0,27.2,-0.04,0,83.2,3.35,0.01
11/12/2023 0:00,33.8,-0.08,0,27.1,0.04,0.001,83.3,3.23,0.008
11/13/2023 0:00,33.8,-0.08,0,27,0.09,0.001,83.2,3.3,0.007
11/14/2023 0:00,33.8,-0.04,0,27,0.07,0.001,83.2,3.33,0.01
11/15/2023 0:00,33.5,0.29,0.078,26.8,0.31,0.027,81.7,4.77,0.664
11/16/2023 0:00,33.8,-0.02,0,27,0.16,0.002,82.8,3.66,0.029
11/17/2023 0:00,33.8,-0.03,0,27,0.11,0.001,83,3.52,0.017
11/18/2023 0:00,33.8,-0.03,0,27,0.16,0.002,82.9,3.61,0.022
11/19/2023 0:00,33.9,-0.13,0,27,0.11,0.001,82.9,3.6,0.022
11/20/2023 0:00,33.1,0.61,0.126,27,0.15,0.002,82.9,3.64,0.025
11/21/2023 0:00,33.8,-0.06,0.003,27,0.09,0.001,83.1,3.43,0.015
11/22/2023 0:00,33.8,-0.08,0,27,0.1,0.001,83.1,3.41,0.017
11/23/2023 0:00,33.8,-0.07,0,27,0.14,0.001,82.7,3.83,0.044
11/24/2023 0:00,33.9,-0.11,0,27,0.16,0.002,82.7,3.75,0.034
11/25/2023 0:00,33.9,-0.1,0,27,0.13,0.001,82.8,3.7,0.029
11/26/2023 0:00,33.9,-0.14,0,27,0.12,0.001,83,3.54,0.018
11/27/2023 0:00,33.9,-0.1,0,27,0.13,0.001,82.9,3.6,0.022
11/28/2023 0:00,33.9,-0.1,0,27,0.12,0.001,82.7,3.82,0.047
11/29/2023 0:00,33.8,-0.06,0,27,0.15,0.002,82.7,3.79,0.037
11/30/2023 0:00,33.8,-0.07,0,27,0.16,0.002,82.5,3.98,0.055
12/1/2023 0:00,33.9,-0.12,0,27,0.14,0.002,82.6,3.93,0.052
12/2/2023 0:00,33.8,-0.05,0,27,0.11,0.001,82.6,3.88,0.045
12/3/2023 0:00,33.9,-0.12,0,27,0.1,0.001,82.6,3.86,0.044
12/4/2023 0:00,33.8,-0.08,0,27,0.1,0.001,82.7,3.83,0.041
12/5/2023 0:00,33.8,-0.08,0,27,0.1,0.001,82.9,3.64,0.027
12/6/2023 0:00,33.8,-0.05,0,27,0.11,0.001,82.9,3.65,0.026
12/7/2023 0:00,33.8,-0.05,0,27,0.15,0.002,82,4.48,0.137
12/8/2023 0:00,33.8,-0.07,0,27,0.12,0.001,81.6,4.91,0.211
12/9/2023 0:00,33.9,-0.13,0,27,0.07,0.001,81.7,4.76,0.181
12/10/2023 0:00,33.9,-0.14,0,27.1,0.01,0.001,81.9,4.61,0.15
12/11/2023 0:00,33.9,-0.12,0,27,0.07,0.001,81.7,4.81,0.191
12/12/2023 0:00,33.9,-0.12,0,27,0.11,0.001,81.5,4.97,0.227
12/13/2023 0:00,33.8,-0.07,0,27,0.15,0.002,81.4,5.09,0.256
12/14/2023 0:00,33.9,-0.1,0,27,0.08,0.001,81.6,4.9,0.213
12/15/2023 0:00,33.9,-0.1,0,27,0.07,0.001,81.8,4.75,0.177
12/16/2023 0:00,33.9,-0.11,0,27,0.08,0.001,81.7,4.79,0.191
12/17/2023 0:00,33.9,-0.12,0,27,0.1,0.002,81.6,4.86,0.203
12/18/2023 0:00,33.8,-0.02,0.001,26.9,0.2,0.004,81.3,5.16,0.285
12/19/2023 0:00,33.7,0.02,0.001,26.9,0.21,0.003,80.9,5.59,0.435
12/20/2023 0:00,33.3,0.46,0.282,,,,79.1,7.39,2.49
12/21/2023 0:00,33.7,0.06,0.013,,,,81.1,5.39,0.507
12/22/2023 0:00,33.3,0.41,0.208,,,,78.6,7.94,2.93
12/23/2023 0:00,33.8,-0.03,0,,,,82.9,3.6,0.023
12/24/2023 0:00,33.8,-0.06,0,,,,83.1,3.41,0.011
12/25/2023 0:00,33.8,-0.09,0,27,0.11,0.001,83.2,3.34,0.008
12/26/2023 0:00,33.9,-0.18,0,27,0.11,0.001,83.1,3.36,0.009
12/27/2023 0:00,33.9,-0.1,0,27,0.13,0.001,83.1,3.39,0.01
12/28/2023 0:00,33.9,-0.1,0,27,0.15,0.002,83.1,3.37,0.009
12/29/2023 0:00,33.8,-0.09,0,27,0.13,0.001,83.1,3.38,0.009
12/30/2023 0:00,33.6,0.16,0.1,26.6,0.49,0.225,81.1,5.45,1.05
12/31/2023 0:00,33.7,0.02,0.004,,,,81.8,4.69,0.27
1/1/2024 0:00,33.9,-0.1,0,,,,82.7,3.81,0.038
1/2/2024 0:00,33.9,-0.11,0,27,0.09,0.001,82.7,3.76,0.039
1/3/2024 0:00,33.5,0.23,0.185,26.5,0.66,0.649,80.6,5.86,1.51
