FACILITYID,LSPC_LU_EDIT,Shape_Area,AREA,PERCENTAGE
I01-11015-1,TRANS,32281.57318,0.741085912,29.27501455
I01-11015-2,COMM,48457.19388,1.112428552,0.453352685
I01-11015-2,OSDEV,242456.3921,5.566055142,2.268357853
I01-11015-2,OSLOW,10073663.97,231.2604285,94.2465347
I01-11015-2,RESMF,7866.149779,0.180582673,0.073593616
I01-11015-2,RESSFH,128987.594,2.961159549,1.2067738
I01-11015-2,TRANS,68924.87518,1.582303739,0.644842895
I01-11015-2,UTIL,118274.4621,2.715218899,1.106544573
I01-11015-3,COMM,78512.24303,1.802393091,0.740187699
I01-11015-3,OSDEV,243369.6998,5.586999535,2.294409779
I01-11015-3,OSLOW,10135774.13,232.6853565,95.55675709
I01-11015-3,RESSFH,323.8212683,0.007433913,0.003052881
I01-11015-3,TRANS,49948.55985,1.146661153,0.470898654
I01-11015-3,UTIL,99143.65559,2.276025151,0.934693896
I01-11021-1,COMM,271150.7449,6.224789474,41.43139211
I01-11021-1,RESMF,55871.75322,1.282644093,8.537112878
I01-11021-1,RESSFH,128172.5795,2.942449315,19.58456135
I01-11021-1,TRANS,199262.2328,4.574449721,30.44694458
I01-11023-1,OSDEV,5789.339972,0.13290549,3.134480035
I01-11023-1,OSLOW,116559.802,2.675855561,63.10812184
I01-11023-1,TRANS,62349.42177,1.431351496,33.75739181
I01-11023-2,COMM,226942.1704,5.209896193,30.98257105
I01-11023-2,OSDEV,5862.68142,0.134589184,0.800384271
I01-11023-2,OSLOW,91994.51139,2.111911831,12.55926336
I01-11023-2,RESMF,11398.78912,0.261681238,1.556184085
I01-11023-2,RESSFH,351392.3512,8.06689065,47.9727433
I01-11023-2,TRANS,44892.82287,1.030601525,6.128852437
I01-11023-3,IND,8602.228241,0.197480777,0.54580453
I01-11023-3,OSDEV,12077.97607,0.277273287,0.766337961
I01-11023-3,OSLOW,1522889.952,34.96088254,96.62615446
I01-11023-3,TRANS,32493.75454,0.745956945,2.061702844
I01-11023-4,COMM,18738.54824,0.430179596,6.679446397
I01-11023-4,OSDEV,65346.14369,1.50014704,23.29294983
I01-11023-4,OSFOR,1991.556044,0.045720019,0.70989981
I01-11023-4,OSLOW,79781.30657,1.831534107,28.43843364
I01-11023-4,RESMF,51382.29776,1.179579965,18.31546923
I01-11023-4,RESSFH,26692.23129,0.612771764,9.514575292
I01-11023-4,TRANS,36608.37043,0.840415906,13.04923118
I01-11023-5,IND,61397.70457,1.409502988,11.32429509
I01-11023-5,OSDEV,39587.48774,0.908807302,7.301582302
I01-11023-5,OSLOW,394679.1501,9.060622791,72.79528107
I01-11023-5,TRANS,46512.48588,1.06778402,8.578840514
I01-11023-6,OSDEV,68850.53249,1.580597059,3.995581208
I01-11023-6,OSLOW,1548121.886,35.54013036,89.8416685
I01-11023-6,TRANS,106194.4511,2.437898896,6.162749046
I01-11059-1,EDU,44670.46377,1.025496842,0.363079833
I01-11059-1,IND,12725.11131,0.292129527,0.103429221
I01-11059-1,OSDEV,447506.3705,10.27337375,3.637314783
I01-11059-1,OSIRR,336630.5033,7.728003899,2.736119945
I01-11059-1,OSLOW,4395539.852,100.9081137,35.72678097
I01-11059-1,RESMF,15331.36272,0.351961066,0.124612734
I01-11059-1,RESSFH,6668001.011,153.0768522,54.19725896
I01-11059-1,TRANS,382802.3793,8.787968562,3.1114032
I01-11059-2,COMM,9621.815159,0.220887366,2.378255586
I01-11059-2,OSDEV,43815.68778,1.005873807,10.83006714
I01-11059-2,OSLOW,15836.02799,0.363546633,3.914242937
I01-11059-2,RESSFH,296848.6625,6.814734846,73.37305677
I01-11059-2,TRANS,38452.29382,0.882746732,9.504379484
I01-11059-3,COMM,9621.81516,0.220886482,2.378255411
I01-11059-3,OSDEV,43815.68226,1.005869657,10.83006498
I01-11059-3,OSLOW,15836.02799,0.363545179,3.914242647
I01-11059-3,RESSFH,296848.6913,6.814708249,73.37305846
I01-11059-3,TRANS,38452.29268,0.882743175,9.504378499
I01-11065-1,COMM,8.585935489,0.000197106,0.000537724
I01-11065-1,OSDEV,11024.02009,0.253076678,0.690418118
I01-11065-1,OSLOW,108990.0452,2.502067154,6.825885771
I01-11065-1,RESSFH,1474968.315,33.8606133,92.37509002
I01-11065-1,UTIL,1725.545524,0.039613074,0.108068371
I01-11077-1,COMM,288083.5973,6.613515831,5.602100399
I01-11077-1,IND,223317.3654,5.126681788,4.342650236
I01-11077-1,OSAGIR,324470.6392,7.448850714,6.309686197
I01-11077-1,OSDEV,85776.22543,1.969159057,1.668012449
I01-11077-1,OSLOW,2193416.909,50.35412494,42.65338899
I01-11077-1,RESMF,25910.5612,0.594827016,0.50385918
I01-11077-1,RESSFH,1879679.572,43.15167793,36.55242359
I01-11077-1,TRANS,121766.3048,2.795380896,2.367878876
I01-11077-2,COMM,454723.016,10.43900404,5.46767836
I01-11077-2,IND,265092.5529,6.085687624,3.187524633
I01-11077-2,OSAGIR,324470.6338,7.448820795,3.901498276
I01-11077-2,OSDEV,172831.2708,3.967660028,2.078156957
I01-11077-2,OSLOW,3052674.114,70.07975467,36.70594978
I01-11077-2,RESMF,25910.5612,0.594824637,0.311553649
I01-11077-2,RESSFH,3820162.538,87.6988645,45.93438049
I01-11077-2,TRANS,200700.154,4.607441551,2.413257851
I01-11093-1,COMM,107255.9839,2.462268432,2.809754542
I01-11093-1,EDU,178472.2007,4.097174347,4.675385544
I01-11093-1,IND,24195.45582,0.555453457,0.633841483
I01-11093-1,OSAGIR,129113.0281,2.964039132,3.382337322
I01-11093-1,OSDEV,38687.62111,0.888149125,1.013488621
I01-11093-1,OSLOW,3197988.037,73.415997,83.77678419
I01-11093-1,RESSFH,295.3940205,0.006781341,0.007738353
I01-11093-1,TRANS,139916.7155,3.212058659,3.665358452
I01-11093-1,UTIL,1347.919733,0.030944103,0.03531107
I01-11093-2,OSAGIR,133509.3169,3.064964437,1.032735503
I01-11093-2,OSLOW,12789494.1,293.6075586,98.93065841
I01-11093-2,TRANS,4732.326079,0.108639693,0.036605993
I01-11195-2,IND,479083.1323,10.99823536,1.299482975
I01-11195-2,OSAGNI,10267.87746,0.235718032,0.027850974
I01-11195-2,OSDEV,5738554.888,131.7390929,15.56547054
I01-11195-2,OSFOR,20199.51833,0.463717133,0.054789928
I01-11195-2,OSIRR,4833156.089,110.9539965,13.10963303
I01-11195-2,OSLOW,1338449.427,30.72657087,3.630460199
I01-11195-2,RESMF,10562520.28,242.4821001,28.65017438
I01-11195-2,RESSFH,4706591.776,108.0484797,12.76633526
I01-11195-2,TRANS,5201102.299,119.4008792,14.10766407
I01-11195-2,TRFWY,3823763.415,87.78152928,10.37171865
I01-11195-2,TROTH,2755.941544,0.063267712,0.007475319
I01-11195-2,UTIL,150766.498,3.461122543,0.408944678
I01-11216-1 (I02P13),OSDEV,2482370.753,56.98761897,24.63646524
I01-11216-1 (I02P13),OSLOW,1740.548661,0.039957659,0.017274199
I01-11216-1 (I02P13),RESMF,2869391.229,65.87242209,28.47747751
I01-11216-1 (I02P13),RESSFH,2748350.32,63.09369407,27.27619839
I01-11216-1 (I02P13),TRANS,1963298.11,45.0713031,19.48489185
I01-11216-1 (I02P13),TROTH,37.12059045,0.000852175,0.000368406
I01-11216-2 (I02P12),OSDEV,2088325.073,47.94134694,23.81267914
I01-11216-2 (I02P12),OSLOW,1740.548661,0.039957499,0.019847067
I01-11216-2 (I02P12),RESMF,2350994.252,53.97140156,26.80783395
I01-11216-2 (I02P12),RESSFH,2574109.483,59.09342246,29.3519644
I01-11216-2 (I02P12),TRANS,1754596.632,40.27999614,20.0072523
I01-11216-2 (I02P12),TROTH,37.10915074,0.000851909,0.000423147
I01-11216-3,OSDEV,18468.87888,0.423988814,8.698646669
I01-11216-3,RESMF,39911.02293,0.916234678,18.7976698
I01-11216-3,TRANS,153939.0938,3.533969458,72.5036855
I01-11216-4 (I02P14),IND,29970.54745,0.688031849,1.03375956
I01-11216-4 (I02P14),OSDEV,1002568.771,23.01590408,34.58111847
I01-11216-4 (I02P14),OSIRR,8986.971814,0.206313309,0.309983261
I01-11216-4 (I02P14),OSLOW,193885.8365,4.451024152,6.687610141
I01-11216-4 (I02P14),RESMF,3864.864321,0.088725431,0.133308891
I01-11216-4 (I02P14),RESSFH,861245.484,19.77155484,29.70652285
I01-11216-4 (I02P14),TRANS,700488.3219,16.08106345,24.16160401
I01-11216-4 (I02P14),UTIL,98168.98549,2.253658819,3.386095213
I01-11217-1,IND,434185.0124,9.967556225,27.94814304
