GlobalID,Facility Identifier,Facility Type,Inspection Status,Size 1,PRIORITY,Jurisdiction,Persistent Flow,AVGDISCHARGE,Accessibility,POINT_Y,POINT_X
{74BEFDA9-4138-4459-9D5E-A60F88FD79B2},L01-728-9,Outfall,Verified,36,Not A Priority,Dana Point,Unknown,0,Easily accessible,33.47076783,-117.6810851
{58435AF7-EDAB-42CB-9CEF-56F94E800788},L01-730-1,Outfall,Verified,36,Not A Priority,Rancho Santa Margarita,Yes,0.023405,Difficult accessibility,33.62427615,-117.5638832
{3FE0C68B-3BC3-480E-9B51-1965BD8A122E},L01-731-1 (L08TBN2),Outfall,Verified,108,Not A Priority,Rancho Santa Margarita,Yes,0.314453,Difficult accessibility,33.62515116,-117.5659962
{0730A3D5-1756-4C6A-B21F-59D067D3F0B4},L01-733-2,Outfall,Verified,48,Priority,Orange Co,Yes,0.113928,Easily accessible,33.62048468,-117.5826949
{ED00D5DA-856D-4A09-BD27-B31F6E37C9A8},L01-733-4,Outfall,Verified,36,Not A Priority,Orange Co,Unknown,0,Easily accessible,33.62234916,-117.5767137
{9C18A820-40CA-4CA4-B141-8DA9C8401AC6},L01-733-5,Outfall,Verified,36,Not A Priority,Orange Co,Unknown,0,Easily accessible,33.62233779,-117.5767294
{A7A8FD25-EE3B-48B7-BEA2-B78102735AA7},L01-733-7,Outfall,Verified,36,NA,Orange Co,Yes,0.05989,Easily accessible,33.61547579,-117.582427
{5F6222C0-DE3F-465B-ACE2-7BCF51145055},L01-747-1,Outfall,Verified,48,Not A Priority,San Juan Capistrano,Unknown,0.045,Easily accessible,33.50889937,-117.634494
{09587147-64CF-499E-B6F3-CA0AB4A5BB40},L01-747-2,Outfall,Verified,84,Not A Priority,San Juan Capistrano,Unknown,0.025477,Difficult accessibility,33.51060752,-117.6329997
{A91AE436-24A4-4432-8197-13B5F01E53A6},L01-748-1,Outfall,Verified,36,Not A Priority,San Juan Capistrano,Unknown,0,Easily accessible,33.50404364,-117.6428201
{DBC981FA-992C-4171-A16D-E171B6935A16},L01-748-2,Outfall,Verified,36,Not A Priority,San Juan Capistrano,Yes,0,Easily accessible,33.50405528,-117.6428032
{F974B699-BEF5-4874-8BF5-762E5BABC0EC},L01-749-2d,Outfall,Verified,36,NA,San Juan Capistrano,Yes,0.081752,Easily accessible,33.50765555,-117.6402739
{F283626A-51CD-43CB-A8FF-746A67B87B2B},L01-749-3,Outfall,Verified,48,Not A Priority,San Juan Capistrano,Unknown,0,Easily accessible,33.50819168,-117.6389092
{AAAA11DA-67C2-4E13-B18E-11AAEBB0B8F5},L01-749-5,Outfall,Verified,48,NA,San Juan Capistrano,Unknown,0.008383,Easily accessible,33.50917817,-117.636409
{304B7146-FAA4-4C9E-85D8-E0AE384F357F},L01-760-1,Outfall,Verified,48,Priority,Orange Co,Yes,0.019838,Easily accessible,33.56548556,-117.5888817
{2E56C3AD-25AB-4A1C-95D5-7D91A1E793FA},L01-760-2,Outfall,Verified,60,Priority,Orange Co,Yes,0.075477,Easily accessible,33.56826145,-117.5876142
{6B1E2EC8-33C0-45FC-B9F2-95DAAD8E87F9},L01-766-2 (L01S06),Box,Verified,NA,Not A Priority,San Juan Capistrano,Unknown,0.186044,Easily accessible,33.4859114,-117.6721397
{36C58593-1762-4673-9666-5809B7EDC846},L01-766-3,Box,Verified,NA,Priority,San Juan Capistrano,Yes,0.04353,Easily accessible,33.48600546,-117.6702767
{48ACB168-9928-43C5-AAD8-5119F46F8CD3},L01-766-4,Outfall,Verified,48,Not A Priority,San Juan Capistrano,Unknown,0.012121,Difficult accessibility,33.48773917,-117.6675777
{318F725A-895C-4980-B214-CEAEA72603EF},L01-766-5,Outfall,Verified,60,Not A Priority,San Juan Capistrano,Unknown,0,Difficult accessibility,33.48753792,-117.6667832
{2A3C4022-F5F9-4E4D-864F-F04AB86095CF},L01-766-7,Outfall,Verified,42,Not A Priority,San Juan Capistrano,Unknown,8.05E-04,Easily accessible,33.49229156,-117.6631709
{F793BB7D-2AA5-48FA-8294-218E3F3B93B5},L01-766-8,Outfall,Verified,36,Not A Priority,San Juan Capistrano,Unknown,0,Easily accessible,33.49262323,-117.6623404
{897EC9EE-5CAB-4DFE-896A-03DD917D9C2F},L01-766-9,Outfall,Verified,58,Priority,San Juan Capistrano,Yes,0.173904,Easily accessible,33.49653017,-117.65563
{16A76DB0-63C1-4ED7-8125-2F40FB1F2F53},L02-166-1 (L02PXX),Outfall,Verified,54,Not A Priority,Rancho Santa Margarita,Unknown,0.041916,Unaccessible,33.63646746,-117.6196015
{FF3574C5-E460-4A7F-94BD-7DEF35298977},L02-166-2 (L02P25),Outfall,Verified,90,Not A Priority,Rancho Santa Margarita,Yes,0.235352,Easily accessible,33.63762571,-117.6178801
{AED9AC9A-14FC-4E0A-BDF2-5D947063BA3D},L02-166-3 (L02P26),Outfall,Verified,96,Priority,Rancho Santa Margarita,Yes,0.16714,Easily accessible,33.64460825,-117.6137833
{B9C33AB1-61DE-417E-AE9D-511CF2D50E19},L02-198-1 (L02P29),Outfall,Verified,36,Priority,Rancho Santa Margarita,Yes,0.008785,Easily accessible,33.60897066,-117.6262091
{41CB5673-9B11-493E-B0F9-13C85AD6312E},L02-204-1 (L02P45),Outfall,Verified,42,Not A Priority,Rancho Santa Margarita,Unknown,0.021667,Difficult accessibility,33.61912949,-117.6233058
{47F2CB46-F01F-4454-981E-098E7CCE32F4},L02-246-1 (L11P01),Outfall,Verified,66,Priority,Rancho Santa Margarita,Yes,0.052218,Difficult accessibility,33.61046046,-117.6165883
{AE100243-D2E2-4C52-A74B-B024BF8A3C36},L02-344-1,Outfall,Verified,72,Not A Priority,Orange Co,Unknown,0,Easily accessible,33.59197147,-117.6286778
