"","Station","Collected Date","HSN","Fraction","Sample Type","Composite Start Time","Composite End Time","Stormflow Volume -cf","2,4'-DDD - ng/L","2,4'-DDE - ng/L","2,4'-DDT - ng/L","4,4'-DDD - ng/L","4,4'-DDE - ng/L","4,4'-DDT - ng/L","Acenaphthene - ng/L","Acenaphthylene - ng/L","Aldrin - ng/L","Anthracene - ng/L","Azinphos Methyl - ng/L","Benz[a]anthracene - ng/L","Benzo[a]pyrene - ng/L","Benzo[b]fluoranthene - ng/L","Benzo[g,h,i]perylene - ng/L","Benzo[k]fluoranthene - ng/L","BHC-alpha - ng/L","BHC-beta - ng/L","BHC-delta - ng/L","BHC-gamma - ng/L","Biphenyl - ng/L","Bolstar (Sulprofos) - ng/L","Chlordane-alpha - ng/L","Chlordane-gamma - ng/L","Chlorpyrifos - ng/L","Chrysene - ng/L","Demeton - ng/L","Diazinon - ng/L","Dibenz[a,h]anthracene - ng/L","Dibenzothiophene - ng/L","Dichlorvos - ng/L","Dieldrin - ng/L","Dimethoate - ng/L","Disulfoton - ng/L","Endosulfan-I - ng/L","Endosulfan-II - ng/L","Endosulfan Sulfate - ng/L","Endrin - ng/L","Endrin Aldehyde - ng/L","Ethoprop (Ethoprofos) - ng/L","Ethyl Parathion - ng/L","Fenchlorphos (Ronnel) - ng/L","Fensulfothion - ng/L","Fenthion - ng/L","Fluoranthene - ng/L","Fluorene - ng/L","Heptachlor - ng/L","Heptachlor Epoxide - ng/L","Indeno[1,2,3-cd]pyrene - ng/L","Malathion - ng/L","Merphos - ng/L","Methoxychlor - ng/L","Methyl Parathion - ng/L","Mevinphos (Phosdrin) - ng/L","Mirex - ng/L","Naphthalene - ng/L","Phenanthrene - ng/L","Phorate - ng/L","Pyrene - ng/L","Tetrachlorvinphos (Stirofos) - ng/L","Tokuthion (Prothiofos) - ng/L","Toxaphene - ng/L","trans-Nonachlor - ng/L","Trichloronate - ng/L","Arsenic, Total - ug/L","Cadmium, Total - ug/L","Calcium, Total","Chromium, Total - ug/L","Copper, Total - ug/L","Dissolved Organic Carbon - mg/L","Hardness as CaCO3, Total - mg/L","Iron, Total - ug/L","Lead, Total - ug/L","Magnesium, Total - ug/L","Manganese, Total - ug/L","MBAS - mg/L","Mercury, Total - ug/L","Nickel, Total - ug/L","Selenium, Total - ug/L","Silver, Total - ug/L","Thallium, Total - ug/L","Total Organic Carbon (TOC) - mg/L","Zinc, Total - ug/L","Ammonia, as Nitrogen - mg/L","Chloride - mg/L","Nitrate + Nitrite as N - mg/L","Nitrogen, Total Kjeldahl - mg/L","Orthophosphate as P - mg/L","pH","Phosphorus as PO4 - mg/L","SpecificConductivity","Sulfate - mg/L","Temperature","Total Dissolved Solids - mg/L","VSS - mg/L","TSS - mg/L","Turbidity - NTU","Enterococcus - CFU/100 mL","E. coli - CFU/100 mL","Fecal coliforms - CFU/100 mL","Total Coliforms - CFU/100 mL","TN - mg/L","Field Dissolved Oxygen","Field pH","Field Specific Conductivity","Field Temperature","Field Turbidity - NTU","...1","GlobalID_tribarea","area_acres","OBJECTID","IN_FID","NEAR_FID","NEAR_DIST","OBJECTID_outfall","GlobalID","LOCDESC","OBJECTID_hydstra","station","Rain_Gage_Total","Composite Begin","Composite End","Rain_Event_Total"
"11","M01-088-1",2024-01-21 09:45:00,3246003,"Dissolved","Composite",2024-01-20 10:02:00,2024-01-21 09:02:00,307140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,"2.9",NA,1.1,8.4,NA,NA,63,"<0.2",NA,"400",NA,"<0.05","38",2.3,"<0.2","<0.2",NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,"{624367CE-BA55-4FAB-8769-2C2A4A455746}",304.03967077,2330,2330,24,4956.209195,2330,"{8624483B-B427-44C6-9F2A-827B2137D948}","SC-Fortuna; (Ave Fortuna and Portico del Sur in San Clemente)",24,"PALISADES",19.47,2024-01-20,2024-01-21,2.06
"12","I01-11021-1",2024-01-23 11:40:00,3246005,"Total","Composite",2024-01-21 22:00:00,2024-01-22 21:00:00,9078.6,"<2","<2","<2","<2","<2","<2","<5","<5","<5","J2.39","<10","J3.42","<5","8.9700000000000006","19.399999999999999","12.1","<5","<5","<5","<5","J3.34","<4","<2","<2","<1","12.2","<2","<1","<5","<5","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","13.8","13.5","<5","<5","<5","40.200000000000003","<2","<5","<2","<10","<5","10.9","12.5","<10","17.600000000000001","<4","<6","147","2.93","<2",1.4,"<0.2",34.4,2.2,33,7.1,147,640,"1.5",14.8,"15","0.12","<0.05","2.4",1.1,"<0.2","<0.2",8.1,"50","<0.1",120,0.76,1.3,0.19,"H7.18",0.76,670,63,"H18.9","350","<5",14,11,NA,NA,NA,NA,2.06,NA,NA,NA,NA,NA,13,"{771F9AE1-01EC-4A47-84FC-2F216663852D}",15.02431768,2338,2338,42,1495.290188,2338,"{613D317B-0A31-4B49-B4A0-85440B25AA42}","VICTRA u/s P",42,"LAGUNABEACH",16.53,2024-01-21,2024-01-22,3.38
"13","I01-11021-1",2024-01-23 11:40:00,3246006,"Dissolved","Composite",2024-01-21 22:00:00,2024-01-22 21:00:00,9078.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,"<0.2",NA,0.82,26,NA,NA,22,"<0.2",NA,"<1",NA,"<0.05","<2",1,"<0.2","<0.2",NA,"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"{771F9AE1-01EC-4A47-84FC-2F216663852D}",15.02431768,2338,2338,42,1495.290188,2338,"{613D317B-0A31-4B49-B4A0-85440B25AA42}","VICTRA u/s P",42,"LAGUNABEACH",16.53,2024-01-21,2024-01-22,3.38
"14","I01-11021-1",2024-01-22 08:00:00,3251001,"Total","Grab",NA,NA,47.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=13000","4100",">=6400",">=46000",NA,NA,NA,NA,NA,NA,13,"{771F9AE1-01EC-4A47-84FC-2F216663852D}",15.02431768,2338,2338,42,1495.290188,2338,"{613D317B-0A31-4B49-B4A0-85440B25AA42}","VICTRA u/s P",42,"LAGUNABEACH",16.53,NA,NA,NA
"15","M01-088-1",2024-01-21 09:45:00,3251002,"Total","Grab",NA,NA,82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=4000","6800",">=13000",">=40000",NA,NA,NA,NA,NA,NA,266,"{624367CE-BA55-4FAB-8769-2C2A4A455746}",304.03967077,2330,2330,24,4956.209195,2330,"{8624483B-B427-44C6-9F2A-827B2137D948}","SC-Fortuna; (Ave Fortuna and Portico del Sur in San Clemente)",24,"PALISADES",19.47,NA,NA,NA
"16","K01-12156-4",2024-01-21 10:23:00,3251003,"Total","Grab",NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=9000","2800",">=5100",">=59000",NA,NA,NA,NA,NA,NA,326,"{69600548-71B3-42DD-82C0-FEECBD33EB65}",1412.69395318,215,215,29,16023.70933,215,"{309906B0-76A0-4415-BAED-B4E04CEE89DD}","SCNK01; Salt Creek Corridor Regional Park (station on upstream side of tunnel).  RW that captures influence of upstream outfalls",29,"SULPHURCREEK",20.56,NA,NA,NA
"17","L02-166-2 (L02P25)",2024-01-21 11:34:00,3251004,"Total","Grab",NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4200",">=1500",">=1300",">=28000",NA,NA,NA,NA,NA,NA,342,"{3A11CF81-5CBC-49DA-954D-B3E5E34A8451}",363.95293383,6,6,65,9672.861319,6,"{FF3574C5-E460-4A7F-94BD-7DEF35298977}","L02P25",65,"TRABUCO",22.96,NA,NA,NA
"18","J03-9216-2",2024-01-21 10:47:00,3251005,"Total","Grab",NA,NA,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=6700",">=1800","2200",">=34000",NA,NA,NA,NA,NA,NA,81,"{937976FA-29DD-484B-8AA4-9F81D9CFC877}",1123.28596907,495,495,29,8071.272419,495,"{BDBAD671-CCD0-47D1-B121-7ED3242CBA94}","J03P01in; 8x10 box channel in Crown Valley Park",29,"SULPHURCREEK",20.56,NA,NA,NA
"19","J07-9109-4 (J07P02)",2024-01-21 12:09:00,3251006,"Total","Grab",NA,NA,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=6400","2400","4400","240000",NA,NA,NA,NA,NA,NA,336,"{03BDF6DE-AEFE-4B0B-B433-05D6CB603581}",394.92574829,299,299,30,12630.26776,299,"{D0C41BF9-0216-43F4-8129-6EAC01EF1A03}","J07P02",30,"ELTORO",19.47,NA,NA,NA
"20","K01-12156-4",2024-01-22 10:00:00,3252001,"Total","Composite",2024-01-21 10:30:00,2024-01-22 06:30:00,31974.9,"<2","<2","<2","<2","<2","<2","<5","<5","<5","<5","<10","<5","<5","<5","<5","<5","<5","<5","<5","<5","<5","<4","<2","<2","<1","<5","<2","<1","<5","<5","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","<5","J1.08","<5","<5","<5","<5","<2","<5","<2","<10","<5","J4.47","J1.3","<10","J1.49","<4","<6","J10.7","<2","<2",1.4,"0.23",118,1.1,5.8,7.1,493,440,"0.23",48.2,"48","7.0000000000000007E-2","<0.05","3.5",2.5,"<0.2","<0.2",7.9,"14","<0.1",190,0.93,0.8,0.18,"H7.81",0.68,1900,410,"H19.3","950","<5",11,6.8,NA,NA,NA,NA,1.73,NA,NA,NA,NA,NA,326,"{69600548-71B3-42DD-82C0-FEECBD33EB65}",1412.69395318,215,215,29,16023.70933,215,"{309906B0-76A0-4415-BAED-B4E04CEE89DD}","SCNK01; Salt Creek Corridor Regional Park (station on upstream side of tunnel).  RW that captures influence of upstream outfalls",29,"SULPHURCREEK",20.56,2024-01-21,2024-01-22,3.76
