"","Station","Collected Date","HSN","Fraction","Sample Type","Composite Start Time","Composite End Time","Stormflow Volume -cf","2,4'-DDD - ng/L","2,4'-DDE - ng/L","2,4'-DDT - ng/L","4,4'-DDD - ng/L","4,4'-DDE - ng/L","4,4'-DDT - ng/L","Acenaphthene - ng/L","Acenaphthylene - ng/L","Aldrin - ng/L","Anthracene - ng/L","Azinphos Methyl - ng/L","Benz[a]anthracene - ng/L","Benzo[a]pyrene - ng/L","Benzo[b]fluoranthene - ng/L","Benzo[g,h,i]perylene - ng/L","Benzo[k]fluoranthene - ng/L","BHC-alpha - ng/L","BHC-beta - ng/L","BHC-delta - ng/L","BHC-gamma - ng/L","Biphenyl - ng/L","Bolstar (Sulprofos) - ng/L","Chlordane-alpha - ng/L","Chlordane-gamma - ng/L","Chlorpyrifos - ng/L","Chrysene - ng/L","Demeton - ng/L","Diazinon - ng/L","Dibenz[a,h]anthracene - ng/L","Dibenzothiophene - ng/L","Dichlorvos - ng/L","Dieldrin - ng/L","Dimethoate - ng/L","Disulfoton - ng/L","Endosulfan-I - ng/L","Endosulfan-II - ng/L","Endosulfan Sulfate - ng/L","Endrin - ng/L","Endrin Aldehyde - ng/L","Ethoprop (Ethoprofos) - ng/L","Ethyl Parathion - ng/L","Fenchlorphos (Ronnel) - ng/L","Fensulfothion - ng/L","Fenthion - ng/L","Fluoranthene - ng/L","Fluorene - ng/L","Heptachlor - ng/L","Heptachlor Epoxide - ng/L","Indeno[1,2,3-cd]pyrene - ng/L","Malathion - ng/L","Merphos - ng/L","Methoxychlor - ng/L","Methyl Parathion - ng/L","Mevinphos (Phosdrin) - ng/L","Mirex - ng/L","Naphthalene - ng/L","Phenanthrene - ng/L","Phorate - ng/L","Pyrene - ng/L","Tetrachlorvinphos (Stirofos) - ng/L","Tokuthion (Prothiofos) - ng/L","Toxaphene - ng/L","trans-Nonachlor - ng/L","Trichloronate - ng/L","Arsenic, Total - ug/L","Cadmium, Total - ug/L","Calcium, Total","Chromium, Total - ug/L","Copper, Total - ug/L","Dissolved Organic Carbon - mg/L","Hardness as CaCO3, Total - mg/L","Iron, Total - ug/L","Lead, Total - ug/L","Magnesium, Total - ug/L","Manganese, Total - ug/L","MBAS - mg/L","Mercury, Total - ug/L","Nickel, Total - ug/L","Selenium, Total - ug/L","Silver, Total - ug/L","Thallium, Total - ug/L","Total Organic Carbon (TOC) - mg/L","Zinc, Total - ug/L","Ammonia, as Nitrogen - mg/L","Chloride - mg/L","Nitrate + Nitrite as N - mg/L","Nitrogen, Total Kjeldahl - mg/L","Orthophosphate as P - mg/L","pH","Phosphorus as PO4 - mg/L","SpecificConductivity","Sulfate - mg/L","Temperature","Total Dissolved Solids - mg/L","VSS - mg/L","TSS - mg/L","Turbidity - NTU","Enterococcus - CFU/100 mL","E. coli - CFU/100 mL","Fecal coliforms - CFU/100 mL","Total Coliforms - CFU/100 mL","TN - mg/L","Field Dissolved Oxygen","Field pH","Field Specific Conductivity","Field Temperature","Field Turbidity - NTU","...1","GlobalID_tribarea","area_acres","OBJECTID","IN_FID","NEAR_FID","NEAR_DIST","OBJECTID_outfall","GlobalID","LOCDESC","OBJECTID_hydstra","station","Rain_Gage_Total","Composite Begin","Composite End","Rain_Event_Total"
"21","L02-166-2 (L02P25)",2024-01-21 11:34:00,3252002,"Total","Composite",2024-01-20 10:02:00,2024-01-21 09:02:00,21110.1,"<2","<2","<2","<2","<2","<2","<5","<5","<5","<5","<10","<5","<5","<5","J1.77","<5","<5","<5","<5","<5","<5","<4","J0.931","<2","<1","J1.09","<2","<1","<5","<5","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","J1.85","J1.1","<5","<5","<5","<5","<2","<5","<2","<10","<5","J4.8","J2.47","<10","J3.31","<4","<6","<25","<2","<2",10,"0.46",105,0.95,6.4,6,365,430,"0.28000000000000003",25,"77","7.2999999999999995E-2","<0.05","4.9000000000000004",4.2,"<0.2","<0.2",6.2,"15","<0.1",110,1,0.75,0.16,"H8.05",0.68,1230,200,"H19.1","690","<5",6.3,5.6,NA,NA,NA,NA,1.75,NA,NA,NA,NA,NA,342,"{3A11CF81-5CBC-49DA-954D-B3E5E34A8451}",363.95293383,6,6,65,9672.861319,6,"{FF3574C5-E460-4A7F-94BD-7DEF35298977}","L02P25",65,"TRABUCO",22.96,2024-01-20,2024-01-21,2.26
"22","J03-9216-2",2024-01-21 10:47:00,3252003,"Total","Composite",2024-01-20 10:17:00,2024-01-21 09:17:00,712914,"<2","<2","<2","<2","<2","<2","<5","<5","<5","<5","<10","J2.55","J3.5","9.76","9.6199999999999992","6.24","<5","<5","<5","<5","J2.16","<4","<2","<2","<1","7.66","<2","<1","<5","J4.98","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","10.6","J1.75","<5","<5","J4.56","<5","<2","<5","<2","<10","<5","10.3","6.68","<10","17.2","<4","<6","J15.4","<2","<2",1.4,"1.1000000000000001",67.9,2,12,8.5,288,680,"0.75",28.9,"110","0.14000000000000001","<0.05","8.1",1.4,"<0.2","<0.2",9.1,"50","0.11",110,1.7,1.2,0.19,"H7.43",1,1070,200,"H16.3","570","7.3",21,12,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,81,"{937976FA-29DD-484B-8AA4-9F81D9CFC877}",1123.28596907,495,495,29,8071.272419,495,"{BDBAD671-CCD0-47D1-B121-7ED3242CBA94}","J03P01in; 8x10 box channel in Crown Valley Park",29,"SULPHURCREEK",20.56,2024-01-20,2024-01-21,1.82
"23","J07-9109-4 (J07P02)",2024-01-21 12:09:00,3252004,"Total","Composite",2024-01-20 11:29:00,2024-01-21 10:29:00,968031.3,"<2","<2","<2","<2","<2","<2","<5","J1.75","<5","J2.68","<10","J2.31","5.3","<5","14.7","6.07","<5","<5","<5","<5","J4.03","<4","<2","J1.48","<1","7.52","<2","<1","<5","7.47","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","10.5","<5","<5","<5","J4.71","<5","<2","<5","<2","<10","<5","20.5","8.99","<10","23.1","<4","<6","29.2","2.37","<2",4.2,"3.3",44.2,2.5,21,11,152,1000,"1.3",10.1,"39","0.14000000000000001","<0.05","5.7",0.61,"<0.2","<0.2",12,"120","0.22",59,2.2,2.3,0.28,"H7.55",1.3,630,91,"H16.4","310","11",32,16,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,336,"{03BDF6DE-AEFE-4B0B-B433-05D6CB603581}",394.92574829,299,299,30,12630.26776,299,"{D0C41BF9-0216-43F4-8129-6EAC01EF1A03}","J07P02",30,"ELTORO",19.47,2024-01-20,2024-01-21,2.52
"24","K01-12156-4",2024-01-22 10:00:00,3252005,"Dissolved","Composite",2024-01-21 10:30:00,2024-01-22 06:30:00,31974.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,"<0.2",NA,0.42,4.4,NA,NA,37,"<0.2",NA,"35",NA,"<0.05","3",2.3,"<0.2","<0.2",NA,"<10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,"{69600548-71B3-42DD-82C0-FEECBD33EB65}",1412.69395318,215,215,29,16023.70933,215,"{309906B0-76A0-4415-BAED-B4E04CEE89DD}","SCNK01; Salt Creek Corridor Regional Park (station on upstream side of tunnel).  RW that captures influence of upstream outfalls",29,"SULPHURCREEK",20.56,2024-01-21,2024-01-22,3.76
"25","L02-166-2 (L02P25)",2024-01-21 11:34:00,3252006,"Dissolved","Composite",2024-01-20 10:02:00,2024-01-21 09:02:00,21110.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.31",NA,0.46,4.9,NA,NA,58,"<0.2",NA,"70",NA,"<0.05","2.1",4.4,"<0.2","<0.2",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342,"{3A11CF81-5CBC-49DA-954D-B3E5E34A8451}",363.95293383,6,6,65,9672.861319,6,"{FF3574C5-E460-4A7F-94BD-7DEF35298977}","L02P25",65,"TRABUCO",22.96,2024-01-20,2024-01-21,2.26
"26","J03-9216-2",2024-01-21 10:47:00,3252007,"Dissolved","Composite",2024-01-20 10:17:00,2024-01-21 09:17:00,712914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,"0.75",NA,0.77,7.3,NA,NA,38,"<0.2",NA,"81",NA,"<0.05","6.8",1.4,"<0.2","<0.2",NA,"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,"{937976FA-29DD-484B-8AA4-9F81D9CFC877}",1123.28596907,495,495,29,8071.272419,495,"{BDBAD671-CCD0-47D1-B121-7ED3242CBA94}","J03P01in; 8x10 box channel in Crown Valley Park",29,"SULPHURCREEK",20.56,2024-01-20,2024-01-21,1.82
"27","J07-9109-4 (J07P02)",2024-01-21 12:09:00,3252008,"Dissolved","Composite",2024-01-20 11:29:00,2024-01-21 10:29:00,968031.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"2",NA,1,14,NA,NA,31,"<0.2",NA,"4.5999999999999996",NA,"<0.05","4.2",0.52,"<0.2","<0.2",NA,"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,"{03BDF6DE-AEFE-4B0B-B433-05D6CB603581}",394.92574829,299,299,30,12630.26776,299,"{D0C41BF9-0216-43F4-8129-6EAC01EF1A03}","J07P02",30,"ELTORO",19.47,2024-01-20,2024-01-21,2.52
"28","L03-708-11 (L03P05)",2024-02-01 09:03:00,3281001,"Total","Grab",NA,NA,4050.52218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=16000","6600","<10000",">=31000",NA,NA,NA,NA,NA,NA,228,"{63418C1C-734F-4A14-A489-860395E5E09F}",171.70778799,408,408,29,10378.11366,408,"{D0B00686-BBBD-4543-B725-46856EE3A1A0}","L03P05",29,"SULPHURCREEK",20.56,NA,NA,NA
"29","J01-9992-1 (J01P27)",2024-02-01 09:28:00,3281002,"Total","Grab",NA,NA,9450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=14000","4400","4600",">=43000",NA,NA,NA,NA,NA,NA,365,"{62405ECA-C5C8-487E-B695-4FCC395FFA58}",553.84107573,11,11,29,9036.131335,11,"{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5}","J01P27; Woodfield Park",29,"SULPHURCREEK",20.56,NA,NA,NA
"30","J01-9992-1 (J01P27)",2024-02-02 12:00:00,3282001,"Total","Composite",2024-02-01 04:56:00,2024-02-02 03:56:00,698055.3,"<2","<2","<2","<2","<2","<2","J1.39","<5","<5","J1.02","<10","<5","<5","J4.47","8.75","J3.6","<5","<5","<5","<5","J3.26","<4","<2","<2","<1","7.31","<2","<1","<5","<5","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","6.62","J1.46","<5","<5","<5","<5","<2","<5","<2","<10","<5","13.1","J4.9","<10","13.1","<4","<6","<25","<2","<2",4.9,"0.74",73.1,2.1,9.6,6.7,265,470,"0.51",20.1,"13","0.14000000000000001","<0.05","5.8",8.6,"<0.2","<0.2",8.4,"48","0.31",100,3.4,1.5,0.22,"H7.38",0.91,1060,160,"H16.8","H580","6.5",17,11,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,365,"{62405ECA-C5C8-487E-B695-4FCC395FFA58}",553.84107573,11,11,29,9036.131335,11,"{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5}","J01P27; Woodfield Park",29,"SULPHURCREEK",20.56,2024-02-01,2024-02-02,3.48
"31","L03-708-11 (L03P05)",2024-02-06 09:00:00,3282002,"Total","Composite",2024-02-04 19:30:00,2024-02-05 18:30:00,593402.836176,"<2","<2","<2","<2","<2","<2","<5","<5","<5","<5","<10","<5","<5","J2.18","J2.86","<5","<5","<5","<5","<5","<5","<4","<2","<2","<1","J2.29","<2","<1","<5","<5","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","J3.7","<5","<5","<5","<5","<5","<2","<5","<2","<10","<5","J3.83","J2.49","<10","6.01","<4","<6","<25","<2","<2",1.8,"1.1000000000000001",42,4.6,12,8.7,156,2700,"1.2",12.5,"74","<0.05","<0.05","6.5",0.68,"<0.2","<0.2",8.1,"47","0.27",51,1.2,2,0.34,"H7.47",1.6,710,110,"H17.4","390","23",110,40,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,228,"{63418C1C-734F-4A14-A489-860395E5E09F}",171.70778799,408,408,29,10378.11366,408,"{D0B00686-BBBD-4543-B725-46856EE3A1A0}","L03P05",29,"SULPHURCREEK",20.56,2024-02-04,2024-02-05,9.04
"32","J01-9992-1 (J01P27)",2024-02-02 12:00:00,3282003,"Dissolved","Composite",2024-02-01 04:56:00,2024-02-02 03:56:00,698055.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,"0.61",NA,0.91,6.8,NA,NA,22,"<0.2",NA,"3.9",NA,"<0.05","4.7",8.6,"<0.2","<0.2",NA,"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,"{62405ECA-C5C8-487E-B695-4FCC395FFA58}",553.84107573,11,11,29,9036.131335,11,"{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5}","J01P27; Woodfield Park",29,"SULPHURCREEK",20.56,2024-02-01,2024-02-02,3.48
"33","L03-708-11 (L03P05)",2024-02-06 09:00:00,3282004,"Dissolved","Composite",2024-02-04 19:30:00,2024-02-05 18:30:00,593402.836176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,"0.51",NA,0.63,6.5,NA,NA,70,"<0.2",NA,"21",NA,"<0.05","4.0999999999999996",0.65,"<0.2","<0.2",NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,"{63418C1C-734F-4A14-A489-860395E5E09F}",171.70778799,408,408,29,10378.11366,408,"{D0B00686-BBBD-4543-B725-46856EE3A1A0}","L03P05",29,"SULPHURCREEK",20.56,2024-02-04,2024-02-05,9.04
"34","L05-049-1",2024-02-21 10:00:00,3298001,"Total","Composite",NA,NA,235.2,"<2","<2","<2","<2","<2","<2","<5","<5","<5","<5","<10","<5","<5","<5","<5","<5","<5","<5","<5","<5","<5","<4","<2","<2","<1","<5","<2","<1","<5","<5","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","<5","<5","<5","<5","<5","<5","<2","<5","<2","<10","<5","J2.02","<5","<10","<5","<4","<6","<25","<2","<2",3.4,"12",217,8.6,16,17,1080,3600,"0.74",131,"560","<0.05","<0.05","110",11,"<0.2","<0.2",13,"91","0.18",220,3.2,2.8,0.29,"H7.79",1.7,3350,1100,"H18.5","2300","18",86,51,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,355,"{9F6ECA1D-6E3A-42B9-BCC9-0EF83F99334C}",478.27356101,324,324,29,19141.5066,324,"{B2A1E667-9853-4699-9E7C-64A87D6A78B6}","Horno/u",29,"SULPHURCREEK",20.56,NA,NA,NA
"35","L01-724-4 (L01P03)",2024-02-21 09:00:00,3298002,"Total","Composite",2024-02-20 10:22:00,2024-02-21 00:22:00,83750.4,"<2","<2","<2","<2","<2","<2","<5","<5","<5","<5","<10","<5","<5","J1.19","J2.33","<5","<5","<5","<5","<5","J1.04","<4","<2","<2","<1","J2.92","<2","<1","<5","<5","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","J2.73","J1.54","<5","<5","J1.02","<5","<2","<5","<2","<10","<5","J4.73","J2.99","<10","J4.61","<4","<6","<25","<2","<2",2.4,"0.35",76.9,3.4,9.8,6.7,316,1300,"0.65",30,"35","6.8000000000000005E-2","<0.05","4.5",1.9,"<0.2","<0.2",6.8,"37","<0.1",130,0.82,1.3,0.31,"H8.03",1.3,1330,240,"H18.1","690","6.3",27,21,NA,NA,NA,NA,2.12,NA,NA,NA,NA,NA,322,"{4397F881-B343-464B-9EAA-09390E6E5C26}",349.72191376,238,238,24,10843.46497,238,"{1A565B60-44E0-4E2C-84FE-2362549F11C4}","L01P03",24,"PALISADES",19.47,2024-02-20,2024-02-21,2.6
"36","L05-049-1",2024-02-20 09:44:00,3298003,"Dissolved","Composite",NA,NA,235.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,"9.8000000000000007",NA,1.2,12,NA,NA,42,"<0.2",NA,"550",NA,"<0.05","98",11,"<0.2","<0.2",NA,"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,"{9F6ECA1D-6E3A-42B9-BCC9-0EF83F99334C}",478.27356101,324,324,29,19141.5066,324,"{B2A1E667-9853-4699-9E7C-64A87D6A78B6}","Horno/u",29,"SULPHURCREEK",20.56,NA,NA,NA
"37","L01-724-4 (L01P03)",2024-02-21 09:00:00,3298004,"Dissolved","Composite",2024-02-20 10:22:00,2024-02-21 00:22:00,83750.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,"0.23",NA,1.3,7.3,NA,NA,37,"<0.2",NA,"16",NA,"<0.05","3.3",1.8,"<0.2","<0.2",NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,"{4397F881-B343-464B-9EAA-09390E6E5C26}",349.72191376,238,238,24,10843.46497,238,"{1A565B60-44E0-4E2C-84FE-2362549F11C4}","L01P03",24,"PALISADES",19.47,2024-02-20,2024-02-21,2.6
"38","L05-049-1",2024-02-21 10:00:00,3299001,"Total","Grab",NA,NA,1098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21000","7500",">=9000",">=75000",NA,NA,NA,NA,NA,NA,355,"{9F6ECA1D-6E3A-42B9-BCC9-0EF83F99334C}",478.27356101,324,324,29,19141.5066,324,"{B2A1E667-9853-4699-9E7C-64A87D6A78B6}","Horno/u",29,"SULPHURCREEK",20.56,NA,NA,NA
"39","L01-724-4 (L01P03)",2024-02-20 10:32:00,3299002,"Total","Grab",NA,NA,1410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=16000","6900","5100",">=61000",NA,NA,NA,NA,NA,NA,322,"{4397F881-B343-464B-9EAA-09390E6E5C26}",349.72191376,238,238,24,10843.46497,238,"{1A565B60-44E0-4E2C-84FE-2362549F11C4}","L01P03",24,"PALISADES",19.47,NA,NA,NA
