RC_Group,RC_WMAcf
Agriculture,0.222
Water,0.797
Agriculture,0.01579763902777137
Commercial,0.12161927879041888
Developed Open Space,0.03558707832292528
Education,0.14449337642180793
Freeway,0.12604461666229483
Light Industrial,0.09586073875868442
Multi-family Residential,0.13696337177934276
Open Space,0.015092723255847781
Single Family Residential,0.07981888209877125
Streets and Roads,0.09285404040906695
