FACILITYID,Constituent,Fraction,Units,RC_Group,EMC_Model_LU,EMC_Model_LU_divisor,EMC_ModelOutfall_adj,AREA,EMC_Group,RC,RC_M,RC_Event,RCandCF,RC_Mcf,RC_WMAcf_M,RC_WMAcf,LSPC_LU_DESC,RC_Model_Outfall,SUM_Area,...1,EMC,EMC_CF,EMC_Adj
I01-11021-1,Fecal coliforms,Total,CFU/100 mL,Commercial,10074.880623749365,1.5141088129001417,6400,6.224789474,business,0.486,0.4654840947303408,0.04924938350312003,0.05142001768370242,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,10,11600,0.5736207228322977,6654.000384854653
I01-11021-1,Fecal coliforms,Total,CFU/100 mL,Commercial,10074.880623749365,1.5141088129001417,6400,6.224789474,business,0.486,0.4654840947303408,NA,NA,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,10,11600,0.5736207228322977,6654.000384854653
I01-11021-1,TN,Total,mg/L,Commercial,2.5550791649904308,1.5141088129001417,2.06,6.224789474,business,0.486,0.4654840947303408,0.04924938350312003,0.05142001768370242,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,11,2.71,0.6226987335289045,1.687513567863331
I01-11021-1,TN,Total,mg/L,Commercial,2.5550791649904308,1.5141088129001417,2.06,6.224789474,business,0.486,0.4654840947303408,NA,NA,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,11,2.71,0.6226987335289045,1.687513567863331
I01-11021-1,TP,Total,mg/L,Commercial,0.32374595745750046,1.5141088129001417,0.247912,6.224789474,business,0.486,0.4654840947303408,0.04924938350312003,0.05142001768370242,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,12,0.34,0.6288808204598034,0.2138194789563332
I01-11021-1,TP,Total,mg/L,Commercial,0.32374595745750046,1.5141088129001417,0.247912,6.224789474,business,0.486,0.4654840947303408,NA,NA,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,12,0.34,0.6288808204598034,0.2138194789563332
I01-11021-1,TSS,Total,mg/L,Commercial,19.767004232741588,1.5141088129001417,13.999999999999998,6.224789474,business,0.486,0.4654840947303408,0.04924938350312003,0.05142001768370242,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,13,79.9,0.163394332560576,13.055207171590023
I01-11021-1,TSS,Total,mg/L,Commercial,19.767004232741588,1.5141088129001417,13.999999999999998,6.224789474,business,0.486,0.4654840947303408,NA,NA,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,13,79.9,0.163394332560576,13.055207171590023
I01-11021-1,"Copper, Total",Total,mg/L,Commercial,0.047228168080992,1.5141088129001417,0.033,6.224789474,business,0.486,0.4654840947303408,0.04924938350312003,0.05142001768370242,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,14,0.0254,1.2280337319618235,0.031192056791830316
I01-11021-1,"Copper, Total",Total,mg/L,Commercial,0.047228168080992,1.5141088129001417,0.033,6.224789474,business,0.486,0.4654840947303408,NA,NA,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,14,0.0254,1.2280337319618235,0.031192056791830316
I01-11021-1,"Lead, Total",Total,mg/L,Commercial,0.0019707644644528194,1.5141088129001417,0.0015000000000000002,6.224789474,business,0.486,0.4654840947303408,0.04924938350312003,0.05142001768370242,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,15,0.0021,0.6198096601719932,0.0013016002863611856
I01-11021-1,"Lead, Total",Total,mg/L,Commercial,0.0019707644644528194,1.5141088129001417,0.0015000000000000002,6.224789474,business,0.486,0.4654840947303408,NA,NA,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,15,0.0021,0.6198096601719932,0.0013016002863611856
I01-11021-1,"Zinc, Total",Total,mg/L,Commercial,0.08483110656739792,1.5141088129001417,0.05,6.224789474,business,0.486,0.4654840947303408,0.04924938350312003,0.05142001768370242,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,16,0.1569,0.3570878728533588,0.056027087250692
I01-11021-1,"Zinc, Total",Total,mg/L,Commercial,0.08483110656739792,1.5141088129001417,0.05,6.224789474,business,0.486,0.4654840947303408,NA,NA,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,16,0.1569,0.3570878728533588,0.056027087250692
I01-11021-1,"Copper, Total",Dissolved,mg/L,Commercial,0.03592417444325577,1.5141088129001417,0.025999999999999995,6.224789474,business,0.486,0.4654840947303408,0.04924938350312003,0.05142001768370242,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,17,0.0137,1.7318454867742719,0.023726283168807524
I01-11021-1,"Copper, Total",Dissolved,mg/L,Commercial,0.03592417444325577,1.5141088129001417,0.025999999999999995,6.224789474,business,0.486,0.4654840947303408,NA,NA,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,17,0.0137,1.7318454867742719,0.023726283168807524
I01-11021-1,"Zinc, Total",Dissolved,mg/L,Commercial,0.05230686720309405,1.5141088129001417,0.028999999999999998,6.224789474,business,0.486,0.4654840947303408,0.04924938350312003,0.05142001768370242,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,18,0.0932,0.37066852523294014,0.034546306551710024
