Station,Collected Date,HSN,Fraction,Sample Type,Composite Start Time,Composite End Time,Parameter,Units,Qualifier,Result,LSPC_LU_DESC,RC_Group,EMC_Group,AREA,...1,EMC
L01-728-5 (L01-DP),2023-12-21T09:00:00Z,3210004,Dissolved,Composite,2023-12-20T04:24:00Z,2023-12-21T03:24:00Z,"Copper, Total",mg/L,NA,0.013,RESSFH,Single Family Residential,single family,0.132567045,35,0.0148
L01-728-5 (L01-DP),2023-12-21T09:00:00Z,3210004,Dissolved,Composite,2023-12-20T04:24:00Z,2023-12-21T03:24:00Z,"Copper, Total",mg/L,NA,0.013,RESMF,Multi-family Residential,multi-family,2.80773538,26,0.0147
L01-728-5 (L01-DP),2023-12-21T09:00:00Z,3210004,Dissolved,Composite,2023-12-20T04:24:00Z,2023-12-21T03:24:00Z,"Copper, Total",mg/L,NA,0.013,TRANS,Streets and Roads,surface street,4.203289333,53,0.0176
L01-728-5 (L01-DP),2023-12-21T09:00:00Z,3210004,Dissolved,Composite,2023-12-20T04:24:00Z,2023-12-21T03:24:00Z,"Copper, Total",mg/L,NA,0.013,OSDEV,Developed Open Space,developed open space,5.903704117,62,6e-4
L01-728-5 (L01-DP),2023-12-21T09:00:00Z,3210004,Dissolved,Composite,2023-12-20T04:24:00Z,2023-12-21T03:24:00Z,"Copper, Total",mg/L,NA,0.013,OSIRR,Developed Open Space,developed open space,0.110569892,62,6e-4
J01-9273-1,2023-12-21T10:00:00Z,3210005,Dissolved,Composite,2023-12-20T06:09:00Z,2023-12-21T02:09:00Z,"Copper, Total",mg/L,NA,0.0085,RESMF,Multi-family Residential,multi-family,28.06454827,26,0.0147
J01-9273-1,2023-12-21T10:00:00Z,3210005,Dissolved,Composite,2023-12-20T06:09:00Z,2023-12-21T02:09:00Z,"Copper, Total",mg/L,NA,0.0085,TRANS,Streets and Roads,surface street,2.624744102,53,0.0176
J01-9273-1,2023-12-21T10:00:00Z,3210005,Dissolved,Composite,2023-12-20T06:09:00Z,2023-12-21T02:09:00Z,"Copper, Total",mg/L,NA,0.0085,OSDEV,Developed Open Space,developed open space,1.90536e-4,62,6e-4
M01-088-1,2024-01-21T09:45:00Z,3246002,Total,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.012,RESSFH,Single Family Residential,single family,132.5756701,32,0.0268
M01-088-1,2024-01-21T09:45:00Z,3246002,Total,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.012,RESMF,Multi-family Residential,multi-family,0.070535418,23,0.0243
M01-088-1,2024-01-21T09:45:00Z,3246002,Total,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.012,TRANS,Streets and Roads,surface street,17.96609825,50,0.0306
M01-088-1,2024-01-21T09:45:00Z,3246002,Total,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.012,OSDEV,Developed Open Space,developed open space,26.48005172,59,0.0106
M01-088-1,2024-01-21T09:45:00Z,3246002,Total,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.012,OSLOW,Open Space,open space,126.947583,68,0.0106
M01-088-1,2024-01-21T09:45:00Z,3246003,Dissolved,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.008400000000000001,RESSFH,Single Family Residential,single family,132.5756701,35,0.0148
M01-088-1,2024-01-21T09:45:00Z,3246003,Dissolved,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.008400000000000001,RESMF,Multi-family Residential,multi-family,0.070535418,26,0.0147
M01-088-1,2024-01-21T09:45:00Z,3246003,Dissolved,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.008400000000000001,TRANS,Streets and Roads,surface street,17.96609825,53,0.0176
M01-088-1,2024-01-21T09:45:00Z,3246003,Dissolved,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.008400000000000001,OSDEV,Developed Open Space,developed open space,26.48005172,62,6e-4
M01-088-1,2024-01-21T09:45:00Z,3246003,Dissolved,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,"Copper, Total",mg/L,NA,0.008400000000000001,OSLOW,Open Space,open space,126.947583,71,6e-4
I01-11021-1,2024-01-23T11:40:00Z,3246005,Total,Composite,2024-01-21T22:00:00Z,2024-01-22T21:00:00Z,"Copper, Total",mg/L,NA,0.033,COMM,Commercial,business,6.224789474,14,0.0254
I01-11021-1,2024-01-23T11:40:00Z,3246005,Total,Composite,2024-01-21T22:00:00Z,2024-01-22T21:00:00Z,"Copper, Total",mg/L,NA,0.033,RESSFH,Single Family Residential,single family,2.942449315,32,0.0268
I01-11021-1,2024-01-23T11:40:00Z,3246005,Total,Composite,2024-01-21T22:00:00Z,2024-01-22T21:00:00Z,"Copper, Total",mg/L,NA,0.033,RESMF,Multi-family Residential,multi-family,1.282644093,23,0.0243
I01-11021-1,2024-01-23T11:40:00Z,3246005,Total,Composite,2024-01-21T22:00:00Z,2024-01-22T21:00:00Z,"Copper, Total",mg/L,NA,0.033,TRANS,Streets and Roads,surface street,4.574449721,50,0.0306
I01-11021-1,2024-01-23T11:40:00Z,3246006,Dissolved,Composite,2024-01-21T22:00:00Z,2024-01-22T21:00:00Z,"Copper, Total",mg/L,NA,0.026,COMM,Commercial,business,6.224789474,17,0.0137
I01-11021-1,2024-01-23T11:40:00Z,3246006,Dissolved,Composite,2024-01-21T22:00:00Z,2024-01-22T21:00:00Z,"Copper, Total",mg/L,NA,0.026,RESSFH,Single Family Residential,single family,2.942449315,35,0.0148
I01-11021-1,2024-01-23T11:40:00Z,3246006,Dissolved,Composite,2024-01-21T22:00:00Z,2024-01-22T21:00:00Z,"Copper, Total",mg/L,NA,0.026,RESMF,Multi-family Residential,multi-family,1.282644093,26,0.0147
