LSPC_LU_DESC,LSPC_LU_CODE,RC_Group,EMC_Group,RC,FACILITYID,Shape_Area,AREA,PERCENTAGE,Jurisdiction
COMM,10,Commercial,business,0.486,L01-458-1,24015.78879,0.551328853,0.091818387,Orange Co
COMM,10,Commercial,business,0.486,L01-514-1,116249.2792,2.66872691,0.998000636,Orange Co
COMM,10,Commercial,business,0.486,L01-517-1,507261.6322,11.64517129,7.116624674,San Juan Capistrano
COMM,10,Commercial,business,0.486,L01-517-2,507261.5957,11.64512387,7.051648391,San Juan Capistrano
COMM,10,Commercial,business,0.486,L01-517-3,741692.8623,17.02699332,2.819800559,Orange Co
COMM,10,Commercial,business,0.486,L01-517-6,15455.35057,0.354807447,2.56104998,Orange Co
COMM,10,Commercial,business,0.486,L01-517-7,7272.859306,0.166962544,0.117654549,Orange Co
COMM,10,Commercial,business,0.486,L01-602-2,660625.6073,15.16593778,24.29525696,San Juan Capistrano
COMM,10,Commercial,business,0.486,L01-618-1,988291.6683,22.68814558,24.49516548,San Juan Capistrano
COMM,10,Commercial,business,0.486,L01-618-2,177941.5485,4.0849922,1.022545541,San Juan Capistrano
COMM,10,Commercial,business,0.486,L01-618-3,689.2618558,0.015823338,0.228396628,San Juan Capistrano
COMM,10,Commercial,business,0.486,L01-618-5 (L01S09),78113.162,1.793238624,0.4562875,San Juan Capistrano
COMM,10,Commercial,business,0.486,L01-724-1 (L01S01),50903.03014,1.168577451,0.412328561,San Juan Capistrano
COMM,10,Commercial,business,0.486,L01-724-4 (L01P03),428563.1752,9.838496086,2.8132316,San Juan Capistrano
COMM,10,Commercial,business,0.486,L01-726-3,115359.9112,2.64830975,22.28140002,Dana Point
COMM,10,Commercial,business,0.486,L01-726-5,6139.50029,0.140944097,0.20454202,Dana Point
COMM,10,Commercial,business,0.486,L01-726-9,950851.3276,21.82863019,24.45168824,San Juan Capistrano
COMM,10,Commercial,business,0.486,L01-727-1 (L01S04),591825.7585,13.58650427,2.963877014,Dana Point
COMM,10,Commercial,business,0.486,L01-727-3,202973.2153,4.659642497,98.30006922,Dana Point
COMM,10,Commercial,business,0.486,L01-728-2,416693.6423,9.566008014,9.967386912,Dana Point
COMM,10,Commercial,business,0.486,L01-728-3 (L01S02),3226442.344,74.06922061,7.304516263,Dana Point
COMM,10,Commercial,business,0.486,L01-728-4,456572.8022,10.48151122,13.2310549,Dana Point
COMM,10,Commercial,business,0.486,L01-728-5 (L01-DP),503628.8412,11.56177355,46.76384053,Dana Point
COMM,10,Commercial,business,0.486,L01-728-6,189020.6852,4.339335198,97.16579505,Dana Point
COMM,10,Commercial,business,0.486,L01-728-8d,534054.522,12.26020482,27.20005987,Dana Point
COMM,10,Commercial,business,0.486,L01-728-9,511064.2847,11.7324216,27.4026284,Dana Point
COMM,10,Commercial,business,0.486,L01-733-2,69021.56651,1.584523476,1.315729503,Orange Co
COMM,10,Commercial,business,0.486,L01-747-1,132319.0237,3.037638958,2.290558536,San Juan Capistrano
COMM,10,Commercial,business,0.486,L01-748-2,5.136423505,1.17916e-4,9.90124e-5,San Juan Capistrano
COMM,10,Commercial,business,0.486,L01-766-2 (L01S06),1550899.751,35.60390161,14.50813652,San Juan Capistrano
COMM,10,Commercial,business,0.486,L01-766-3,2019852.809,46.36962553,12.53299098,San Juan Capistrano
COMM,10,Commercial,business,0.486,L01-766-4,74528.38771,1.710943201,6.612837967,San Juan Capistrano
COMM,10,Commercial,business,0.486,L01-766-5,440260.9252,10.10704055,15.79820345,San Juan Capistrano
COMM,10,Commercial,business,0.486,L01-766-7,1819699.349,41.77471597,73.63368472,San Juan Capistrano
COMM,10,Commercial,business,0.486,L01-766-8,1819699.269,41.77454704,73.63368271,San Juan Capistrano
COMM,10,Commercial,business,0.486,L01-766-9,797044.4666,18.2976232,4.620875588,San Juan Capistrano
COMM,10,Commercial,business,0.486,L02-166-3 (L02P26),165555.2933,3.80064177,0.768294344,Rancho Santa Margarita
COMM,10,Commercial,business,0.486,L02-366-1 (MVL02P14),220783.867,5.068520435,2.549267579,Mission Viejo
COMM,10,Commercial,business,0.486,L02-374-1 (L02P50),580114.8013,13.31765661,2.917452529,Orange Co
COMM,10,Commercial,business,0.486,L02-396-1,120463.3931,2.76547004,1.42744652,Mission Viejo
COMM,10,Commercial,business,0.486,L02-401-1,120463.3931,2.76547004,1.386304082,Orange Co
COMM,10,Commercial,business,0.486,L02-401-2 (COL02P55),465535.6202,10.68727003,9.145109881,Orange Co
COMM,10,Commercial,business,0.486,L02-502-1,6531.845536,0.14995114,0.040339095,San Juan Capistrano
COMM,10,Commercial,business,0.486,L02-541-2,57512.08237,1.32030102,18.67975275,San Juan Capistrano
COMM,10,Commercial,business,0.486,L02-541-6,339034.1595,7.783184473,44.1600553,San Juan Capistrano
COMM,10,Commercial,business,0.486,L02-541-9 (L02P02),716612.3834,16.45122245,7.398285014,San Juan Capistrano
COMM,10,Commercial,business,0.486,L02-571-3,163359.8861,3.750241954,50.46651467,San Juan Capistrano
COMM,10,Commercial,business,0.486,L02-571-5 (L02TBN2),288816.6053,6.630343448,3.003025106,San Juan Capistrano
COMM,10,Commercial,business,0.486,L02-622-1 (L02P28),5304202.681,121.7682254,47.39313928,Rancho Santa Margarita
COMM,10,Commercial,business,0.486,L02-622-2 (L02P32),2678615.827,61.49280398,10.75909752,Rancho Santa Margarita
COMM,10,Commercial,business,0.486,L02-640-1 (L11P02),4566664.277,104.8366057,20.60281556,Rancho Santa Margarita
COMM,10,Commercial,business,0.486,L02-641-1,3306419.549,75.90525195,8.194051334,Rancho Santa Margarita
COMM,10,Commercial,business,0.486,L02-641-2,3306419.549,75.90525195,8.194051334,Rancho Santa Margarita
COMM,10,Commercial,business,0.486,L03-074-1 (L03B01),44906.94413,1.030925706,0.340116218,Mission Viejo
COMM,10,Commercial,business,0.486,L03-142-1 (L03P24),1751769.789,40.21526161,15.73188593,Rancho Santa Margarita
COMM,10,Commercial,business,0.486,L03-214-2 (L03P18),1401689.396,32.1784895,2.168491372,Mission Viejo
COMM,10,Commercial,business,0.486,L03-316-2,1943596.994,44.61902591,31.19304556,Mission Viejo
COMM,10,Commercial,business,0.486,L03-316-3 (L03P12),137626.4313,3.159480758,0.874175404,Mission Viejo
COMM,10,Commercial,business,0.486,L03-316-4,506524.4185,11.62824712,26.36285839,Mission Viejo
COMM,10,Commercial,business,0.486,L03-418-1,1554308.568,35.68215761,28.84235996,Laguna Niguel
COMM,10,Commercial,business,0.486,L03-418-2,233867.9864,5.368870211,80.8828662,Laguna Niguel
COMM,10,Commercial,business,0.486,L03-418-3,233867.9566,5.368891003,80.88285658,Laguna Niguel
COMM,10,Commercial,business,0.486,L03-418-8,3750103.002,86.09086323,40.88883042,Laguna Niguel
COMM,10,Commercial,business,0.486,L03-455-2,466212.0879,10.70279965,23.45209726,San Juan Capistrano
COMM,10,Commercial,business,0.486,L03-455-3 (L03P37),303250.6378,6.961704565,9.649326862,San Juan Capistrano
COMM,10,Commercial,business,0.486,L03-455-5,832929.1156,19.12149787,80.49552494,Laguna Niguel
COMM,10,Commercial,business,0.486,L03-455-6,11521.15867,0.264490467,4.953433318,Laguna Niguel
COMM,10,Commercial,business,0.486,L03-455-7,106093.6259,2.435584257,3.792893682,Laguna Niguel
COMM,10,Commercial,business,0.486,L03-662-3 (L03P16),559429.4715,12.84278488,2.941216719,Mission Viejo
COMM,10,Commercial,business,0.486,L03-691-1 (L03P09),758469.2041,17.41212667,3.447756841,Mission Viejo
COMM,10,Commercial,business,0.486,L03-693-1 (L03P11),370759.6791,8.5115051,3.041861817,Mission Viejo
COMM,10,Commercial,business,0.486,L03-708-1,630558.451,14.47568809,13.2817761,Laguna Niguel
COMM,10,Commercial,business,0.486,L03-708-11 (L03P05),1759.901985,0.040401952,0.023529461,Laguna Niguel
COMM,10,Commercial,business,0.486,L03-708-13,1167317.142,26.79802137,41.82982699,Laguna Niguel
COMM,10,Commercial,business,0.486,L03-708-5,436852.7647,10.02879963,34.76392749,Laguna Niguel
COMM,10,Commercial,business,0.486,L04-136-1u (L04P07),2116205.415,48.58139153,10.68450514,Mission Viejo
COMM,10,Commercial,business,0.486,L04-266-5,554417.1064,12.72771635,2.202586892,Mission Viejo
COMM,10,Commercial,business,0.486,L04-301-1 (L04P08),364623.4579,8.370636281,4.363427838,Mission Viejo
COMM,10,Commercial,business,0.486,L04-672-1,2116205.415,48.58139153,11.97239865,Mission Viejo
COMM,10,Commercial,business,0.486,L04-702-4,2779735.132,63.81419309,17.0273381,Mission Viejo
COMM,10,Commercial,business,0.486,L05-489-3,2630844.164,60.39611311,3.295878095,Orange Co
COMM,10,Commercial,business,0.486,L05-489-3d,2630844.164,60.39611311,3.128793881,Orange Co
COMM,10,Commercial,business,0.486,LC02-11508-2,288018.2124,6.611988347,13.76906108,Laguna Beach
COMM,10,Commercial,business,0.486,LC02-11508-3,373268.9585,8.56911046,2.68073682,Laguna Beach
COMM,10,Commercial,business,0.486,LC03-11515-1,274717.1838,6.306638746,2.693567423,Laguna Beach
COMM,10,Commercial,business,0.486,LC04-11199-1,121664.1712,2.793025051,1.400519162,Laguna Beach
COMM,10,Commercial,business,0.486,LC05-11017-1,450069.2446,10.33220948,16.17359171,Laguna Beach
COMM,10,Commercial,business,0.486,LC05-11017-2,39685.41763,0.911051828,3.452622346,Laguna Beach
COMM,10,Commercial,business,0.486,LC06-11019-1,93371.73097,2.143528569,3.52471043,Laguna Beach
COMM,10,Commercial,business,0.486,LC06-11509-2,98751.4785,2.267031072,4.371162398,Laguna Beach
COMM,10,Commercial,business,0.486,M00.1-070-4,114672.3605,2.632525693,1.920263963,San Clemente
COMM,10,Commercial,business,0.486,M00.1-070-6,213102.5585,4.892161583,2.462203105,San Clemente
COMM,10,Commercial,business,0.486,M00.1-071-2 (M00S04),623851.5093,14.32171728,3.435618206,San Clemente
COMM,10,Commercial,business,0.486,M00.1-071-3 (M00S04),366693.0642,8.418148093,8.333753143,San Clemente
COMM,10,Commercial,business,0.486,M00.2-066-1 (M00S07),760477.0195,17.45821996,12.80517433,San Clemente
COMM,10,Commercial,business,0.486,M01-047-1,116416.4916,2.672565594,0.371508567,San Clemente
COMM,10,Commercial,business,0.486,M01-050-7,27001.83923,0.619876934,36.52720361,San Clemente
COMM,10,Commercial,business,0.486,M01-060-3,2171459.137,49.85004184,1.096623515,Dana Point
COMM,10,Commercial,business,0.486,M01-099-1,3557.884101,0.08167778,0.265361223,San Clemente
COMM,10,Commercial,business,0.486,M01-168-2d (M00P03),49633.05292,1.139418111,3.950102578,Dana Point
COMM,10,Commercial,business,0.486,M02-032-1,578604.4684,13.282984,10.14931105,San Clemente
COMM,10,Commercial,business,0.486,M02-052-3,469031.8127,10.76753188,6.032069746,San Clemente
COMM,10,Commercial,business,0.486,M02-052-4,436207.9076,10.01399569,8.435078821,San Clemente
COMM,10,Commercial,business,0.486,M02-061-4 (SCBS@M02),328512.3003,7.541634856,8.344203809,San Clemente
COMM,10,Commercial,business,0.486,M02-061-6,981218.0931,22.52575799,54.99000428,San Clemente
COMM,10,Commercial,business,0.486,M02-085-2,713682.3877,16.38395873,8.197376427,San Clemente
COMM,10,Commercial,business,0.486,M02-102-1,9128658.737,209.5660067,4.343332022,San Clemente
COMM,10,Commercial,business,0.486,SC02-072-4,242421.0131,5.565220686,3.612209128,San Clemente
COMM,10,Commercial,business,0.486,SC03-067-1,264628.4976,6.075058681,3.477174066,San Clemente
COMM,10,Commercial,business,0.486,SC05-073-1,78455.74491,1.801103277,1.447406302,San Clemente
COMM,10,Commercial,business,0.486,SC05-073-3,36092.62956,0.828576077,2.746631837,San Clemente
COMM,10,Commercial,business,0.486,SC06-146-2 (M00P02),1112954.548,25.55002295,7.842071884,San Clemente
COMM,10,Commercial,business,0.486,SC07-079-5,34039.68096,0.781446674,2.609512235,San Clemente
COMM,10,Commercial,business,0.486,SC09-081-2d,148101.5377,3.399943474,1.929904878,San Clemente
COMM,10,Commercial,business,0.486,SC10-075-1d (M00P05),109084.6027,2.504237894,3.026978439,Dana Point
COMM,10,Commercial,business,0.486,SC10-075-3 (M00S01),964614.0123,22.14449064,8.209619412,Dana Point
COMM,10,Commercial,business,0.486,SC11-026-1 (M00P01),200767.4375,4.609004605,1.509227192,Dana Point
COMM,10,Commercial,business,0.486,SC11-035-1d,76236.67147,1.750153156,16.63081837,Dana Point
COMM,10,Commercial,business,0.486,SC11-035-2d,29285.00985,0.672291319,13.04259922,Dana Point
COMM,10,Commercial,business,0.486,SC11-035-3d,81390.18652,1.868461582,16.69209682,Dana Point
COMM,10,Commercial,business,0.486,SC11-130-2,26970.5847,0.619159428,0.536918742,Dana Point
COMM,10,Commercial,business,0.486,SC12-068-2,982892.2058,22.56419048,27.74917069,San Clemente
COMM,10,Commercial,business,0.486,SC12-068-4,37899.85255,0.870064374,5.393312644,San Clemente
COMM,10,Commercial,business,0.486,SM01-086-1 (M03P01),276009.5906,6.33633367,2.886852901,San Clemente
COMM,10,Commercial,business,0.486,SM01-086-2,276009.5803,6.336308088,2.049358001,San Clemente
EDU,20,Education,business,0.422,DP04-12015-1,88921.22439,2.041358588,1.141046575,Laguna Beach
EDU,20,Education,business,0.422,I00-11437-1,531639.9404,12.20482247,2.016683965,Laguna Beach
EDU,20,Education,business,0.422,I00-11453-1,1064948.81,24.44795845,7.146648417,Laguna Beach
EDU,20,Education,business,0.422,I00-11518-1,531639.9404,12.20482247,1.891747643,Laguna Beach
EDU,20,Education,business,0.422,I00-11518-2,611.2280739,0.014031866,0.001796475,Laguna Beach
EDU,20,Education,business,0.422,I01-11059-1,44670.46377,1.025496842,0.363079833,Laguna Beach
EDU,20,Education,business,0.422,I01-11093-1,178472.2007,4.097174347,4.675385544,Laguna Beach
EDU,20,Education,business,0.422,I01-11487-1,378900.9304,8.69840326,0.155156115,Laguna Beach
EDU,20,Education,business,0.422,I01-11487-2,170844.508,3.922065917,2.911167414,Laguna Beach
EDU,20,Education,business,0.422,J01-10004-1 (J01P01),437437.6039,10.04222575,2.092617841,Lake Forest
EDU,20,Education,business,0.422,J01-10017-1 (J01TBN4),277599.8652,6.372841497,36.57805302,Aliso Viejo
